哥林多前書
第一章
 	問候
27	你們就是基督的身體，並且每個人都是其中一個部分。
28	神在教會裡安排的，第一是使徒，第二是先知，第三是教師，其次是異能，再其次是醫病的恩賜、助人、指導、各種的方言。
29	難道人人都是使徒嗎？人人都是先知嗎？人人都是教師嗎？人人都是有異能的嗎？
30	人人都有醫病的恩賜嗎？人人都用方言說話嗎？人人都翻譯方言嗎？
31	你們要渴慕那些較大的恩賜。我現在還要把高超無比的道路指示你們。
第十三章
 	最大的是愛
1	如果我用人的方言說話，甚至用天使的方言，卻沒有愛，我就成了嘈雜的鑼或刺耳的鈸。
2	如果我有先知信息，也明白一切奧祕、一切知識，如果我有全備的信心可以移山，卻沒有愛，我就甚麼也不是。
3	如果我把所有的一切賙濟人，如果我捨己身被人焚燒，卻沒有愛，這對我就毫無幫助。
4	愛是寬容，愛是恩慈，不嫉妒，不自吹自擂，不自高自大，
5	不做不合體統的事，不求自己的益處，不輕易被激怒，不圖謀惡事，
6	不喜歡行不義，而為真理歡喜；
7	凡事包容，凡事相信，凡事盼望，凡事堅忍。
8	愛永不倒下；而先知信息將被廢棄，方言將會停止，知識將被廢棄。
9	因為我們知道的只是局部；做先知傳講的也只是局部；
10	等那完滿的來到，這局部的就會被廢棄了。
11	我是個孩子的時候，說話像孩子，心思像孩子，想法像孩子；到長大成人，就把孩子的事都丟棄。
12	要知道，我們如今是通過鏡子觀看，是隱晦的，到那時就要面對面了。我如今知道的只是局部，到那時就全部知道，好像神全部知道我一樣。
13	現在存留的有信、望、愛這三樣，其中最大的是愛。
第十四章
 	做先知為神傳話與用方言說話的恩賜
1	你們要追求愛，也要渴慕屬靈的恩賜，特別是做先知為神傳話。
2	其實那用方言說話的不是對人說，而是對神說，因為沒有人聽得懂；他靠著聖靈說奧祕的事。
3	但是做先知為神傳話的是對人說，使他們得到造就、勸勉、鼓勵。
4	用方言說話的人造就自己；做先知為神傳話的人造就教會。
5	我希望你們所有人都用方言說話，更希望你們都做先知為神傳話；做先知為神傳話的人勝過用方言說話的人，除非他把方言翻譯出來使教會得到造就。
6	這樣，弟兄們，我如果到你們那裡去用方言說話，不用啟示、知識、先知信息，或教導來對你們說話，怎能幫助你們呢？
7	這就像那些沒有生命的東西發聲，無論是簫還是琴，如果發出來的樂音沒有區別，怎能使人知道所吹所彈的是甚麼呢？
8	事實上，如果軍號所發的聲音不清楚，誰會準備好作戰呢？
9	你們也是這樣，如果你們不用舌頭說出可以明白的話來，人怎會知道所講的是甚麼呢？這樣，你們就是向空氣說話了。
10	世上有這麼多種語言——不知有多少種，但沒有一種是沒有意義的。
11	我如果不明白某一種語言的意思，講的人就會覺得我是個化外人，我也會覺得講話的是個化外人。
12	你們也是這樣；你們既然是渴慕屬靈恩賜的人，就要更多追求造就教會的事。
13	所以，用方言說話的人應該禱告求神讓自己能把方言翻譯出來。
14	如果我用方言禱告，那是我的靈在禱告，我的理智卻沒有產生效果。
15	那麼該怎麼辦呢？我要用靈禱告，也要用理智禱告；我要用靈歌唱，也要用理智歌唱。
16	不然，如果你用靈讚美，那在場不通方言的人不知道你在說甚麼，怎能在你謝恩的時候說“阿們”呢？
17	你謝恩固然是好，但是另一個人卻得不到造就。
18	我感謝神，我用方言說話比你們所有人都多。
19	但是在教會裡，我為了可以教導別人，寧可用自己的理智說五句話，也不用方言說萬句話。
20	弟兄們，你們在思想上不要做兒童，反要在惡事上做小孩子，在思想上做成年人。
21	律法上記著：“主說：我要藉著說別種語言的人，用外國人的嘴唇，對這人民說話；即使這樣，他們也不肯聽從我。”
22	這樣，方言不是給信的人的記號，而是給不信的人；先知信息不是給不信的人的記號，而是給信的人。
23	所以，如果全教會聚在一起的時候，大家都用方言說話，有些不通方言的人或不信的人進來，他們豈不是會說你們瘋了嗎？
24	但是如果大家都做先知為神傳話，有一個不信的人或不通方言的人進來，他就會被眾人指出他的過錯，被眾人審斷，
25	他心裡隱祕的事就會顯露出來；這樣，他就會臉伏於地敬拜神，宣告說：“神真是在你們當中！”
 	聚會裡使用恩賜要有秩序
26	弟兄們，那麼該怎麼辦呢？你們聚集的時候，各人或有詩歌，或有教導，或有啟示，或有方言，或有翻譯，一切都要為了造就人。
27	如果有人要用方言說話，可以讓兩個人，或最多三個人說，並且要輪流說，又要有一個人翻譯。
28	如果沒有人翻譯，他就應該在教會裡靜默，只對自己和對神說好了。
29	可以讓兩個或三個先知說話，其他的人要明辨。
30	如果在座的另一個人得了啟示，先講的那人就應該靜默。
31	事實上，你們大家都能夠一個一個地做先知為神傳話，好讓大家都可以學習，大家都可以得到勸勉。
32	先知的靈是順服先知的，
33	因為神不使人騷亂，而使人和平；在聖徒的所有教會裡都是這樣。
34	婦女在聚會中應該靜默，因為她們不准講話，就如律法所說，她們要順服。
35	她們如果想要學甚麼，就要在家裡問自己的丈夫，因為婦女在聚會中講話是可恥的。
36	神的話是從你們出來的嗎？或是單單臨到你們的嗎？
37	如果有人自以為是先知或是屬靈的，就應該知道我寫給你們的是主的命令；
38	如果有人不理會，他也不被理會。
39	所以我的弟兄們，你們要渴慕做先知為神傳話，也不要禁止用方言說話。
40	凡事都要合乎體統，按著次序。
第十五章
 	基督照聖經所記的復活了
1	弟兄們，我要讓你們明白我從前傳給你們的福音。這福音你們已經領受了，並且靠著它站立穩固了。
2	你們如果持守我傳給你們的信息，就會藉著這福音得救——除非你們枉然相信了。
3	我從前領受並且傳授給你們最重要的事，就是基督按照聖經為我們的罪死了，
4	而且被葬；第三天又按照聖經復活了；
5	並且向磯法顯現，然後向十二使徒顯現；
6	之後又一次向超過五百個弟兄顯現——他們中間大多數人到如今還在，也有些已經睡了；
7	之後也向雅各顯現，然後又向所有使徒顯現，
8	最後也向我顯現；我當時好像一個流產兒。
9	其實我是使徒中最小的，也不夠資格蒙召為使徒，因為我曾經迫害神的教會。
10	然而靠著神的恩典，我才成為現在的我，而且他賜給我的恩典並不徒然；相反，我比所有使徒都更加勞苦——其實不是我，而是神的恩典與我同在。
11	因此，不論是我還是其他使徒，我們都這樣傳，你們也都這樣信了。
 	死人都要復活
12	既然基督正被傳揚從死人中復活，你們當中怎麼還有些人說沒有死人復活呢？
13	如果沒有死人復活的事，基督也就沒有復活。
14	如果基督沒有復活，我們宣講的道就是徒然，你們的信也是徒然，
15	我們也就是神的假見證人，因為我們作見證反對神，說神使基督復活，而神卻沒有使基督復活——如果死人真的不會復活的話。
16	因為，如果死人不會復活，基督也就沒有復活。
17	如果基督沒有復活，你們的信就虛空無用，你們仍然在自己的罪裡。
18	那麼，在基督裡睡了的那些人也就滅亡了。
19	如果我們在基督裡盼望只在於今生，那就比所有的人更可憐了。
20	但事實上，基督已經從死人中復活，他是那些睡了的人中首先獻給神的。
21	既然死藉著一人而來，死人復活也就藉著一人而來。
22	在亞當裡所有人都死，同樣，在基督裡所有人也都將得到生命；
23	各按著自己的次序：首先獻給神的是基督；以後，在他來臨的時候，是那些屬基督的人；
24	然後是結局，那時基督要滅掉一切首領、一切權勢和能者，把王國交給父神。
25	因為基督必要為王，直到神把一切仇敵都放在他的腳下。
26	最後要毀滅的仇敵就是死，
27	因為經上記著：“他使萬物都服從在他腳下。”然而，說萬物都服從了他，顯然那使萬物服從他的並不包括在內。
28	等到萬物都服從了他，那時子自己也要服從於那位叫萬物服從他的，好使神為萬有之主。
29	不然的話，那些為死人受洗的人，為甚麼要這樣做呢？如果死人根本不會復活，那些人為甚麼要為他們受洗呢？
30	我們又為甚麼時刻經歷危險呢？
31	弟兄們，我在我們的主耶穌基督裡因你們而誇口，我敢指著所誇的發誓：我天天都死！
32	如果從人的角度來看，我從前在以弗所和野獸搏鬥，對我有甚麼益處呢？如果死人不會復活，“我們就吃吃喝喝吧，因為明天就要死了！”
33	不要弄錯了！“損友敗壞美德。”
34	你們要醒悟過來，不要犯罪。我說這話是要你們羞愧，因為你們有些人不認識神。
 	復活的身體
35	但是有人會說：“死人復活是怎麼樣的呢？帶著甚麼樣的身體來呢？”
36	愚昧的人啊，你所種的如果不死去，就不能得到生命。
37	你們所種的，不是那將來要長成的形體，只不過是一粒赤裸的種子，也許是麥子或其他種子。
38	但是神隨著自己的意思給它一個形體，使每一樣種子各有自己的形體。
39	而且各種肉身也都不一樣，人有人的肉身，獸有獸的肉身，鳥有鳥的肉身，魚有魚的肉身。
40	有天上的形體，也有地上的形體；天上形體的光輝是一樣，地上形體的光輝是另一樣。
41	太陽有太陽的光輝，月亮有月亮的光輝，星星有星星的光輝，而且每一顆星的光輝也都不同。
42	死人復活也是這樣：種下的是必朽壞的，復活的是不朽壞的；
43	種下的是卑賤的，復活的是榮耀的；種下的是軟弱的，復活的是大能的；
44	種下的是屬自然性命的身體，復活的是屬靈的身體。既然有屬自然性命的身體，也就會有屬靈的身體。
45	經上也是這樣記著：“第一個人亞當成了有生命的人”，最後的亞當成了賜生命的靈。
46	但不是屬靈的在先，而是屬自然性命的在先，然後才是屬靈的。
47	第一個人出於地，屬塵土；第二個人出於天。
48	屬塵土的那一位怎樣，那些屬塵土的人也就怎樣；屬天的那一位怎樣，那些屬天的人也就怎樣。
49	正如我們有了那屬塵土者的形象，將來我們也會有那屬天者的形象。
50	弟兄們，我要說的是：血肉之軀不能承受神的王國作為產業，必朽壞的也不能承受不朽的作為產業。
51	我現在告訴你們一個奧祕：我們不是都要睡覺，而是都要改變——
52	就在一剎那，眨眼之間，在那最後的號角聲中。因為，號角要吹響，死人要復活成為不朽壞的，我們也要改變。
53	因為，這必朽壞的必須穿上不朽，這必死的必須穿上不死；
54	到這必朽壞的穿上不朽、必死的穿上不死的時候，經上記著的話就會應驗：“勝利了！死亡已經被吞滅。
55	死亡啊，你的勝利在哪裡？死亡啊，你的毒刺在哪裡？”
56	死亡的毒刺從罪而來，而罪的能力從律法而來。
57	但是感謝神，他藉著我們的主耶穌基督，把勝利賜給我們！
58	所以，我親愛的弟兄們啊，你們務要堅定不移，常常努力多做主工，因為你們知道，你們的勞苦在主裡並不徒然。
第十六章
 	捐錢給聖徒的事
1	關於為聖徒收集捐款，你們要照著我對加拉太眾教會的指示同樣做。
2	每週的第一天，你們每個人要按自己獲得的豐足抽一些儲蓄起來，免得我來的時候才收集捐款。
3	我來到之後，你們認可甚麼人，我就派他們帶著書信，把你們的捐款送到耶路撒冷去。
4	如果我也應該去，他們就可以和我一同去。
 	保羅及同工的行程
5	我經過馬其頓，就會到你們那裡去——因為我將要經過馬其頓。
6	我也許會在你們那裡住一些時候，甚或過冬；這樣，我無論要到哪裡去，你們都可以幫助我上路。
7	我不願意現在匆匆路過見你們，如果主允許，我希望在你們那裡住一段時間。
8	不過我在以弗所會住到五旬節，
9	因為一個又大又有功效的門為我開了，而反對的人也很多。
10	提摩太甚麼時候來到，你們務要使他在你們那裡不會懼怕，因為他像我一樣，做的都是主的工作。
11	所以，誰也不要藐視他。你們要幫助他平安上路，好讓他到我這裡來，因為我和弟兄們都在等候他。
12	至於亞波羅弟兄，我曾多次勸他要和弟兄們一起到你們那裡去，但他不大想現在就去，機會到了，他會去的。
 	勸勉和問候
13	你們要保持警醒，在信仰上站立穩固，要做大丈夫，要剛強。
14	你們一切的事都要憑愛而行。
15	弟兄們，你們知道司提反納一家人是亞該亞最早獻給基督的，他們委身服侍聖徒。
16	我勸你們要順服這樣的人，以及所有與他們一同工作、一同勞苦的人。
17	司提反納、福徒拿都和亞該古都來了，所以我很快樂，因為他們補上了你們不在我這裡的缺欠，
18	使我和你們的心靈都得到寬慰。因此，你們要敬重這樣的人。
19	亞西亞的眾教會都問候你們。亞居拉和百姬拉，以及他們家裡的教會，在主裡熱切地問候你們。
20	所有的弟兄都問候你們。你們要用聖潔的吻彼此問候。
21	我保羅親筆問候你們。
22	如果有人不愛主，他就一定要受詛咒！我們的主啊，願你來！
23	願主耶穌基督的恩典與你們同在！
24	願我的愛在基督耶穌裡與你們眾人同在！
