希伯來書
第一章
 	神藉著兒子說話
14	我們在這裡其實沒有長存的城；我們尋求的是那將要來的城。
15	所以，我們要藉著耶穌常常把頌讚的祭獻給神，這就是承認他的名的人嘴唇的果子。
16	你們也不要忘記行善和捐輸，這樣的祭是神所喜悅的。
17	那些領導你們的人，為你們的靈魂警醒，因為他們要向神交賬，你們要聽從他們，也要順服他們，好讓他們懷著喜樂做這事，沒有歎息；如果他們歎息，對你們就沒有好處了。
18	請為我們禱告，因為我們深信自己有美好的良心，願意凡事好好地行事為人。
19	我更加懇切地請求你們為我們禱告，好使我們能夠快點回到你們那裡去。
 	祝福和問候
20	賜平安的神，憑著永約的血，把群羊的大牧人——我們的主耶穌從死人中領出來，
21	願他在一切善事上成全你們，好使你們遵行他的旨意，又藉著耶穌基督在我們裡面做他喜悅的事。榮耀屬於他，直到永永遠遠！阿們。
22	弟兄們，我懇求你們耐心接受我這番勸勉的話——其實我寫給你們的信已經很簡短了。
23	你們要知道，我們的弟兄提摩太已經獲釋；如果他來得早，我就跟他一起去看望你們。
24	請問候所有領導你們的人和所有聖徒。從意大利來的那些人也問候你們。
25	願恩典與你們眾人同在！
