出埃及記
第一章
 	以色列人在埃及興盛
15	蝗蟲遮蓋了整個地面，土地一片黑壓壓。牠們吃光了冰雹剩下來地上所有的草穀豆蔬，以及樹上所有果子。在埃及全地，無論是樹木上還是田野的草穀豆蔬上，都沒有留下一點青綠的。
16	法老急忙召摩西和亞倫來，說：“我犯罪干犯了耶和華你們的神，也犯罪干犯了你們！
17	現在求你饒恕我的罪，就這一次！也請你們向耶和華你們的神祈禱，求他使這死亡離開我，就這一樣！”
18	摩西就離開法老出去，向耶和華祈禱。
19	耶和華就把風轉為非常強勁的西風，把蝗蟲都捲起來，吹進紅海；埃及全境沒有一隻蝗蟲留下。
20	但是耶和華使法老的心強硬，法老還是不放以色列人走。
 	黑暗之災
21	耶和華對摩西說：“向天伸出你的手，使黑暗臨到埃及地，這黑暗甚至讓人摸得到。”
22	摩西向天伸出他的手，極黑的黑暗就臨到埃及全地，有三天之久。
23	三天裡人們彼此看不見，誰也不能起來離開原處。但是所有以色列人居住的地方都有光。
24	法老就召摩西來，說：“你們走，去侍奉耶和華吧！連你們的孩子都可以和你們一起去，只是你們的羊群和牛群都要留下。”
25	摩西卻說：“其實連你自己也應該把一些祭牲和燔祭牲交給我們，讓我們獻給耶和華我們的神。
26	我們的牲畜也要和我們一起去，一個蹄都不能留下，因為我們要從中取一些來侍奉耶和華我們的神。我們到達那裡之前，並不知道要用甚麼來侍奉耶和華。”
27	耶和華使法老的心強硬，他還是不願意放他們走。
28	法老對摩西說：“離開我去吧！你可要當心，別再見我的面，因為你再見我面的那天，你就會死！”
29	摩西說：“像你說的，我再也不會見你的面！”
第十一章
 	預告滅長子和頭生牲畜之災
1	耶和華對摩西說：“還有一災，我要降給法老和埃及人。之後他就會放你們走，離開這裡。他放你們走的時候，必定會把你們徹底從這裡趕出去。
2	你快去告訴這人民，叫每個男人向鄰人男子、每個女人向鄰人女子，索取銀器和金器！”
3	耶和華使這人民在埃及人眼前蒙恩。而且，摩西這人在埃及地大受尊崇，法老的臣僕和這裡的人民都非常尊崇他。
4	摩西說：“耶和華這樣說：‘午夜時分，我會出去走遍埃及，
5	埃及地所有頭生的都會死——從坐王位的法老的長子，到推磨的女奴的長子，連一切頭生的牲畜也會死。
6	埃及全地都將有極淒厲的喊聲，是從前未曾有過、以後也不會再有的。
7	然而在全部以色列人中間，連狗也不會對人或牲畜惡吠，這是為了讓你們知道耶和華區分埃及人和以色列人。’
8	你所有這些臣僕都會下到我這裡來，向我俯伏，說：‘你和所有跟從你的人民都離開吧！’然後我才會離開。”摩西就怒沖沖地離開法老出去了。
9	耶和華對摩西說：“法老不會聽從你們；這是為使我的奇能在埃及地增多。”
10	這是因為，即使之前摩西和亞倫在法老面前施展了所有那些奇能，但是耶和華使法老的心強硬，法老就不放以色列人離開他的地。
第十二章
 	始定逾越節
1	耶和華在埃及地對摩西和亞倫說：
2	“你們要以本月為月份的開始，作為你們一年的第一個月。
3	你們要吩咐以色列整個群體，說：本月十日，他們每個父親要為自己的家庭取一隻羔羊，一家一隻。
4	如果一家的人太少，吃不了整隻羔羊，就要看人數，和靠近他家的鄰居共取一隻；你們分配羔羊，要根據各人的食量來估算。
5	你們選取的羔羊必須是完好的一歲公羊，綿羊或山羊皆可。
6	你們要看管著牠，直到本月十四日，然後以色列全群體會眾都要在黃昏的時候宰殺羔羊。
7	他們要取點血，塗在他們吃羔羊的房屋兩邊門柱和門楣上。
8	當晚他們要吃火烤的羔羊肉，要連同無酵餅和苦菜一起吃。
9	你們不可吃生的或用水煮的，只可吃用火烤的，頭、腿、內臟一起烤。
10	你們不可剩下一點到早晨，剩到早晨的，你們要用火燒掉。
11	你們要這樣吃羔羊：束上腰帶，穿著鞋子，拿著手杖，並且要急忙地吃。這是耶和華的逾越節。
12	那天夜裡，我要在埃及地走過，擊殺埃及地所有頭生的，不管是人是畜；我還要對埃及所有的神明施行審判。我是耶和華。
13	這血要在你們身處的房屋上做你們的記號。我看見這血，就越過你們，我在埃及地進行擊殺的時候，這災就不會臨到你們，毀滅你們。
14	這一天要成為你們的紀念日，你們要慶祝耶和華的這個節期；你們要世世代代慶祝這個節期，這是永遠的規定。
 	無酵節的規定
15	“你們要吃無酵餅七天；務要在第一天除去你們家裡的酵，因為從第一天到第七天，凡吃有酵食物的，這個人要從以色列中剪除。
16	第一天要有聖會，第七天你們也要有聖會；你們除了預備各人所要吃的東西以外，這兩天甚麼工作都不可做。
17	你們要守無酵節，因為就在這一天，我把你們大軍從埃及地領出來；你們要守這一天，這要成為你們世世代代永遠的規定。
18	從一月十四日黃昏開始你們要吃無酵餅，直到當月二十一日晚上。
19	這七天裡，你們家中不可有酵；凡吃有酵之物的人，無論是寄居者或是本國本族人，這個人要從以色列群體中剪除。
20	凡是有酵的東西，你們都不可吃，你們住在任何地方都要吃無酵餅。”
 	逾越節的禮儀
21	於是，摩西把以色列所有的長老召來，對他們說：“你們去做吧！你們要為你們的家庭取羊，宰殺這隻逾越節羔羊。
22	你們要拿一把牛至草，蘸上盆裡的血，用盆裡的血塗門楣和兩個門柱；早晨之前，你們誰也不可走出自己的家門。
23	耶和華要走過這地擊打埃及人；耶和華一看見這血在門楣和兩個門柱上，就會越過那道門，不讓那位毀滅者進入你們的房子降災。
24	你們要遵守這吩咐，作為給你和你的子孫永遠的規定。
25	日後你們進了耶和華應許賜給你們的那片土地，要守這個侍奉之禮。
26	日後你們的子孫對你們說：‘這個侍奉之禮對你們有甚麼意義？’
27	你們就要說：‘這是獻給耶和華的逾越節之祭；他擊打埃及的時候，越過以色列人在埃及的房屋，搭救了我們各家。’”於是，人民俯伏敬拜。
28	以色列人就去做了；耶和華怎樣吩咐摩西和亞倫，以色列人就怎樣做。
 	滅頭生之災
29	到了半夜，耶和華擊殺埃及地所有頭生的：從坐王位的法老的長子，到地牢裡囚犯的長子，以及所有頭生的牲畜。
30	法老夜間起來，他和他所有臣僕、全埃及的人都起來，極淒厲的喊聲響徹埃及，因為沒有一家不死人的。
31	法老連夜召見摩西和亞倫，說：“你們動身離開我的人民！你們和以色列人都走，照你們所說的去侍奉耶和華！
32	你們的羊群牛群也帶走，照你們說的！而且你們要為我祝福！”
33	埃及人催促以色列人民，好趕快放他們離開那地，因為埃及人說：“我們全都快死了！”
34	以色列人民就把他們那些沒有發過酵的麵團連同搓麵盆，用衣服綁好，扛在肩頭上。
35	以色列人又照著摩西的話，向埃及人索取銀器、金器、衣裳。
36	耶和華使這人民在埃及人眼前蒙恩，埃及人就答應他們的要求。這樣他們就從埃及人奪回財物。
 	以色列人出埃及
37	以色列人從蘭塞起程，往棚鎮去，約有六十萬步行的男人，此外還有孩子。
38	和他們一起上去的，還有許多混雜的外族人，以及極多的羊群牛群等牲畜。
39	他們用從埃及帶出來沒發過酵的麵團，烤成無酵餅，因為他們被趕離埃及，不能遲延，而且連食物也沒有為自己預備。
40	以色列人在埃及居住了四百三十年。
41	當四百三十年結束的時候，就在這一天，耶和華全體大軍從埃及地出來。
42	這是耶和華守護的一夜，好把他們從埃及地領出來；這一夜屬於耶和華，以色列人世世代代都要守這一夜。
 	逾越節的規定
43	耶和華對摩西和亞倫說：“逾越節的規定如下：凡是外族人都不可以吃這羔羊。
44	至於各人用錢買來的奴僕，你給他行過割禮，他才可以吃。
45	暫住者和雇工都不可以吃。
46	要在同一間房子裡吃，不可把任何一點肉從房子裡帶到外面；羔羊的骨頭，一根也不可折斷。
47	以色列整個群體都要這樣做。
48	如果有寄居者寄居在你那裡，想要向耶和華守逾越節，那麼每個男子都要受割禮，然後才可以走近來守節期，他就會像本國本族人一樣。但是所有未受割禮的人都不可以吃。
49	無論是本族人還是寄居在你們中間的寄居者，都是一樣的指示。”
50	全體以色列人都遵行了；耶和華怎樣吩咐摩西和亞倫，他們就怎樣做。
51	就在這一天，耶和華把以色列人從埃及地領出來，大軍一隊隊地走。
第十三章
 	頭生歸耶和華為聖
1	耶和華吩咐摩西說：
2	“以色列人中所有雄性頭生、最先出母胎的，都要歸我為聖；人和牲畜都歸給我。”
3	摩西對人民說：“要記住你們從埃及為奴之家出來的這一天，因為耶和華用他手的大能把你們從這裡領了出來，因此不可吃有酵的食物。
4	你們是在亞筆月的這一天出來的。
5	將來耶和華領你進入迦南人、赫特人、亞摩利人、希未人、耶布斯人之地，就是他向你的列祖起誓要賜給你的那片流奶流蜜之地，那時你要在這個月行這侍奉之禮。
6	你要吃無酵餅七天，第七天是耶和華的節日。
7	七天都要吃無酵餅，在你全境之內不可以看到有酵的食物，也不可以看到有酵。
8	在那天你要告訴你的兒子說：‘這是因為耶和華在我從埃及出來時為我所做的事。’
9	這要給你在手上作記號，在額上作提醒，好使耶和華的指示常在你口中，因為耶和華用強勁的手把你從埃及領出來。
10	你每年都要在指定的日期守這個規定。
11	“當耶和華照著他向你和你列祖起的誓，領你進入迦南人之地，把這地賜給你之後，
12	所有最先出母胎的，你都要帶過來給耶和華；你的牲畜之中所有最先出母胎的雄性幼畜，都屬耶和華。
13	所有最先出母胎的驢，你要用羊贖回；如果不贖，就要打斷牠的脖子。你兒子當中所有頭生的人，你都要贖回。
14	你的兒子將來問你：‘這是甚麼意思？’你要對他說：‘耶和華用他手的大能把我們從埃及為奴之家領了出來。
15	那時法老很強硬，不放我們走，耶和華就殺了埃及地所有頭生的，包括人的長子和頭生的牲畜。因此，我把所有最先出母胎的雄性牲畜宰獻給耶和華，而我所有頭生的兒子，我都要贖回。
16	這要在你手上作記號，在你額上作標記，因為耶和華用他手的大能把我們從埃及領了出來。’”
 	以色列人出埃及的路徑
17	法老放這人民走的時候，神沒有帶領他們走非利士地的那條路，儘管那條路近些；因為神說：“免得人民遇見戰爭後悔，就回埃及去。”
18	神帶領人民繞道，走荒野的路往紅海去。以色列人整裝列隊往上走，離開埃及地。
19	摩西把約瑟的骸骨帶上，因為約瑟曾經鄭重地叫以色列人起誓，說：“神必定眷顧你們，到時候你們要把我的骸骨從這裡一起帶上去。”
20	他們從棚鎮起程，在荒野邊的以倘安營。
21	耶和華在他們前面走，白天用雲柱為他們領路，夜間用火柱光照他們，使他們日夜都可以行進。
22	白天雲柱，夜間火柱，總不離開人民面前。
第十四章
 	以色列人過紅海
1	耶和華吩咐摩西說：
2	你要叫以色列人往回走，在比哈希錄前面、密奪和海之間、巴力洗分前面安營。你們要在海邊安營，對著巴力洗分。
3	法老就會這樣說以色列人：“他們在這地迷路了，荒野把他們困住了。”
4	我要使法老的心強硬，他就會追擊他們，這樣我就可藉著法老和他的全軍得到榮耀，埃及人就會知道我是耶和華。”於是以色列人就這樣做。
5	有人稟告埃及王，說以色列民已經逃走，法老和臣僕對以色列民的想法就徹底轉變，他們說：“我們怎麼會做出這樣的事？居然放以色列人走，不再做我們的奴隸！”
6	於是，法老備好他的戰車，率領軍隊，
7	又率領六百輛精選的戰車和埃及所有戰車，所有戰車上的都是軍官。
8	耶和華使埃及王法老的心強硬，他就追擊以色列人；這時候以色列人正在意氣昂揚地出去。
9	埃及人追擊他們，法老所有的馬匹、戰車、戰車兵、軍隊，來到他們在海邊安營的地方，追上了他們；那裡在比哈希錄附近、巴力洗分前面。
10	法老逼近，以色列人舉目，就看見埃及人在他們後面一直前進，他們就非常害怕。於是以色列人向耶和華呼喊。
11	他們對摩西說：“難道埃及沒有墳墓，所以你把我們帶到荒野來死？你怎麼會對我們做出這樣的事，把我們從埃及領出來呢？
12	我們在埃及就對你說過：‘不要管我們，讓我們做埃及人的奴隸。’難道不是嗎？我們做埃及人的奴隸，也比死在荒野好！”
13	摩西對人民說：“不要害怕，要站穩，看耶和華今天要為你們施行的拯救！你們今天看見的埃及人，永遠也不會再看到了。
14	耶和華會為你們作戰，你們要安靜！”
15	耶和華對摩西說：“你為甚麼向我呼喊？叫以色列人前進！
16	你要高舉你的手杖，向海伸出你的手，把海分開，讓以色列人走在海裡的乾地上。
17	我很快就會使埃及人的心強硬，他們就會跟著以色列人走，這樣我就可以藉著法老、他的全軍、戰車、戰車兵得到榮耀。
18	我藉著法老和他的戰車、戰車兵得到榮耀，埃及人就會知道我是耶和華。”
19	神的使者本來在以色列隊伍前面走，現在移動到他們後面；他們前面的雲柱也移動，立在他們後面。
20	雲柱來到埃及隊伍和以色列隊伍之間，雲的一邊是黑暗，另一邊照亮夜晚；兩隊整夜都沒有走近對方。
21	摩西向海伸出他的手，耶和華就整夜用猛烈的東風吹動海水，把海變成乾地；這樣，水被分開了。
22	以色列人就進入海裡，在乾地上走，水在他們的左右成了牆垣。
23	埃及人追趕過來，法老所有的馬匹、戰車、戰車兵都跟著他們走進海裡。
24	到了凌晨，耶和華從火和雲的柱子那裡俯視埃及隊伍，使埃及隊伍慌亂，
25	又使他們的車輪脫落，難以行駛。埃及人就說：“我們逃跑離開以色列人吧，因為耶和華為他們作戰，攻擊埃及！”
 	埃及追兵葬身海中
26	耶和華對摩西說：“你要向海伸出你的手，使水往回流，淹沒埃及人，淹沒他們的戰車和戰車兵！”
27	摩西就向海伸出他的手，天亮的時候，海恢復原狀。埃及人要逃離海水，耶和華卻把埃及人抖落在海中。
28	水往回流，淹沒戰車和戰車兵，以及跟著以色列人進入海裡的法老全軍；那些人一個不剩。
29	以色列人卻在海裡的乾地上走，水在他們的左右成了牆垣。
30	就在那天，耶和華拯救以色列人脫離埃及人的手，以色列人看見埃及人的屍體在海邊。
31	以色列人看見耶和華向埃及人施展大能的手，這人民就敬畏耶和華，又信服耶和華和他的僕人摩西。
第十五章
 	摩西之歌
1	那時，摩西和以色列人向耶和華唱這首歌，說：“我要向耶和華歌唱，因為他崇高無比；戰馬和戰車兵，他拋入海中！
2	耶和華是我的力量、我的詩歌，他也成為我的拯救！這是我的神，我要讚美他；我父親的神，我要尊崇他！
3	耶和華是戰士——耶和華是他的名！
4	法老的戰車軍兵，他拋入海中，法老精選的軍官都沉於紅海。
5	深水淹沒他們，他們如同石頭墜入深處。
6	耶和華啊，你的右手以能力顯出榮耀！耶和華啊，你的右手擊碎仇敵！
7	你至高無上，覆滅那些起來敵對你的人；你發出怒火，吞滅他們如同麥稈。
8	你鼻孔噴氣，水就堆起，流水站立如堤壩，深水凝結在海心。
9	仇敵說：‘我要追趕、追上、分戰利品！抓住他們，我才心滿意足！我要拔刀，親手剷除他們！’
10	可是你一吹氣，海就淹沒他們，他們像鉛一樣沉入大水之中。
11	耶和華啊，眾神之中有誰可與你相比？有誰像你偉大聖潔？你配受敬畏讚美，你施行奇妙的作為！
12	你伸出右手，地就吞沒他們。
13	你用忠誠之愛帶領你贖回的人民；用你的大能引導他們到你神聖的居所。
14	眾民聽見就顫抖；痛苦抓住非利士的居民。
15	那時伊東族長們震驚，摩押領袖們被戰兢抓住，迦南所有居民的勇氣消融。
16	惶恐畏懼臨到他們；因你手臂的大能，他們像石頭般僵立不動，直到你的人民過去，耶和華啊，直到你買回來的人民過去。
17	你會引領他們，把他們栽種在你產業的山上，耶和華啊，就是在你為自己所造的住處；主啊，就是在你雙手建立的聖所。
18	耶和華為王，直到永永遠遠！”
19	法老的馬匹、戰車、戰車兵進入海裡，耶和華就使海水回流到他們身上，以色列人卻走在海裡的乾地上。
 	米莉安帶領眾婦女歌唱
20	女先知米莉安，亞倫的姐姐拿起手鼓，所有婦女跟著她出來，擊鼓跳舞。
21	米莉安回應摩西和以色列人：“你們要向耶和華歌唱，因為他崇高無比，戰馬和戰車兵，他拋入海中！”
 	瑪拉苦水和以琳水泉
22	摩西帶領以色列人從紅海出發，來到書珥荒野。他們在荒野走了三天，找不到水。
23	接著到了瑪拉，但是他們不能喝瑪拉的水，因為水苦。因此這個地方名叫瑪拉。
24	人民就向摩西發怨言說：“我們喝甚麼呢？”
25	摩西呼求耶和華，耶和華就向他指示一塊木頭。他把木頭丟進水裡，水就變甜了。就在那裡，耶和華給他們設下規定和律例；在那裡，他試驗他們。
26	耶和華說：“如果你確實聽從耶和華你神的話，遵行他眼中視為正的事，張開耳朵聽他的誡命，持守他的一切規定，那麼我曾經加在埃及人身上的任何疾病，我都不會加在你身上，因為我耶和華是你的醫治者。”
27	他們到達以琳，那裡有十二股水泉、七十棵棕棗樹。他們就在那裡的水邊安營。
第十六章
 	以色列人在荒野發怨言
1	以色列人整個群體從以琳起程，在從埃及地出來後的二月十五日，來到以琳和西奈之間的悉恩荒野。
2	以色列人整個群體在荒野向摩西和亞倫發怨言；
3	以色列人對他們說：“我們還不如在埃及地就死在耶和華手裡！那時候我們坐在肉鍋旁，有食糧吃到飽；你們卻領我們出來到這片荒野，要餓死這全體會眾！”
4	耶和華對摩西說：“我很快就要使食糧從天上傾瀉如雨給你們。人民要出去，每天收集當天需要的分量，我好試驗他們會不會遵行我的指示。
5	到第六天，他們要把收進來的預備好，這將是他們每天收集的兩倍。”
6	摩西和亞倫對全體以色列人說：“今晚你們就會知道是耶和華把你們從埃及地領出來的。
7	明早你們就會看見耶和華的榮耀，因為耶和華聽見你們衝著他發怨言——我們算甚麼，你們發怨言怎會是衝著我們呢？”
8	摩西又說：“耶和華今晚會給你們肉吃，早晨會給你們食糧讓你們飽足，因為耶和華聽見你們發怨言埋怨他——我們算甚麼？你們的怨言不是衝著我們，而是衝著耶和華！”
9	摩西對亞倫說：“你要對以色列人整個群體說：‘你們要走近，來到耶和華面前，因為他已經聽見你們的怨言了。’”
10	亞倫對以色列人整個群體說話的時候，他們轉身朝向荒野，就在這時，耶和華的榮耀在雲中顯現！
11	耶和華對摩西說：
12	“我已經聽見以色列人的怨言。你要告訴他們說：‘黃昏的時候你們會有肉吃，早晨的時候你們會有食糧讓你們飽足，這樣你們就知道我是耶和華你們的神了。’”
 	鵪鶉與嗎哪
13	到了晚上，有鵪鶉出現，把營地都遮蓋了。到了早晨，營地周邊有一層露水。
14	那層露水蒸發以後，荒野地面上就出現了薄薄的、雪花狀的東西，薄薄的如地上的霜。
15	以色列人看見，不知道那是甚麼，就彼此說：“這是甚麼？”摩西對他們說：“這就是耶和華賜給你們吃的食糧。
16	耶和華這樣吩咐：‘你們要按各人的食量收集，每人按自己帳篷裡的人數撿取，一人可以有一俄梅珥。’”
17	以色列人就這樣做；他們去收集，有人收得多，有人收得少。
18	然後他們用俄梅珥碗來量，收得多的沒有過剩，收得少的也不缺乏；他們按每個人的食量收集。
19	摩西又對他們說：“任何人都不許把其中一些留到早晨。”
20	有些人卻不聽從摩西，把一些留到早晨，結果都生蟲發臭，摩西就對他們發怒。
21	於是，每天早晨，各人都按照自己的食量收集；因為太陽一熱，沒有收集的食糧就融化了。
22	到第六天，他們收集到兩倍的食糧，每人有兩俄梅珥；群體的所有領袖就來告訴摩西。
23	摩西對他們說：“這就是耶和華說的：‘明天要安息，是屬於耶和華的聖安息日。你們要烤的現在就烤吧，要煮的現在就煮吧，剩餘的全部要自己存放好，保留到早晨。’”
24	他們就照摩西所吩咐的，把剩餘的留到早晨，竟然沒有發臭，裡頭也沒有蛆蟲。
25	摩西說：“今天你們就吃這個，因為今天是屬於耶和華的安息日，今天你們在外面不會找到食糧。
26	有六天你們可以收集，而第七天是安息日，不會有食糧給你們收集。”
27	第七天人民之中有些人出去收集，甚麼都找不到。
28	耶和華對摩西說：“你們還要多久才肯遵守我的誡命和指示呢？
29	你們看，耶和華賜給你們安息日，因此第六天他賜給你們兩天的食糧。第七天你們人人都要留在原處，誰都不可離開自己的地方！”
30	於是，人民在第七天安息。
31	以色列家稱這東西為“嗎哪”，它像芫荽種子，白色，味道像有蜜的薄餅。
32	摩西說：“耶和華這樣吩咐：要把裝滿一個俄梅珥碗的嗎哪保存起來給你們的後代，好讓他們看見我把你們從埃及地領出來的時候，在荒野給你們吃的食糧。”
33	摩西對亞倫說：“拿一個罐子來，把裝滿一個俄梅珥碗的嗎哪放進去，存留在耶和華面前，保存起來給你們的後代。”
34	亞倫就照耶和華吩咐摩西的，把那罐嗎哪存放在法櫃前面，保存下來。
35	以色列人吃嗎哪四十年，直至到達有人居住的地方，他們吃嗎哪，直至到達迦南地的邊界。
36	（一俄梅珥是一伊法的十分之一。）
第十七章
 	擊磐石出水
（民20:1~13）
1	以色列人整個群體從悉恩荒野起程，遵照耶和華的諭示一程一程地走。他們在利非訂安營；人民沒有水喝。
2	人民就控訴摩西，說：“你們要給我們水喝！”摩西對他們說：“你們為甚麼控訴我？你們為甚麼試探耶和華呢？”
3	人民在那裡口渴要喝水，就向摩西發怨言，說：“你為甚麼把我們從埃及領上來，使我們和我們的兒女，以及牲畜都渴死呢？”
4	摩西向耶和華呼求，說：“我可以對這人民做甚麼？再過一會兒他們就會用石頭打死我！”
5	耶和華對摩西說：“你要在人民前頭走，要帶上以色列的一些長老；你擊打過尼羅河的那根手杖，你要拿著去。
6	我會在何烈那裡站在你面前，站在磐石上。你要擊打那塊磐石，水就會從磐石那裡流出來，使人民可以喝。”摩西就在以色列的長老眼前這樣做。
7	他給那個地方起名叫試探地，又叫控訴地，因為以色列人在那裡作出控訴，又因為他們試探耶和華說：“耶和華究竟是在我們中間，還是不在？”
 	與亞瑪力人作戰
8	亞瑪力人來到，在利非訂攻打以色列人。
9	摩西對約書亞說：“你為我們挑選一些人，出去和亞瑪力人交戰。明天我會手拿神的杖，站在山頂。”
10	約書亞就照摩西對他說的去做，與亞瑪力人交戰。摩西、亞倫、戶珥都登上山頂。
11	摩西舉起手的時候，以色列人就得勝；他垂下手的時候，亞瑪力人就得勝。
12	摩西的雙手累了，他們就搬來一塊石頭，放在摩西身後，他就坐在上面。亞倫和戶珥一邊一個，扶著摩西雙手，他的雙手就穩固，直到日落。
13	約書亞用刀砍倒了亞瑪力全軍。
14	耶和華對摩西說：“你要把這件事寫在書裡作提醒，也要講給約書亞聽：我必定把亞瑪力的名號從天下除滅！”
15	摩西築了一座祭壇，給它起名叫“耶和華是我的旗幟”，
16	意思是：“有一隻手在耶和華的寶座上！耶和華世世代代與亞瑪力人爭戰！”
第十八章
 	葉特羅見摩西
1	摩西的岳父，米甸祭司葉特羅，聽說神為摩西和他的子民以色列所做的一切，就是耶和華把以色列人從埃及領出來的事。
2	於是，摩西的岳父葉特羅帶來西坡拉，就是摩西以前送回去的妻子，
3	以及她的兩個兒子，一個名叫革舜，意思是“我在異地成了寄居者”；
4	另一個名叫以利以謝，意思是“我父親的神是我的幫助，他救我脫離法老的刀”。
5	摩西的岳父葉特羅、摩西的兩個兒子和妻子來見摩西，來到荒野裡摩西紮營的地方，就是神的山。
6	葉特羅傳話給摩西說：“我葉特羅，你的岳父來見你，還有你的妻子和她的兩個兒子。”
7	摩西出來迎接岳父，向他下拜，和他親吻，彼此問好，然後一起進入帳篷。
8	摩西向岳父講述耶和華為以色列人的緣故，對法老和埃及人所做的一切事，還有以色列人在路上遭遇的一切困難，以及耶和華怎樣搭救他們。
9	葉特羅因為耶和華為以色列所做的一切美事，就是搭救他們脫離埃及人的手，而歡喜快樂。
10	葉特羅說：“耶和華配受稱頌，他搭救你們脫離埃及人的手和法老的手，把這人民從埃及人的手下搭救出來！
11	因為埃及人肆意欺凌以色列人的那件事，現在我知道耶和華比眾神明都偉大。”
12	摩西的岳父葉特羅把燔祭和一些祭牲拿來獻給神。亞倫和以色列所有長老都來與摩西的岳父一同在神面前用餐。
 	摩西的岳父建議設立多級審判官
（參申1:9~17）
13	第二天，摩西坐著審斷人民的案件，人民從早到晚站在摩西身邊。
14	摩西的岳父看見他向人民在做的這一切，就說：“你怎麼這樣為人民做事？為甚麼你獨自坐著，而所有人民從早到晚站在你身邊？”
15	摩西對岳父說：“因為人民來我這裡求問神。
16	他們有事的時候，就來我這裡，我就在雙方之間審斷，使他們知道神的規定和指示。”
17	摩西的岳父對他說：“你這樣做不好。
18	你必定會累垮，這些和你一起的人民也是，因為這件事對你來說太繁重，你獨自一個人做不了。
19	現在你要聽從我的話，我給你出個主意，願神與你同在！你要在神面前做人民的代表，你要把事情呈到神那裡。
20	又要告誡他們遵守那些規定和指示，使他們知道他們當走的路、應做的事。
21	另外，你要親自從所有人民中挑選有才能、敬畏神、誠實求真、恨惡不義之財的人，立他們為千夫長、百夫長、五十夫長、十夫長管治人民，
22	讓他們隨時審斷人民的案件。所有大事，他們要呈到你這裡來；所有小事，他們要自己審斷。你就可以輕鬆些，他們可以和你一同擔當。
23	如果你這樣做，神也這樣吩咐你，你就能承受得住，這人民也全都可以平安地回到自己的地方去。”
24	於是，摩西聽從岳父的話，按照他所說的一切去做。
25	摩西從全體以色列人中選出有才能的人，立他們為人民的首領，作千夫長、百夫長、五十夫長、十夫長。
26	他們隨時審斷人民的案件。難斷的事他們呈到摩西那裡，所有小事他們自己審斷。
27	此後，摩西給岳父送行，他就回自己的地去。
第十九章
 	神在西奈山給子民的話
1	在以色列人從埃及地出來後的三月一日——在這一天，他們來到西奈荒野。
2	之前他們從利非訂起程，現在來到西奈荒野，就在這片荒野安營。以色列人在山前安營，
3	摩西則上山往神那裡去。耶和華從這座山上呼喚他，說：“你要對雅各家這樣說，要告訴以色列人：
4	‘你們已經親眼看見我對埃及做的事，以及我怎樣把你們背在鷹的翅膀上，帶來歸屬我。
5	現在如果你們確實聽從我的話，守我的約，你們就在所有民族之中作我特有的珍貴產業，因為全地都是我的。
6	就是你們，你們要歸我為祭司的王國和聖潔的國家。’這些話你要告訴以色列人。”
7	摩西就去召來人民的長老，把耶和華吩咐他的這一切話在他們面前陳明。
8	全體人民一致地回答說：“耶和華所說的這一切，我們都會遵行。”摩西就把人民的話回報給耶和華。
 	立約前的準備
9	耶和華對摩西說：“我快要在密布的烏雲中臨到你那裡，好使人民聽見我與你說話，他們就肯定會永遠相信你。”摩西這才把人民的話告訴耶和華。
10	耶和華對摩西說：“你到人民那裡去，使他們在今天和明天分別為聖；他們要洗自己的衣服。
11	他們要預備好，直到第三天，因為第三天耶和華要在所有人民眼前降臨在西奈山上。
12	你要在山的周邊給人民劃定界限，說：‘你們要當心，不可登上這座山，也不可碰到山的邊界。所有碰到這座山的，都必須處死——
13	不可以用手接觸，而必須用石頭打死，或用箭射死——無論是牲畜還是人，都不得存活。’當號角長鳴的時候，才讓他們上山。”
14	摩西從山上下來到人民那裡，使人民分別為聖；他們都洗自己的衣服。
15	他還對人民說：“你們三天都要預備好；不可以親近女人。”
 	耶和華在西奈山顯現
16	到了第三天早晨的時候，山上出現雷霆、閃電、烏雲，並且有一支號角的聲音響起，非常洪亮，營裡所有人民都震顫。
17	摩西率領人民出營去迎接神，他們站在山下。
18	那時整座西奈山冒煙，因為耶和華在火裡降臨到山上。滿山濃煙上騰，好像火爐的煙，整座山劇烈震顫。
19	號角聲越來越洪亮，摩西就開始說話，神發聲回答他。
20	耶和華降臨在西奈山的山頂。耶和華呼召摩西上山頂，摩西就上去。
21	耶和華對摩西說：“你下去警告人民，免得他們闖到耶和華這裡來看，那樣就會有許多人倒斃。
22	還有，走近耶和華的祭司要使自己分別為聖，免得耶和華突然攻擊他們。”
23	摩西對耶和華說：“人民不能夠上西奈山，因為你自己已經警告過我們說：‘要給這座山劃定界限，把山分別為聖。’”
24	耶和華對他說：“你下山去，然後你和亞倫一起上來。祭司們和人民則不可闖過來上到耶和華這裡，免得他突然攻擊他們。”
25	於是，摩西下到人民那裡，對他們說話。
第二十章
 	耶和華頒布十誡
（申5:7~21）
1	神說了以下這一切的話：
2	“我是耶和華你的神，是我把你從埃及地、從為奴之家領出來。
3	“除我以外，你不可有別的神。
4	“你不可造雕像或任何形式的偶像，來代表天上、地下，或河海裡的東西；
5	不可向它們下拜，不可侍奉它們，因為我耶和華你的神是痛恨不忠的神；恨我的人，我追討他們的罪責，懲罰他們的兒子、第三代、第四代；
6	愛我、遵守我誡命的人，我以忠誠之愛對待他們，直到千代。
7	“不可利用耶和華你神的名弄虛作假，因為那利用他的名弄虛作假的人，耶和華不會免去責罰。
8	“要謹記安息日，把這日分別為聖。
