羅馬書
第一章
 	問候
14	這樣也許可以激起我骨肉之親的嫉妒，使我可以救他們其中一些人。
15	如果他們被丟棄，世人就得以與神和好；他們蒙接納，不就等於從死人中復活嗎？
16	如果初獻的部分聖潔，整團麵也聖潔；如果樹根聖潔，枝子也聖潔。
17	如果枝子中有些被折下來，而你這野橄欖枝又得以在其餘的枝子當中嫁接在樹上，一起分享橄欖樹根的滋養，
18	你就不要向其他枝子誇口。但你如果誇口，就應當想想：不是你支持著樹根，而是樹根支持著你。
19	那麼，你會說：“有些枝子被折下來，就是要把我接上去。”
20	不錯，他們因為不信而被折下來，你卻因信而站立得住。你不可心高氣傲，倒要畏懼，
21	因為神如果不顧惜這樹上那些天生的枝子，恐怕也不會顧惜你。
22	所以，要留意神的恩慈和嚴厲：對跌倒的人，他是嚴厲的；對你，他卻是恩慈的，只要你繼續在神的恩慈裡；不然的話，你也會被砍下來。
23	至於他們，只要不是繼續不信，就會被接上去，因為神能夠把他們重新接上去。
24	要知道，如果你從那天生是野橄欖的樹上被砍下來，尚且可以違反自然，嫁接在園中栽培的橄欖樹上，更何況這樹上那些天生的枝子，它們不是更能夠嫁接在自己的橄欖樹上嗎？
 	全以色列都要得救
25	弟兄們，我不想你們不知道這奧祕，免得你們自以為聰明：部分以色列人已經變得頑梗不化，直到外族人的全數都成為神的子民；
26	這樣，全以色列都要得救，正如經上所記：“那拯救者將從錫安來臨，使一切過犯轉離雅各；
27	這是我與他們所立之約，立於我除掉他們罪惡之時。”
28	就福音來說，因你們的緣故，他們是神的仇敵；就揀選來說，因列祖的緣故，他們卻是蒙神所愛的，
29	因為神的恩賜和呼召永不改變。
30	你們從前不順從神，現在卻因他們的不順從而得蒙憐憫；
31	照樣，他們現在不順從，是要因你們所蒙的憐憫，現在也可以蒙憐憫。
32	因為神把所有人都困在不順從之中，為的是要憐憫所有人。
 	頌讚神
33	啊，神的豐富、智慧、知識何等深奧！他的判斷多麼難測，他的道路多麼難尋！
34	“誰曾知道主的心意，誰做過他的謀士？”
35	“誰先給了他，要得他回報呢？”
36	因為萬有都源於他，倚靠他，歸於他。榮耀屬於他，直到永遠！阿們。
第十二章
 	獻上自己為祭
1	所以，弟兄們，我本著神的憐憫，勸勉你們把身體獻上為祭，這祭是活著的、聖潔的、蒙神喜悅的，是你們有思想靈性的侍奉。
2	不要模仿這現世時代，卻要藉著心意的更新而改變，使你們可以分辨出甚麼是神的旨意，即甚麼是美好、蒙他喜悅和完美的。
3	我憑著賜給我的恩典對你們中間每個人說，不要自視過高，過於應有的評價，倒要按照神分配給每個人信心的分量，存謙謹的態度。
4	正如我們一個身體有許多部分，各個部分功能不一；
5	照樣，我們這許多人在基督裡是一個身體，而且身體各部分彼此相屬。
6	照著賜給我們的恩典，我們各有不同的恩賜：如果是做先知為神傳話，就要照著信心的程度去傳講，
7	服侍的要去服侍，教導的要去教導，
8	勸勉的要去勸勉，捐獻的要真誠，關顧人的要熱誠，憐憫人的要樂意。
 	基督徒的愛心生活
9	愛，不可虛偽；惡，要深惡痛絕；善，要緊貼不離。
10	要以手足之情相親相愛，在彼此敬重上不甘後人。
11	熱誠不可減退，要心靈火熱，常常服侍主；
12	在盼望中要喜樂，在患難中要堅忍，禱告要恆切。
13	要分擔聖徒的貧困，熱衷於款待客人。
14	要祝福那些迫害你們的人，祝福而不可詛咒。
15	要與喜樂的人同樂，與哀哭的人同哭。
16	要彼此同心，不要心高氣傲，倒要俯就卑微的人。不要自以為聰明。
17	不要對任何人以惡報惡。眾人認為美好的事要留心去做。
18	可能的話，要盡你們所能與眾人和睦相處。
19	親愛的啊，你們不要為自己申冤，寧可讓給主的震怒，因為經上記著，主說：“申冤在我，我必報應。”
20	倒不如這樣：“如果仇敵餓了，就要給他食物吃；如果渴了，就要給他水喝，因為你這樣做，就是把燒著的炭堆在他的頭上。”
21	不要被惡所勝，反要以善勝惡。
第十三章
 	服從掌權者
1	人人都要服從在上掌權者，因為除非由神指派，否則就沒有掌權的；現有的掌權者都由神指派。
2	所以，抗拒掌權的，就是違抗神的指令；違抗的人必自招刑罰。
3	執政者不是要使行善的畏懼，而是要使作惡的畏懼。你想不畏懼掌權的嗎？只要行善，就會得到他的稱讚，
4	因為他是神的僕人，對你有益。但你如果作惡，就應該畏懼，因為他不是枉然佩劍的。他是神的僕人，負責執行懲罰，使震怒臨到作惡的人。
5	所以，你們必須服從，不單是因為畏懼神的震怒，也是為了良心。
6	你們繳納稅貢，也是為了這個緣故，因為掌權者是神的聖僕，專責處理這事。
7	你們要向每個人還清所欠的——該向誰納稅，就向誰納稅；該向誰繳費，就向誰繳費；該敬畏誰，就敬畏誰；該尊敬誰，就尊敬誰。
 	愛是律法的成全
8	對任何人都不要虧欠甚麼，只是要彼此相愛如同欠債，因為愛人者已經成全了律法。
9	“不可通姦，不可殺人，不可偷盜，不可貪心”，以及無論甚麼別的誡命，都總括在“愛人如己”這一句話裡面了。
10	愛不會做損害人的事，所以愛是律法的成全。
 	穿上主耶穌基督
11	你們既然知道這是甚麼時候，就更應如此；現在早應是你們睡醒的時刻了！因為我們的救恩，現在比初信時更接近了。
12	黑夜將盡，白晝將臨；因此，我們要除掉黑暗的行為，佩戴光明的武器。
13	行事為人要端正，好像行在白晝。不要荒宴醉酒，不要淫蕩縱慾，不要爭吵嫉恨。
14	相反，你們要穿戴主耶穌基督，不要想方設法去滿足肉體的私慾。
第十四章
 	不可藐視或評斷弟兄
1	你們要接納信心軟弱的人，不要因為意見分歧而爭辯。
2	有人相信一切食物都可以吃，軟弱的人卻只吃蔬菜。
3	吃的人不要藐視不吃的人，不吃的人也不要評斷吃的人，因為神已經接納他了。
4	你是誰，竟然評斷別人的家奴？他或站穩或跌倒，都不過是他自己主人的事；而且，他也會站穩，因為主能夠使他站穩。
5	有人認為這一天比那一天好，也有人認為每天都一樣；每個人都要確信自己的看法。
6	注重日子的人，是為主而注重；吃的人是為主而吃，因為他感謝神；不吃的人是為主而不吃，他也感謝神。
7	我們沒有一個人為自己活，也沒有一個人為自己死。
8	我們如果活著，就是為主而活；如果死了，就是為主而死。所以，我們無論是活是死，總是屬於主的。
9	基督死了，又活過來，目的就是要做死人和活人的主。
10	可是你呀，為甚麼評斷你的弟兄？還有你呀，為甚麼藐視你的弟兄？要知道，我們都要站在神的審判台前，
11	因為經上記著：“主起誓說：‘我是永活的神！萬膝必向我跪拜，萬口必宣認神。’”
12	因此，我們每個人都要為自己的事情向神交賬。
 	不可使弟兄跌倒
13	所以，我們不要再彼此評斷，而要下定決心，不做絆倒弟兄或使他跌倒的事。
14	我知道，並且在主耶穌裡深信，沒有一樣東西本身是不潔的，只是甚麼東西如果有人視為不潔，對這人來說就是不潔。
15	如果你的弟兄因為你的食物而難受，你就再也不是憑著愛行事了。基督已經為他而死，你不要因為你的食物而使他滅亡。
16	所以，不要讓你們認為好的事情遭人毀謗，
17	因為神的王國不在於吃喝，而在於靠聖靈而得的義、和睦與喜樂。
18	要知道，這樣服侍基督的人，既蒙神喜悅，又得人認可。
19	因此，我們務要使人和睦，彼此造就。
20	不要因為食物的緣故破壞神的工作。一切都是潔淨的，但如果有人因為吃東西而絆倒人，這對吃的人來說就是壞事了。
21	不管是吃肉、喝酒，或是甚麼令你弟兄絆倒的事，都不要做才好。
22	你所持有的信心，你獨自在神面前持有就可以了。人在自己認為對的事上能夠不自責，就有福了，
23	但心存疑慮的人如果去吃，就被定罪，因為這不是出於信心。凡不是出於信心的，就都是罪。
第十五章
 	不求自己的喜悅
1	我們這些堅強之人應該擔當不堅強之人的軟弱，不求自己的喜悅。
2	為了別人的益處，使他得到造就，我們每個人都要使別人喜悅，
3	因為連基督也不求自己的喜悅，反而正如經上所記：“那些辱罵你之人的辱罵，都落在我身上。”
4	要知道，從前經上所寫的一切，都是為教導我們而寫的，好使我們藉著堅忍，藉著聖經的安慰，可以懷有盼望。
5	願賜堅忍和安慰的神，使你們彼此同心，效法基督耶穌，
6	好使你們一起同聲榮耀我們主耶穌基督的父神。
 	外族人與猶太人一樣蒙恩
7	因此，你們要彼此接納，就像基督已經接納你們一樣，使榮耀歸於神。
8	我是說，基督為了神的真理，成了受割禮者的僕人，為要保證對祖先的各項應許得以實現，
9	並使外族人因所蒙的憐憫而榮耀神，正如經上所記：“因此，我要在外族人中稱頌你，歌頌你的名。”
10	又說：“外族人啊，要與他的子民一起歡樂！”
11	又說：“所有外族人啊，你們要讚美主！萬民都要頌讚他！”
12	以賽亞也說：“耶西的根芽將會出現，他會興起來統治外族；外族人將盼望的是他。”
13	願賜盼望的神，因你們的信，用一切喜樂平安充滿你們，使你們靠著聖靈的大能有滿溢的盼望。
 	保羅傳福音的使命
14	我的弟兄們，關於你們，我個人深信你們本身滿有良善，已經充滿一切知識，足以彼此勸導。
15	有些地方我寫得較為大膽，只是要提醒你們；我因神賜給我的恩典，
16	為外族人成為基督耶穌的聖僕，做神福音的祭司，使所獻上的外族人靠著聖靈分別為聖，得蒙悅納。
17	所以，在神的事上，我在基督耶穌裡有可引以為傲的。
18-19	別的我不敢說，我只說基督藉著我完成的任務，就是用言語行為，藉著強大的神蹟奇能，藉著聖靈的大能，使外族人順從；這樣，我就從耶路撒冷開始，東折西繞，直到伊呂利康，把基督的福音盡都傳開了。
20	我有雄心壯志這樣做：不在已知基督之名的地方傳福音，免得建造在別人的根基上，
21	而是正如經上所記：“從未有人向他們傳揚他的人，將要看見；從未聽過的人，將要明白。”
 	保羅計劃到羅馬去
22	因此，我多次被耽擱，一直未能抽身到你們那裡去。
23	但如今，這些地區再沒有可以拓展的地方了，而且我多年來都很想去你們那裡，
24	所以我希望，當我甚麼時候可以到西班牙去，就在路過時和你們見面，稍享與你們相聚之樂，然後由你們幫助我上路到那裡去。
25	不過，我現在要去耶路撒冷服侍聖徒，
26	因為馬其頓和亞該亞的信徒，為表情誼，樂意地捐了些錢給耶路撒冷聖徒當中的窮人。
27	他們是樂意的，其實這也是他們必須履行的責任，因為外族人既然分享了猶太人屬靈的好處，就應該供應他們肉身的需要。
28	等我辦完這件事，把這筆款項妥當地交給他們，我就會起程路過你們那裡到西班牙去。
29	我知道我到你們那裡去的時候，一定會帶著基督豐盛的福分。
30	弟兄們，本著我們的主耶穌基督，本著聖靈賜給你們的愛，我懇求你們和我一起竭力為我向神禱告，
31	求神救我脫離猶太地區不信從的人，也使我為耶路撒冷的服侍，可以得到聖徒悅納，
32	好使我照著神的旨意，高高興興地到你們那裡去，和你們同住一些時候。
33	願賜平安的神與你們每個人同在！阿們。
第十六章
 	保羅推薦菲比
1	我向你們推薦我們的姐妹菲比，她是堅革里教會的執事。
2	請你們用合乎聖徒身份的方式，在主裡歡迎她。無論她在甚麼事上需要你們，請你們都幫助她，因為她曾經幫助許多人，也幫助過我。
 	保羅問候眾聖徒
3	請問候在基督耶穌裡與我同工的百姬拉和亞居拉，
4	他們為了我的性命，置生死於度外，不但我感激他們，連外族的各教會都感激他們；
5	也請問候在他們家裡的教會。請問候我親愛的朋友伊拜尼托，他是亞西亞首先獻給基督的人。
6	請問候馬利亞，她為你們極盡辛勞。
7	請問候安多尼古和猶尼亞，他們是我同族，也曾與我同囚；他們在使徒當中享有名望，也比我先在基督裡。
8	請問候我在主裡親愛的朋友安普利圖。
9	請問候在基督裡和我們同工的歐巴諾，還有我親愛的朋友斯塔古。
10	請問候在基督裡得到認可的亞比利。請問候亞里斯多博家裡的人。
11	請問候我的同族希羅迪安。請問候納其舒一家在主裡的人。
12	請問候在主裡辛勞的特魯菲娜和特魯芙莎。請問候我親愛的朋友佩西絲，她在主裡極盡辛勞。
13	請問候在主裡蒙揀選的盧孚，還有他的母親，也是我的母親。
14	請問候亞遜其圖、弗勒貢、赫爾墨、帕特羅巴、赫爾馬，以及跟他們在一起的弟兄們。
15	請問候斐羅洛古和猶莉亞、尼利亞和他的姐妹，還有奧林帕，以及跟他們在一起的所有聖徒。
16	你們要用聖潔的吻彼此問候。基督的眾教會都問候你們。
 	提防危害信仰的人
17	弟兄們，我勸你們，要提防那些製造分裂、引誘人犯罪、有違你們所學教義的人；避開他們！
18	因為這種人不服侍我們的主基督，只服侍自己的肚腹，用花言巧語欺騙老實人的心。
19	你們的順從已經傳得人人皆知，所以我為你們高興。我希望你們於善事聰慧，於惡事純潔。
20	賜平安的神很快就會把撒但踏碎在你們腳下。願我們主耶穌的恩典與你們同在！
21	我的同工提摩太，以及我的同族路求、雅森、索西巴特，都問候你們。
22	（我這代筆寫信的德圖也在主裡問候你們。）
23	接待我也接待全教會的該猶問候你們。本城的財政官伊拉斯圖，還有夸圖弟兄，都問候你們。
24	（有些後期抄本加上第24節祝福語：“願我們主耶穌基督的恩典與你們眾人同在！阿們。”）
 	頌讚
25	神能夠照著委託給我的福音和我宣講的耶穌基督，就是照著把奧祕揭開的啟示，堅定你們。這奧祕自古以來祕而不宣，
26	但是現在藉著眾先知所寫的，照著永恆神的諭旨，已經向萬族顯明出來，使他們因為相信而順從。
27	他是獨一全智的神，藉著耶穌基督，榮耀屬於他，直到永遠！阿們。
