使徒行傳
第一章
 	吩咐門徒等候聖靈
3	掃羅正在走路，快到大馬士革的時候，忽然有一道光從天上發出，照亮他的四周。
4	他仆倒在地，聽見有聲音對他說：“掃羅，掃羅！你為甚麼迫害我？”
5	他說：“主啊，你是誰？”主說：“我就是你迫害的耶穌。
6	起來！進城去，就會有人告訴你必須做甚麼。”
7	同行的人都站在那裡，說不出話來，因為他們聽見聲音，卻看不見有甚麼人。
8	掃羅從地上爬起來，睜開眼睛，卻甚麼也看不見。他們牽著他的手，把他帶到大馬士革去。
9	他三天甚麼都看不見，不吃也不喝。
10	在大馬士革有一個門徒名叫哈納尼雅，主在異象裡對他說：“哈納尼雅！”他說：“主啊，我在這裡。”
11	主對他說：“起來，到直街去，在猶大家裡找一個名叫掃羅的大數人。他現在正好在禱告；
12	他已經在異象裡看見一個名叫哈納尼雅的人進來按手在他頭上，使他復明。”
13	但是，哈納尼雅回答：“主啊，我聽許多人談到這個人，說他在耶路撒冷對你的聖徒做了那麼多的壞事；
14	他又有祭司長授權，要在這裡捆綁所有呼求你名的人。”
15	主對他說：“你去吧，這人是我揀選的器皿，要在外族人、君王和以色列人面前擔負我的名。
16	我會親自向他指出，他必須為我的名遭受多大的苦難。”
17	哈納尼雅就去了，進了那家，按手在掃羅頭上，說：“掃羅弟兄，主，就是在你來的路上向你顯現的耶穌，派我來使你復明並且被聖靈充滿。”
18	掃羅眼裡立刻就有些鱗片似的東西掉下來，他就復明了，於是起來受洗，
19	吃過東西後，就恢復體力。掃羅跟大馬士革的門徒一起住了幾天，
 	掃羅在大馬士革傳道
20	隨即在各會堂裡宣講耶穌，說這一位就是神的兒子。
21	所有聽見的人都很驚訝，說：“在耶路撒冷殘害那些呼求這名之人的，不就是這個人嗎？他來這裡不是要把他們綁起來押到祭司長那裡去嗎？”
22	掃羅越來越有能力，駁倒住在大馬士革的猶太人，證明耶穌是基督。
 	掃羅逃脫猶太人的謀害
23	過了好些日子，猶太人商議要殺掉掃羅，
24	他們的計謀卻被掃羅知道了。原來他們在各城門日夜把守，要殺掉他，
25	但是他的門徒在夜間用大籃子把他從城牆上縋下去。
26	掃羅到了耶路撒冷，想要與門徒結交，可是大家都怕他，不相信他是門徒。
27	巴拿巴卻拉他過來，帶他去見使徒，詳細告訴他們掃羅怎樣在路上看見主，主怎樣向他說話，他怎樣在大馬士革奉耶穌的名放膽傳講。
28	於是，掃羅在耶路撒冷與門徒一起出入，奉主的名放膽傳講，
29	並且與說希臘語的猶太人談論辯駁，那些人卻打算殺了他。
30	弟兄們知道了，就帶他下到凱撒利亞，然後送往大數去。
31	那時，教會在猶太、加利利、撒瑪利亞各處都得享平安，得以建立，存著敬畏主的心過生活，並且因聖靈的激勵，人數增多起來。
 	彼得治好艾尼雅
32	彼得穿梭各地的時候，有一次也到了住在呂達的聖徒那裡。
33	他在那裡遇見一個人，名叫艾尼雅，是個癱瘓的人，躺在床墊上已經有八年。
34	彼得對他說：“艾尼雅，耶穌基督治好你了！起來，收好你的床墊！”他就立刻起來。
35	所有住在呂達和沙崙的人，看見他就歸向主。
 	彼得使多嘉復活
36	在約帕有一個女門徒，名叫塔碧莎，翻作希臘語就是“多嘉”；她樂善好施。
37	那時，她患病而死，洗淨了就停放在樓上的房間。
38	呂達離約帕不遠，門徒聽說彼得在那邊，就派兩個人到他那裡去，懇求他說：“請到我們這裡來，不要延遲！”
39	彼得就動身跟他們一起去。到了之後，他們領他到樓上的房間。所有寡婦都站在彼得旁邊哭，把多嘉還與她們在一起時所做的內袍外袍拿給他看。
40	彼得打發所有人出去，就跪下禱告，然後轉過身來對著遺體說：“塔碧莎，起來！”她就睜開眼睛，看見彼得後，就坐了起來。
41	彼得伸手扶她站起來，然後叫那些聖徒和寡婦都進來，把多嘉活生生地交給他們。
42	這事傳遍了約帕，很多人就都信了主。
43	此後，彼得在約帕一個皮革匠西門家裡住了好些日子。
第十章
 	哥尼流見異象
1	在凱撒利亞有一個人，名叫哥尼流，是那稱為“意大利步兵大隊”的一個百夫長。
2	他是個敬虔的人，他和全家都敬畏神；他對民眾慷慨樂施，常常向神祈禱。
3	有一天，大約下午三時，他在異象裡清楚看見神的一位天使來到他那裡，對他說：“哥尼流！”
4	哥尼流定睛一看天使，害怕起來，就說：“主啊，有甚麼事呢？”天使對他說：“你的禱告和樂施已經上達神面前，蒙他垂念了。
5	現在你要派人到約帕去，請一個稱為彼得的西門來。
6	他在一個叫西門的皮革匠家裡作客，房子就在海邊。”
7	對哥尼流說話的天使走後，哥尼流就叫來兩個家奴和一個隨身服侍他的虔誠士兵，
8	把一切事向他們講明，然後派他們到約帕去。
 	彼得見異象
9	第二天，他們走路快到那座城的時候，彼得上了房頂去禱告，那時大約正午。
10	他感到很餓，想吃東西。那家人正給彼得準備的時候，他魂遊象外，
11	看見天開了，有一件好像一塊大布的東西降下，綁著四角縋到地上；
12	裡面有地上的各樣四足動物，還有爬行動物和天空的飛鳥。
13	有聲音對他說：“彼得，起來，宰了吃！”
14	彼得說：“主啊，絕對不行！我從來不吃俗物和不潔淨的東西。”
15	第二次又有聲音對他說：“神所潔淨的，你不可當作俗物。”
16	這樣一連三次之後，那件東西就立刻被收回天上去了。
17	正當彼得心裡困惑，不明白所看見的異象是甚麼意思的時候，恰好哥尼流派來的人已經打聽到西門的家，就站在門口，
18	大聲問：“有沒有一個稱為彼得的西門在這裡作客？”
19	彼得還在思量那異象的時候，聖靈對他說：“看，有三個人來找你！
20	起來，下去吧，跟他們一起去，不要猶豫，因為是我派他們來的。”
21	於是，彼得下到他們那裡去，說：“看，我就是你們要找的人。你們到這裡來是為了甚麼緣故呢？”
22	他們說：“百夫長哥尼流是個義人，又敬畏神，整個猶太民族都稱讚他。他得到一位聖天使特別指示，要請你到他家裡，聽你說話。”
23	彼得就請他們進去，款待他們。第二天，彼得動身跟他們一起去，還有些約帕的弟兄同行。
24	又過了一天，他們到了凱撒利亞。哥尼流已經招聚了自己的親戚好友，等候他們。
25	彼得一進去，哥尼流就迎接他，俯伏在他腳前下拜。
26	彼得扶起他來，說：“起來，我自己也不過是人。”
27	彼得和他說著話，進了房子，看見許多人聚集在那裡，
28	就對他們說：“你們都知道，猶太人是不許和異族人結交來往的，但是神已經指示了我，不可把任何人當作凡俗或不潔淨的，
29	所以我一接到邀請，我沒有回絕就來了。現在請問：你們為甚麼請我來呢？”
30	哥尼流說：“四天前，就在下午三時這個時刻，我在家裡禱告，忽然有一位身穿光亮衣服的人站在我面前，
31	說：‘哥尼流，你的禱告已蒙垂聽，你的樂施在神面前已蒙垂念。
32	你要派人到約帕去，請那個稱為彼得的西門來。他在海邊一個叫西門的皮革匠家裡作客。’
33	所以，我立刻派人到你那裡去。你來了，真是太好了！現在我們所有人都在神面前，要聽主吩咐你的一切。”
 	彼得對哥尼流全家講道
34	彼得就開口說：“我現在真正明白神不偏待人。
35	所有民族當中，凡是敬畏他而行義的人，都蒙他悅納。
36	你們知道神向以色列人發出的這話語，他藉著耶穌基督傳揚和好的福音——這位耶穌是萬有的主。
37	在約翰宣講洗禮的信息以後，從加利利開始，在猶太全地發生的事，你們是知道的，
38	就是神怎樣以聖靈和大能膏立拿撒勒人耶穌。他到各處行善，治好所有被魔鬼壓制的人，因為神與他同在。
39	他在猶太人的地方和耶路撒冷所做的一切，我們就是見證人；他們竟然把他掛在十字架上殺了。
40	神使他在第三天復活，並且使他顯現，
41	不是顯現給全體民眾，而是顯現給我們這些蒙神預先揀選的見證人，也就是在他從死人中復活之後曾經與他一起吃喝的人。
42	耶穌吩咐我們向民眾宣講，鄭重見證他就是神所確立的那一位，是活人和死人的審判者。
43	所有先知都為這位耶穌作見證：所有信他的人，都會藉著他的名得蒙赦罪。”
 	外族人領受聖靈
44	彼得還在說這些話的時候，聖靈就降在所有聽道的人身上。
45	那些跟彼得一起來、嚴守割禮的信徒，看見神贈予的聖靈竟然也傾倒在外族人的身上，就都很驚訝，
46	這是因為他們聽見那些人用方言說話，尊神為大。於是彼得說：
47	“有誰能夠阻止他們受水的洗禮呢？這些人已經像我們一樣領受了聖靈！”
48	他就吩咐他們奉耶穌基督的名受洗。之後，他們請求彼得在那裡住了些日子。
第十一章
 	彼得向耶路撒冷教會報告
1	這時，使徒和在猶太的弟兄們聽說外族人也接受了神的道。
2	彼得上到耶路撒冷的時候，那些嚴守割禮的人就和他爭論，
3	說：“你竟然到未受割禮的人那裡，跟他們一起用餐！”
4	彼得就開始有條不紊地向他們講述事情經過，說：
5	“我在約帕城禱告的時候，魂遊象外，看見異象：有一件東西降下，好像一塊大布，綁著四角，從天上縋下來，一直來到我面前。
6	我定睛細看，看見裡面有地上的四足動物、野獸，還有爬行動物和天空的飛鳥。
7	我也聽見有聲音對我說：‘彼得，起來，宰了吃！’
8	我說：‘主啊，絕對不行，因為俗物或不潔淨的東西，從來沒有進過我的口。’
9	第二次又有聲音從天上回答：‘神所潔淨的，你不可當作俗物。’
10	這樣一連三次之後，所有的東西都收回天上去了。
11	就在這時，恰好有三個從凱撒利亞派到我這裡來的人，站在我們所住的房子門前。
12	聖靈吩咐我跟他們一起去，不要有任何疑惑。這六位弟兄也跟我一起去，我們就進了那人的家。
13	他就告訴我們，他怎樣看見天使站在他家裡說：‘派人到約帕去，請那個名叫彼得的西門來，
14	他有話要告訴你，使你和你全家都會得救。’
15	我一開始講話，聖靈就降在他們身上，就像當初降在我們身上一樣。
16	於是我想起主所說的話：‘約翰用水施洗，但是你們將會受用聖靈施行的洗禮。’
17	我們相信主耶穌基督的時候就領受了神贈予的聖靈，如果神贈予他們的跟他贈予我們的相同，那麼我是甚麼人，能夠阻擋神嗎？”
18	大家聽了這些話，無言以對，就把榮耀歸給神，說：“這樣看來，神也賜恩給外族人，使他們悔改得生命。”
 	安提阿的教會
19	那些因為司提反事件而受迫害四散的門徒，一直走到腓尼基、塞浦路斯、安提阿；除了猶太人之外，他們不向別人傳講福音。
20	但是，其中有些塞浦路斯人和古利奈人，來到安提阿，也向希臘人講說，傳主耶穌的福音。
21	主的手與他們同在，信而歸向主的人數就多起來。
22	這事傳到耶路撒冷教會耳中，他們就派巴拿巴到安提阿去。
23	他到了那裡，看見神所施的恩，就很喜樂，勸勉大家要心志堅定，恆久留在主裡，
24	因為巴拿巴是個好人，滿有聖靈和信心。於是許多人歸了主。
25	後來巴拿巴到大數去找掃羅，
26	找到了，就帶他來安提阿。足有一年，他們一起在教會聚集，教導了許多人。門徒第一次被稱為“基督徒”，就是在安提阿。
27	在那些日子裡，有些先知從耶路撒冷下到安提阿。
28	其中有一個名叫亞迦布的站起來，藉著聖靈指出普天下將會有大饑荒——這事在克勞迪在位期間果然發生了。
29	於是，門徒決定按著各人獲得的豐裕捐款，好送到猶太幫助住在那裡的弟兄。
30	他們就這樣做了，由巴拿巴和掃羅經手送到耶路撒冷的長老們那裡。
第十二章
 	雅各殉道，彼得被囚
1	大約在這個時候，希律王下手苦害教會的一些人，
2	用刀殺了約翰的兄弟雅各。
3	他見這事博得猶太人的歡心，就在無酵節期間再去捉拿彼得，
4	抓到了就關進監獄，交給四組士兵看守——每組四個人，打算過了逾越節就提出來在民眾前審訊。
5	這樣，彼得就被拘押在監獄裡，而教會為他迫切地向神禱告。
 	天使救彼得出監
6	就在希律快要提他出來之前的那個晚上，彼得被兩條鎖鏈鎖住，睡在兩個士兵中間，還有衛兵守在門前。
7	忽然，有主的一位天使現身在彼得旁邊，有光照耀牢房，天使拍拍彼得的肋旁，喚醒他，說：“快起來！”他手上的鎖鏈就脫落了。
8	天使對他說：“束上腰帶，穿上涼鞋！”他就這樣做了。天使又說：“披上外袍，跟我走！”
9	他就出來跟著天使走，卻不知道天使所做的是真的，還以為是見了異象。
10	他們經過第一、第二兩道崗哨，來到通向城裡的鐵門前，那門自動為他們開了。他們出來，往前走過一條街，天使立刻就離開了他。
11	彼得這才醒悟過來，說：“現在我確實知道，主派了他的天使來救我脫離希律的手和猶太民眾所期待的一切。”
12	彼得明白了之後，就到約翰的母親馬利亞家裡去，這約翰又叫馬可；有許多人聚集在那裡禱告。
13	彼得敲了大門，有一個名叫羅蒂的女僕出來應門。
14	她聽出是彼得的聲音，高興得顧不上開門，就跑進去報告，說彼得站在門外。
15	大家對羅蒂說：“你瘋了！”她卻堅持說這是真的。他們不住地說：“一定是他的天使。”
16	彼得繼續敲門；他們開了門，一見是他，就驚訝莫名。
17	彼得打了一個手勢，要他們安靜，然後詳細告訴他們主怎樣領他出獄，又說：“你們把這些事告訴雅各和弟兄們。”他就離開那裡，到別的地方去了。
18	天亮的時候，士兵亂作一團，不知道彼得究竟到哪裡去了。
19	希律搜尋他，卻找不到，就審問衛兵，下令把他們帶出去處死。後來希律離開猶太，下到凱撒利亞去，住在那裡。
 	希律之死
20	當時希律非常惱恨推羅和西頓的人，這兩地的人就先拉攏了王的內侍臣伯拉斯圖，然後一同晉見希律，要向他求和，因為他們那一帶都需要從王的領土得到糧食。
21	到了約定的日子，希律就穿上王袍，坐在審判台上，向他們公開演講。
22	群眾不住大聲喊著說：“這是神的聲音，不是人的聲音！”
23	主的一位天使立刻擊打希律，因為他不把榮耀歸給神；希律被蟲咬，就斷了氣。
24	於是，神的道日漸興旺，越發增長。
25	巴拿巴和掃羅完成了對耶路撒冷的服侍，就帶著稱為馬可的約翰回來。
第十三章
 	巴拿巴和掃羅奉差遣
1	在安提阿當地的教會裡有幾位先知和教師，就是巴拿巴、稱為尼結的西緬、古利奈人路求、跟分封王希律一起長大的米納恆，還有掃羅。
2	他們侍奉主和禁食的時候，聖靈說：“你們要為我把巴拿巴和掃羅分別出來做我召他們做的工作。”
3	於是，他們禁食禱告，按手在兩人頭上，然後派他們去了。
 	第一次宣教旅程
4	他們奉了聖靈差遣，就下到西流基，從那裡坐船往塞浦路斯去，
5	到了薩拉密，就在猶太人的各會堂裡宣講神的道，還有約翰做他們的助手。
6	他們穿越全島，到了帕弗，遇見一個人，是法術師，又是猶太裔的假先知，他名叫巴耶穌。
7	他常常和省長士求保羅在一起；省長是個聰明人，他請了巴拿巴和掃羅來，想要聽神的道。
8	但法術師以呂馬——這就是他名字的意思——和使徒作對，要使省長轉離這個信仰。
9	掃羅，也就是保羅，卻被聖靈充滿，定睛看他，
10	說：“啊！你這充滿各種詭詐、各樣奸惡的人啊，你這魔鬼的兒子，一切公義的仇敵！你歪曲主的正路，還不停止嗎？
11	現在你看主的手要怎樣對付你！你會盲眼，暫時看不見陽光。”他就立刻被霧和黑暗籠罩，四處找人牽他的手給他領路。
12	那時，省長看見這事發生就信了，對主的教導驚歎不已。
 	在琵西迪亞旁邊的安提阿
13	保羅和同伴從帕弗開船，來到旁非利亞的別迦，約翰卻離開他們，回耶路撒冷去了。
14	他們從別迦往前走，到了琵西迪亞旁邊的安提阿，在安息日進了會堂，就坐下來。
15	那些會堂主管請人宣讀了律法和先知書以後，就派人到他們那裡來，說：“兩位弟兄，如果有甚麼鼓勵大家的話，請講！”
16	保羅就站起來，打了個手勢，說：“各位以色列人和敬畏神的人，請聽！
17	這以色列民的神揀選了我們的祖先；他們在埃及地寄居的時候，神高抬他們，用大能的手臂把他們從那地領出來，
18	又在荒野容忍他們，約有四十年之久。
19	他滅了迦南地的七族之後，就把那些民族的土地分給他們作為產業；
20	這一切歷時約四百五十年。後來神賜給他們士師，直到撒母耳先知的時候。
21	那時，他們要求立一個王，神就把便雅憫支派裡的一個人，就是基士的兒子掃羅，賜給他們為王四十年。
22	神廢了掃羅之後，就為他們興起大衛為王，並且為他作證說：‘我找到耶西的兒子大衛，他是合我心意的人，將遵行我的一切旨意。’
23	神照著應許，已經從這人的後裔裡給以色列帶來一位救主，就是耶穌。
24	在他來臨之前，約翰早已向以色列全體民眾宣講要他們受洗禮，表示悔改。
25	約翰快要跑完他的路程時說：‘你們以為我是甚麼人？我不是基督，不是！他是在我以後來的，我就是給他解腳上的鞋帶也不夠資格。’
26	“弟兄們，亞伯拉罕的子孫和你們當中敬畏神的人啊，這救恩的信息是賜下給我們的。
27	住在耶路撒冷的人和他們的官長，因為不明白這位耶穌就是基督，也不明白在每個安息日誦讀的先知的話，就把他定罪，正好應驗了先知的話。
28	他們雖然找不出任何理由來定他死罪，還是要求彼拉多把他處死。
29	他們把經上所記一切關於他的事都做完了，就把他從十字架上取下來，放在墳墓裡。
30	但是，神卻使他從死人中復活了。
31	他有好多天向人顯現，這些人以前跟他一起從加利利上來耶路撒冷，現在就在民眾面前作了他的見證人。
32	我們報給你們好信息，就是神給列祖的應許實現了；
33	神藉著耶穌的復活，已經向我們這些做子孫的應驗了這應許。正如詩篇第二篇所記的：‘你是我的兒子，我今天生了你。’
34	至於神使他從死人中復活，不再歸於腐朽，神曾經這樣說：‘我要把我應許大衛的那些信實神聖的恩福賜給你們。’
35	所以，他在另一篇說：‘你不會使你的聖者見腐朽。’
36	“大衛在他自己的世代裡遵行了神的計劃，就睡了；歸回他列祖那裡，見了腐朽。
37	唯獨神使他復活的那一位，沒有見腐朽。
38	所以各位兄弟，你們要知道，藉著這位耶穌，我們現在傳給你們赦罪之道；在你們靠摩西律法不能稱義的一切事上，
39	信靠他的人就得稱為義了。
40	你們要小心，免得先知書上所說的臨到你們：
41	‘傲慢的人啊，你們要看、要驚奇、要滅亡，因為在你們的日子，我要做一件事，就算有人告訴你們，你們也絕不會相信。’”
42	保羅和巴拿巴出來的時候，眾人請求他們下一個安息日再向他們講這些事。
43	散會以後，許多猶太人和歸信猶太教的敬虔人跟從了保羅和巴拿巴。兩人跟他們談話，勸導他們要恆久留在神的恩典裡。
44	下一個安息日，幾乎全城的人都聚集而來，要聽主的道。
45	但是猶太人看見這麼多人，就滿心嫉妒，反駁保羅所講的，並且毀謗他。
46	保羅和巴拿巴卻放膽說：“神的道必須先講給你們聽，但是既然你們拒絕接受，斷定自己不配得永生，那麼好吧，我們現在就轉向外族人去了！
47	因為，主曾經這樣吩咐我們說：‘我已經立你做外族人的光，好讓你把救恩帶到地極。’”
48	外族人聽見就喜樂，讚揚主的道，凡是指定得永生的都信了；
49	於是，主的道傳遍全境。
50	但是，猶太人唆使那些敬虔的貴婦和城裡的顯要人物，煽動大家迫害保羅和巴拿巴，把他們驅逐出境。
51	兩人當眾跺掉腳底的塵土，往以哥念去了。
52	門徒滿有喜樂，又被聖靈充滿。
第十四章
 	在以哥念
1	有一次在以哥念，保羅和巴拿巴照樣進猶太人的會堂講道，結果一大群猶太人和希臘人都信了。
2	但是，不順從的猶太人煽動外族人，毒害他們的心，使他們跟弟兄們作對。
3	然而，兩人還是住了好些日子，靠著主放膽講論，主也藉著他們的手施展神蹟奇能，證實他恩典的道。
4	城裡民眾就分裂了，有些支持猶太人，也有些支持使徒。
5	當時，外族人和猶太人，連同他們的首領，都很衝動，想要對使徒施暴，用石頭打他們。
6	他們知道了，就逃往呂高尼的城鎮，到路司得、特庇及附近一帶地方去，
7	在那裡繼續傳福音。
 	在路司得
8	在路司得，有一個雙腳殘廢的人坐著，他生來就是跛腳的，從來沒有走過路。
9	保羅講道的時候，這個人在聽；保羅定睛看他，見他有信心，可以治好，
10	就大聲說：“你起來，雙腳站直！”他就跳起來，開始走路。
11	群眾看見保羅所做的事，就用呂高尼話大聲說：“有神明化身為人，降到我們這裡來了！”
12	於是，他們稱巴拿巴為宙斯，稱保羅為赫爾墨，因為保羅帶頭說話。
13	城門前宙斯廟的祭司，牽著幾頭公牛，拿著一些花環來到門口，想要與群眾一起獻祭。
14	巴拿巴和保羅兩個使徒聽見了，就撕裂衣服，跳進群眾中間，喊著說：
15	“各位，為甚麼這樣做呢？我們也是和你們本性一樣的凡人，我們傳福音給你們，正是要你們遠離這些虛空無用的事，歸向永活的神，就是創造天、地、海和其中萬物的神。
16	在從前的世代裡，他任隨萬國各行其道，
17	然而他藉著行美善的事，未嘗沒有為自己留下明證，就如賞賜給你們天上的雨水和豐收的季節，使你們食物充足，滿心歡樂。”
18	兩人說完這些話，好不容易才阻止了群眾向他們獻祭。
19	但是，有些猶太人從安提阿和以哥念來，挑唆群眾用石頭打保羅；他們以為他死了，就把他拖出城外。
20	門徒正圍著他的時候，他卻站起來，走進城裡去了。第二天，他跟巴拿巴一起到特庇去。
 	結束第一次宣教旅程
21	兩人在那城裡傳福音，使相當多的人成為門徒，然後回到路司得、以哥念、安提阿，
22	堅定門徒的心，鼓勵他們持守信仰，又說：“我們進入神的王國，必須經歷許多患難。”
23	兩人在各教會為他們委任一些長老，禁食禱告之後就把他們交託給他們所信的主。
24	兩人經過琵西迪亞，來到旁非利亞，
25	在別迦講道以後，就下到亞達利亞，
26	從那裡坐船往安提阿去。從前眾人就是在這個地方把他們交託在神的恩典裡為他做工，現在他們已經完成。
27	他們到了那裡，就召集教會，報告神與他們一起所做的一切，以及他怎樣為外族人開了信仰的門。
28	兩人和眾門徒住了不少日子。
第十五章
 	耶路撒冷的會議
1	有些人從猶太下來，教導弟兄們說：“你們如果不按摩西的規例受割禮，就不能得救。”
2	保羅和巴拿巴跟他們有不少爭執和爭辯，大家就派保羅、巴拿巴和他們當中一些人，為這個問題上耶路撒冷見眾使徒和長老。
3	於是，教會給他們送行，他們經過腓尼基、撒瑪利亞，向弟兄們詳細說明外族人怎樣歸主的事，為大家帶來極大的喜樂。
4	到了耶路撒冷，他們受到教會、眾使徒和長老接待，就報告神與他們一起所做的一切。
5	可是，有幾個法利賽派的信徒站起來，說：“我們必須給外族人行割禮，吩咐他們遵守摩西的律法。”
6	眾使徒和長老聚集在一起，商議這件事。
7	經過了多番爭辯，彼得站起來對他們說：“弟兄們，你們知道，前些時候神在你們當中揀選了我，使外族人從我的口中聽到福音的信息，而且信了。
8	洞察人心的神也為他們作證，把聖靈賜給他們，就像賜給我們一樣；
9	而且他待他們同我們沒有分別，因他們的信就潔淨了他們的心。
10	既然這樣，現在你們為甚麼試探神，把我們祖先和我們自己都不能負的軛放在門徒的脖子上呢？
11	不要這樣！我們相信，我們得救是藉著主耶穌的恩典，他們也是一樣。”
12	全體會眾都靜默無聲，聽巴拿巴和保羅述說神藉著他們在外族人當中施展的神蹟奇能。
13	他們講完了，雅各說：“弟兄們，請聽我說！
14	剛才西門述說神當初怎樣眷顧外族人，從他們中間揀選子民歸在自己的名下。
15	眾先知的話，也符合這個意思，正如經上所記：
16	‘此後我要回來，重建大衛倒塌的棚子，其中摧毀了的，我要重建，把棚子重新豎立起來，
17	使餘下的人，就是所有歸我名下的外族人，都尋求主。’成就這些事的主這樣說；
18	這些事很久以前就讓人知道了。
19	“所以，我認為不可為難這些歸向神的外族人，
20	不過要寫信叫他們戒絕偶像玷污的東西、淫亂、勒死的牲畜、血。
21	因為，從古時的世代以來，摩西的書在各城裡都有人宣講，每逢安息日，在會堂裡都有人誦讀。”
 	會議的決定
22	當時，使徒和長老跟全教會一起，決定從他們當中選出人來，差遣他們與保羅和巴拿巴一起到安提阿去；所選的就是稱為巴撒巴的猶大，還有西拉，他們是弟兄當中的領袖。
23	給他們帶去的信上這樣寫著：“眾使徒和長老，就是你們的弟兄們，問候安提阿、敘利亞、基利迦的外族弟兄們。
24	聽說有人從我們這裡出去，說了一些話攪擾你們，使你們心裡不安；其實這並不是我們吩咐的。
25	我們一致決定挑選幾個人，派他們與我們親愛的巴拿巴和保羅一起去見你們；
26	這兩個人已經為了我們主耶穌基督的名獻上自己的性命。
27	因此，我們派了猶大和西拉去，他們會親口告訴你們信上所提的那些事。
28	因為，聖靈和我們都決定，除了以下幾件必要的事，不把別的重擔加在你們身上，
29	就是你們要戒絕祭過偶像的食物、血、勒死的牲畜、淫亂。如果你們能夠避開這些，那就好了。祝你們安好！”
30	他們受了差遣，就下安提阿去，集合會眾，把書信呈上。
31	會眾宣讀了，因信上的勸勉，就感到欣慰。
32	猶大和西拉自己也是先知，就說了許多話勉勵弟兄，堅定他們。
33	兩人住了一段時間，弟兄們給他們送行，他們就平平安安地回到差遣他們的人那裡去了。
34	（有些後期的抄本加上第34節：“但西拉認為自己應當在那裡住下來，只有猶大回到耶路撒冷。”）
35	保羅和巴拿巴卻留在安提阿，跟其他許多人一起教導、傳講主的道。
 	第二次宣教旅程
36	過了些日子，保羅對巴拿巴說：“我們要回到我們傳過主道的各城，探望弟兄們，好知道他們的情況怎麼樣。”
37	巴拿巴一直想帶著稱為馬可的約翰一起去，
38	但是保羅堅持不該帶他去，因為他從前在旁非利亞離開他們，不跟他們一起去工作。
39	他們起了激烈的爭論，終於彼此分開。巴拿巴帶著馬可，坐船到塞浦路斯去。
40	保羅則選了西拉；保羅蒙弟兄們交託在主的恩典裡，就出發了。
41	他經過敘利亞、基利迦，堅定眾教會。
第十六章
 	保羅帶提摩太同行
1	保羅到了特庇，又到了路司得。在那裡有一個門徒，名叫提摩太，是一個信主的猶太婦人的兒子，他父親卻是希臘人，
2	路司得和以哥念的弟兄們都稱讚他。
3	保羅想要帶他一起出去，就為那些地方的猶太人的緣故給他行了割禮，因為他們都知道他父親是希臘人。
4	他們經過各城，把耶路撒冷眾使徒和長老所定的規條交給門徒遵守。
5	於是，各教會信心越發堅固，人數天天增加。
 	保羅見異象往馬其頓去
6	由於他們被聖靈阻止在亞西亞傳道，他們就經過弗呂迦和加拉太一帶，
7	來到米西亞邊境，想要去庇推尼，耶穌的靈也不允許；
8	他們就經過米西亞，下到特羅亞。
9	夜間有異象向保羅顯現，有一個馬其頓人站著懇求他說：“請你渡過來，到馬其頓來幫助我們！”
10	保羅看見了這異象，我們就認定是神呼召我們去傳福音給他們，於是立刻設法前往馬其頓。
 	呂蝶雅信主
11	我們從特羅亞開船直航到撒摩特拉，第二天到達尼亞波利，
12	從那裡來到腓立比，就是馬其頓的那個地區一個主要的城市，是羅馬的殖民地。我們在這城裡住了幾天。
13	安息日那天，我們出了城門，來到河邊，料想那裡有禱告的地方。我們坐下對聚集的婦女講話。
14	有一位敬畏神的婦女，名叫呂蝶雅，是推雅推喇城賣紫布的商人，她一直在聽，主開啟她的心，使她留心聽保羅所講的話。
15	呂蝶雅和她一家受洗後，她就請求我們，說：“你們如果認為我是對主忠誠的，就請到我家來住。”於是她極力挽留我們。
 	在腓立比被囚
16	有一次，我們到那禱告的地方去，迎面來了一個被蛇神的靈附身的女僕；她靠預卜之術使她那些主人發了大財。
17	她跟著保羅和我們，喊叫說：“這些人是至高神的奴僕，向你們傳講得救的道路。”
18	她一連多日這樣喊叫，保羅很惱怒，就轉身對那靈說：“我奉耶穌基督的名，命令你從她身上出來！”那靈就立刻出來了。
19	她那些主人看見發財的希望沒了，就揪住保羅和西拉，拉到市中心去見眾官長，
20	他們把二人帶到那些民政官面前，說：“這些人是猶太人，擾亂我們的城市，
21	宣傳我們羅馬人不可接受、不准實行的規例。”
22	群眾就一齊起來攻擊他們；於是，民政官剝去他們的衣服，下令用棍子打他們，
23	打了很多棍以後，把他們投進牢獄，吩咐獄卒嚴密看守。
24	獄卒領命，就把他們押入深牢，又把他們兩腳鎖在木枷上。
 	保羅領獄卒全家信主
25	約在半夜，保羅和西拉在禱告，還唱詩讚美神，囚犯都留心傾聽。
26	忽然發生了大地震，以致牢獄地基搖動，所有牢門立刻打開，囚犯的鎖鏈都鬆了。
27	獄卒醒來，看見牢門都打開了，以為囚犯都已經逃掉，就拔出刀來想要自殺。
28	保羅大聲呼叫說：“不要傷害自己，我們全都在這裡！”
29	獄卒叫人拿了燈來，就衝進去，戰戰兢兢地俯伏在保羅和西拉面前，
30	然後領他們出來，說：“先生，我必須做甚麼才可以得救？”
31	他們說：“當信主耶穌，你和你一家就會得救。”
32	他們就把主的道講給他和他家裡所有的人聽。
33	就在當夜的那個時候，獄卒領他們去清洗傷口，隨即和他家人都受了洗。
34	他帶了他們到家裡，招待他們用餐；他和全家因為信了神，都充滿歡樂。
