創世記
第一章
 	神創造天地萬物
 	亞伯蘭與羅得分手
6	那片土地容不下他們住在一起，因為他們的財物很多，不能再住在一起。
7	亞伯蘭牲畜的牧人們和羅得牲畜的牧人們起了紛爭。那時候，迦南人和比利洗人還住在那片土地。
8	亞伯蘭就對羅得說：“你我之間，你的牧人和我的牧人之間，不可有紛爭，因為我們是親人。
9	整片土地就在你面前，請你離開我吧！你若向左，我就向右；你若向右，我就向左。”
10	羅得舉目觀看，見整個約旦河平原都水源充足；在耶和華毀滅所多瑪和蛾摩拉之前，那裡好像耶和華的園子，也像埃及地，一直到瑣珥。
11	於是，羅得為自己選擇了整個約旦河平原；羅得向東遷移，兩個親人就彼此分開了。
12	亞伯蘭住在迦南地；而羅得就住在約旦河平原的那些城鎮，他搬移帳篷，直到所多瑪。
13	所多瑪人是邪惡的罪人，嚴重干犯耶和華。
 	亞伯蘭蒙耶和華賜福
14	羅得與亞伯蘭分開以後，耶和華對亞伯蘭說：“你要舉目！從你所在的地方向北南東西觀看，
15	凡你看見的地，我都要賜給你和你的後裔，直到永遠。
16	而且，我要使你的後裔好像地上塵沙那麼多；除非人能數地上的塵沙，才能數你的後裔。
17	起來，縱橫走遍這地吧！要知道，我要把這地賜給你。”
18	於是，亞伯蘭搬移帳篷，來到希伯崙，在幔利的橡樹區居住，他在那裡為耶和華築了一座祭壇。
第十四章
 	四王戰五王，羅得被擄
1	示拿王安拉非、以拉撒王亞略、以攔王基度勞瑪、戈印王提達在位期間，
2	他們興兵攻打所多瑪王比臘、蛾摩拉王比沙、押瑪王示納、瑟博王善以別、比拉王，比拉就是瑣珥。
3	這五王在西訂谷會盟——西訂谷就是鹽海。
4	他們服侍了基度勞瑪十二年，但是在第十三年反叛。
5	在第十四年，基度勞瑪和同盟諸王來到，在亞絲塔露加寧擊敗了利乏音人，在哈麥擊敗了蘇西人，在沙微基利坦擊敗了以米人，
6	在何利人的西珥山地擊敗了何利人，一直追擊到靠近荒野的帕蘭橡樹鎮。
7	然後轉到審判泉，就是加低斯，攻佔了亞瑪力人全境，也擊敗了住在哈洗遜他瑪的亞摩利人。
8	於是所多瑪王、蛾摩拉王、押瑪王、瑟博王、比拉王出來——比拉就是瑣珥——在西訂谷與他們列陣交戰，
9	就是與以攔王基度勞瑪、戈印王提達、示拿王安拉非、以拉撒王亞略交戰，四個王對五個王。
10	西訂谷有許多坑，是瀝青坑。所多瑪王和蛾摩拉王逃跑的時候，有些人掉進坑裡，其餘的人都向山上逃跑。
11	四王把所多瑪和蛾摩拉所有的財物，以及一切糧食都帶走，
12	也把亞伯蘭兄弟的兒子羅得和羅得的財物帶走。當時羅得住在所多瑪。
 	亞伯蘭救回羅得
13	有一個逃脫的人來向希伯來人亞伯蘭報信；當時，亞伯蘭住在亞摩利人幔利的橡樹那裡；幔利是以實各的兄弟，也是安奈的兄弟，他們和亞伯蘭有盟約。
14	亞伯蘭一聽見親人被擄去，就出動所有在他家裡出生的精練壯丁三百一十八人，一直追到但。
15	亞伯蘭和僕人在夜間分頭攻擊他們，擊敗了他們，又追擊他們直到大馬士革北面的何把。
16	他把一切財物都奪回來，也把親人羅得和羅得的財物，以及婦女和族人，都奪了回來。
 	麥基洗德祝福亞伯蘭
17	亞伯蘭擊敗了基度勞瑪和與他同盟的王回來的時候，所多瑪王出來，到沙微谷去見他——沙微谷就是帝王谷。
18	撒冷王麥基洗德則帶著餅和酒出來；他是至高神的祭司。
19	他給亞伯蘭祝福，說：“亞伯蘭必蒙至高的神——天地的主賜福！
20	至高的神配受稱頌，他把敵人交在你手裡！”亞伯蘭從所得的一切裡拿出十分之一來，給了麥基洗德。
21	所多瑪王對亞伯蘭說：“把人給我，財物你可以拿去給自己。”
22	亞伯蘭對所多瑪王說：“我已經向至高的神——天地的主耶和華舉手起誓，
23	凡屬於你的東西，就是一根線、一根鞋帶，我也不拿，免得你說：‘是我使亞伯蘭發財的。’
24	除了這些僕人已經吃掉的，我甚麼都不要；還有與我同去的人應得的份額，就是安奈、以實各、幔利應得的份額，要讓他們拿去。”
第十五章
 	耶和華與亞伯蘭立約
1	這些事以後，耶和華的話在異象中臨到亞伯蘭，說：“亞伯蘭，不要害怕，我是你的盾牌；你的報償極大。”
2	亞伯蘭說：“主耶和華啊，你要給我甚麼呢？我一直都沒有孩子，承受我家業的將是大馬士革人以利以謝。”
3	亞伯蘭又說：“既然你沒有給我後裔，那麼生在我家中的那個男孩就是我的繼承人了。”
4	然而，耶和華的話臨到他說：“這人不是你的繼承人，你親生的才是你的繼承人。”
5	耶和華領他到外面去，說：“你向天觀看，數點繁星，看你能不能數清有多少。”又對他說：“你的後裔將要這樣。”
6	亞伯蘭信耶和華，耶和華就以此算為他的義。
7	耶和華又對他說：“我是耶和華，曾經把你從迦勒底的吾珥領出來，為要把這片土地賜給你作為產業。”
8	亞伯蘭說：“主耶和華啊，我憑甚麼可以知道我會得到這片土地作為產業呢？”
9	耶和華對他說：“你拿給我一頭三歲的母牛、一隻三歲的母山羊、一隻三歲的公綿羊、一隻斑鳩、一隻雛鴿。”
10	亞伯蘭就為耶和華拿來這一切，每樣都從中間劈開，一半對著一半地擺列；只是鳥沒有劈開。
11	有兀鷹飛來，落在屍體上，亞伯蘭就把牠們趕走。
12	日落的時候，亞伯蘭沉沉睡著了，忽然有可怕的大黑暗落在他身上。
13	耶和華對亞伯蘭說：“你必須知道，你的後裔會在異地成為寄居者，為奴服侍那裡的人，那裡的人會苦待他們四百年。
14	而他們將為奴服侍的那個國家，我會親自懲罰。以後，他們將要帶著許多財物從那裡出來。
15	至於你，你將平平安安地歸到你列祖那裡；你會安享天年，然後得安葬。
16	到了第四代，你的後裔就會回到這裡，因為亞摩利人的罪惡現在還沒有滿盈。”
17	日落天黑的時候，忽然有冒煙的火爐和燃燒的火把出現，在那些肉塊中間穿過。
18	就在那天，耶和華與亞伯蘭立約，說：“我要把這片土地給你的後裔，從埃及河直到大河——幼發拉底河，
19	就是基尼人、基尼洗人、甲摩尼人、
20	赫特人、比利洗人、利乏音人、
21	亞摩利人、迦南人、革迦撒人、耶布斯人的土地。”
第十六章
 	夏甲和以實瑪利
1	亞伯蘭的妻子莎萊沒有為他生孩子。莎萊有一個婢女，是埃及人，名叫夏甲。
2	莎萊對亞伯蘭說：“求求你：耶和華不讓我生育，你和我的婢女行房吧，說不定我可以從她得兒子。”亞伯蘭就聽從莎萊的話。
3	於是，亞伯蘭的妻子莎萊拿自己的婢女埃及人夏甲，給了丈夫亞伯蘭為妻；那時，亞伯蘭在迦南地住了十年。
4	亞伯蘭和夏甲行房，她就懷了孕。她見自己有了身孕，就鄙視女主人。
5	莎萊對亞伯蘭說：“我受到虐待是因為你！是我把自己的婢女送到你懷裡，但是她見自己懷了孕，就鄙視我。願耶和華在你我之間主持公道！”
6	亞伯蘭對莎萊說：“既然你的婢女在你手裡，你看怎樣好，就怎樣待她吧。”於是莎萊苦待夏甲，夏甲就逃跑，躲避莎萊。
7	耶和華的使者找到夏甲，那裡是荒野的水泉旁邊，就是往書珥路上的水泉旁邊。
8	使者問她：“莎萊的婢女夏甲，你從哪裡來？要到哪裡去？”夏甲說：“我正在逃跑，躲避女主人莎萊。”
9	耶和華的使者對她說：“你要回到女主人那裡，在她的手下忍受苦待。”
10	耶和華的使者又對她說：“我必定使你的後裔增多，多得不可勝數。”
11	耶和華的使者再對她說：“要知道，你已懷孕，將會生一個兒子；你要給他起名叫以實瑪利，因為耶和華聽見了你的苦情。
12	他將來為人就像野驢。他的手將會攻擊所有人，所有人的手也將會攻擊他，然而他將會住在他所有兄弟旁邊。”
13	於是，夏甲稱這位對她說話的耶和華的名為你是看顧之神，因為她想：“我竟然曾在這裡看著那位看顧我的！”
14	因此，這口井名叫永活者看顧我之井，就在加低斯和巴列之間。
15	後來，夏甲給亞伯蘭生了一個兒子，亞伯蘭就給夏甲生的兒子起名叫以實瑪利。
16	夏甲給亞伯蘭生以實瑪利的時候，亞伯蘭八十六歲。
第十七章
 	神為亞伯蘭改名為亞伯拉罕
1	亞伯蘭九十九歲的時候，耶和華向亞伯蘭顯現，對他說：“我是全能的神，你要行在我面前，為人正直，
2	好讓我確立我和你之間的約，使你的後裔極其增多。”
3	亞伯蘭就臉伏於地。神告訴他說：
4	“我和你的約就是這樣：你要做多國之父。
5	你的名字不要再叫亞伯蘭，要叫亞伯拉罕，因為我已經立你為多國之父。
6	我要使你極其繁衍，成為多國，許多君王從你而出。
7	我要在我和你、我和你世世代代未來的後裔之間，堅立我的約，成為永遠的約，為要做你和你未來的後裔的神。
8	我要把你現在寄居的土地，就是迦南全地，賜給你和你未來的後裔作為永遠的產業，我也要做他們的神。”
 	立約的記號：割禮
9	神對亞伯拉罕說：“你要守我的約，你和你世世代代未來的後裔都要守。
10	你們要守的約就是這樣：你們所有男子都要受割禮；這是我與你們和你未來的後裔的約。
11	你們肉身要割去包皮，作為我和你們立約的記號。
12	你們世世代代所有男子出生後第八日都要受割禮，無論是生在家裡的，還是用銀子向任何外族人，就是不屬你後裔的人買來的。
13	在你家裡出生的和你用銀子買來的，都必須受割禮。這樣，我的約就在你們肉身上作永遠的約。
14	至於不受割禮的男子，就是肉身沒有割去包皮的，這個人要從人民中剪除，因為連我的約他也違背。”
 	神為莎萊改名為莎拉
15	神又對亞伯拉罕說：“至於你的妻子莎萊，你不要再叫她莎萊，她的名字要叫莎拉。
16	我要賜福給她，我必定從她賜給你一個兒子；我要賜福給她，她要成為多國，許多民族的君王從她而來。”
17	亞伯拉罕臉伏於地，笑了起來，心裡說：“一百歲的男人還能得子嗎？莎拉已經九十歲了，還能生育嗎？”
18	亞伯拉罕對神說：“但願以實瑪利能在你面前活著！”
 	神應許莎拉生以撒
19	神說：“其實，你的妻子莎拉將要為你生一個兒子，你要給他起名叫以撒，我要和他確立我的約，作為給他後裔的永約。
20	至於以實瑪利，我也聽了你。我一定會賜福給他，我要使他極其繁衍、增多，他要生十二個族長，我要使他成為大國。
21	然而，我要和以撒確立我的約；到明年這個指定的日期，莎拉將要為你生以撒。”
 	首次行割禮
22	神和亞伯拉罕說完了話，就離開他升騰而去。
23	就在那一天，亞伯拉罕召集兒子以實瑪利、所有生在他家裡的男子、所有用銀子買來的男子，就是亞伯拉罕家裡所有的男子，亞伯拉罕照著神吩咐他的那樣，在他們肉身上割去包皮。
24	亞伯拉罕肉身割去包皮的時候，九十九歲。
25	他兒子以實瑪利肉身割去包皮的時候，十三歲。
26	就在那一天，亞伯拉罕和兒子以實瑪利都受了割禮。
27	他家裡所有的男人，無論是生在家裡的，還是用銀子向外族人買來的，都和他一起受了割禮。
第十八章
 	亞伯拉罕接待天使
1	耶和華在幔利橡樹那裡向亞伯拉罕顯現。那是一天最炎熱的時候，亞伯拉罕坐在帳篷門口。
2	他舉目觀看，看見有三個人站在他附近。亞伯拉罕一看見，就從帳篷門口跑過去迎接他們，伏地下拜，
3	說：“我主，我若在你眼前蒙恩，請不要離你僕人而去，
4	請讓我叫人拿點水來，你們可以洗洗腳，在這棵樹下休息。
5	我去拿一小片餅來，讓你們養足精神，然後才走，既然你們經過僕人這裡，我就應該這樣做。”他們說：“就照你說的做吧。”
6	亞伯拉罕急忙進帳篷見莎拉，說：“你快拿三斗上等粗粒小麥粉，揉麵做餅。”
7	亞伯拉罕又跑到牛群裡，牽了一頭又嫩又好的小牛，交給僕人，僕人就趕快去預備。
8	亞伯拉罕拿來酸乳、鮮奶和預備好的小牛，擺在他們面前。他們吃的時候，亞伯拉罕一直在樹下站在他們旁邊侍候。
 	耶和華應許莎拉生子
9	他們對亞伯拉罕說：“你的妻子莎拉在哪裡？”他說：“就在帳篷裡。”
10	其中一位說：“明年這個時候，我必定回到你這裡，那時你妻子莎拉會有一個兒子！”莎拉在那人身後的帳篷門口聽著。
11	當時，亞伯拉罕和莎拉都老了，年事已高，莎拉的月經也停了。
12	莎拉心裡暗笑，想道：“我已經衰老，還能有喜事嗎？何況我的主也老了。”
13	耶和華對亞伯拉罕說：“莎拉為甚麼暗笑，想道‘我已經老了，難道真的會生育嗎？’
14	對耶和華來說，難道有不可能的事嗎？到了指定的日期，明年這個時候，我要回到你這裡，那時莎拉會有一個兒子。”
15	莎拉害怕起來，就否認說：“我沒有笑。”那位說：“不，你確實笑了。”
16	三人從那裡起身，俯視所多瑪。亞伯拉罕跟他們一起走著，要給他們送行；
17	這時候耶和華心想：“我豈可向亞伯拉罕隱瞞我快要做的事呢？
18	亞伯拉罕必定會成為昌盛的大國，地上萬國都會藉著他蒙福。
19	我揀選了他，是要讓他吩咐他以後的子孫和家族遵行耶和華的道路，秉公行義，好讓耶和華在亞伯拉罕身上實現應許他的話。”
 	耶和華要毀滅所多瑪和蛾摩拉
20	耶和華說：“所多瑪和蛾摩拉呼冤的喊聲實在很大，他們的罪惡實在非常嚴重。
21	我要下去，看看他們所做的是不是完全跟我聽到的呼冤的喊聲一樣；如果不是，我也要知道。”
 	亞伯拉罕為所多瑪祈求
22	其中二人轉身離開那裡，往所多瑪去了，亞伯拉罕卻仍然站在耶和華面前。
23	亞伯拉罕上前去，說：“你真的要把義人和惡人一起消滅嗎？
24	假如這城當中有五十個義人，你難道還要消滅這城，不為其中的五十個義人而赦免那個地方嗎？
25	你絕不會做這樣的事，把義人和惡人一起殺死，義人惡人一樣，你絕不會！審判全地的主怎會不行公義呢？”
26	耶和華說：“我如果在所多瑪城當中找到五十個義人，就為他們的緣故赦免那個地方。”
27	亞伯拉罕回答說：“求你聽我說——我雖然是泥塵，仍然大膽對主說話：
28	假如這五十個義人裡少了五個，你會因為少了五個就毀滅全城嗎？”他說：“我如果在那裡找到四十五個，也不會毀滅那城。”
29	亞伯拉罕又繼續對他說：“假如在那裡找到四十個呢？”他說：“我為這四十個的緣故，也不會這樣做。”
30	亞伯拉罕說：“求主不要動怒，容我再說：假如在那裡找到三十個呢？”他說：“我如果在那裡找到三十個，也不會這樣做。”
31	亞伯拉罕說：“求你聽我說——我大膽對主說，假如在那裡找到二十個呢？”他說：“我為這二十個的緣故，也不毀滅那城。”
32	亞伯拉罕說：“求主不要動怒，容我只再說一句：假如在那裡找到十個呢？”他說：“我為這十個的緣故，也不毀滅。”
33	耶和華和亞伯拉罕說完話就走了，亞伯拉罕也回自己的地方。
第十九章
 	兩位天使來到所多瑪
1	黃昏的時候，那兩位天使到了所多瑪，當時羅得正坐在所多瑪城門口。羅得一看見，就起來迎接他們，臉伏於地下拜，
2	說：“我主，求你們聽我說：請過來，到你們僕人家裡住一夜，洗洗腳，清早起來再上路吧。”他們說：“不，我們就在廣場上過夜。”
3	羅得極力懇請他們，他們才過去他那裡，進了他的家。羅得為他們預備宴席，烤了無酵餅，他們就吃了。
4	他們還沒有躺下，所多瑪城裡的男人就來圍住羅得的房子，從年輕的到年老的，所有人全都來了。
5	他們呼叫羅得，對他說：“今晚到你這裡來的人在哪？帶出來給我們，我們要和他們親近！”
6	羅得出了門口到他們那裡，把門在身後關上，
7	說：“我的弟兄們，求你們不要做壞事！
8	求求你們：我有兩個女兒，是還沒有和男人親近的，請讓我把她們帶出來給你們，你們喜歡對她們怎麼做都可以，只是這兩個人，你們不可以對他們做甚麼，因為他們已來到我房子的蔭護下。”
9	眾人卻說：“滾開！”又說：“一個來寄居的，竟然當起審判官來了！現在我們就要做壞事對付你，比對付他們更厲害！”他們極力強迫羅得，又上前去要打破房門。
10	那兩個人伸手把羅得拉進房子，拉到自己身邊，把門關上，
11	然後使門口那些人，從年少到年長的，都突然盲了，怎樣找都找不到門口。
12	那兩個人對羅得說：“你在這裡還有甚麼人？女婿、兒子、女兒，這城裡所有屬於你的人，你都要帶他們離開這個地方！
13	要知道，我們快要毀滅這地方了！因為所多瑪和蛾摩拉的喊聲在耶和華面前很大，所以耶和華派我們來毀滅這座城。”
14	於是羅得出去，告訴將要娶他女兒的女婿們，說：“你們起來離開這地方！因為耶和華馬上就要毀滅這座城！”但是女婿們覺得他在開玩笑。
 	天使拯救羅得離開所多瑪
15	天亮的時候，兩位天使催促羅得說：“起來，帶妻子和你這裡的兩個女兒走，免得你因為這城的罪責也被消滅。”
16	羅得遲遲不走，那二人因為耶和華憐憫羅得，就拉著他的手，也拉著他妻子和兩個女兒的手，帶出去安置在城外。
17	帶他們出來以後，其中一位說：“逃命吧，別往後望！不可留在這片平原，要逃到山上去，免得你也被消滅！”
18	羅得對他們說：“我主，這樣不行啊！
19	求你聽我說：你僕人在你眼前蒙恩，你對我大施慈愛，要救活我的性命；可是恐怕我還沒能逃到山上，災禍就追上我，我就會死。
20	求你聽我說：這座城很近，我可以逃到那裡，那是個小小的地方，請讓我逃到那裡去。那不是個小小的地方嗎？這樣我就可以活命了。”
21	天使對他說：“好，這件事我也顧恤你，你所說的這座城，我不會覆滅。
22	你趕快逃到那裡去，因為你沒有到達的時候，我甚麼都不能做。”因此那座城名叫瑣珥。
 	所多瑪和蛾摩拉覆滅
23	太陽剛從地面升起，羅得就到了瑣珥。
24	這時，從耶和華那裡，從天上，耶和華使燃燒著的硫磺傾瀉如雨，落在所多瑪和蛾摩拉；
25	把這些城、整個平原、城裡所有居民，以及地上的植物，都覆滅了。
26	羅得的妻子跟在他後面往後望，就變成一根鹽柱。
27	亞伯拉罕清早起來，到他之前站在耶和華面前的地方，
28	俯視所多瑪和蛾摩拉，以及那片平原全境。他觀看，看見那地有煙升起，好像燒窯的煙。
29	當神毀滅平原眾城的時候，神顧念亞伯拉罕；當他覆滅羅得曾經居住的眾城的時候，他把羅得從覆滅之中救了出來。
 	摩押人和亞捫人的起源
30	羅得因為怕住在瑣珥，就和兩個女兒一起離開瑣珥上了山，住在那裡。他和兩個女兒住在一個山洞裡。
31	長女對妹妹說：“我們的父親老了，這地又沒有男人可以按著世上的禮俗與我們交合。
32	來吧，我們叫父親喝酒，然後和他睡，這樣我們可以藉著父親存留後裔。”
33	當晚，她們叫父親喝酒，然後長女進去和父親睡，她甚麼時候躺下，甚麼時候起來，她父親都不知道。
34	第二天，長女對妹妹說：“嘿，昨夜我和父親睡了，今晚我們再叫父親喝酒，你進去和他睡，這樣我們可以藉著父親存留後裔。”
35	當晚，她們又叫父親喝酒，妹妹就起來，去和父親睡；她甚麼時候躺下，甚麼時候起來，她父親都不知道。
36	這樣，羅得的兩個女兒，都從她們父親懷了孕。
37	長女生了一個兒子，給他起名叫摩押，就是現在摩押人的始祖。
38	妹妹也生了一個兒子，給他起名叫便亞米，就是現在亞捫人的祖先。
第二十章
 	亞伯拉罕和亞比米勒
1	亞伯拉罕從那裡遷移到南地去，住在加低斯和書珥之間。亞伯拉罕寄居在基拉耳的時候，
2	曾經提到妻子莎拉，說：“她是我的妹妹。”於是，基拉耳王亞比米勒派人來把莎拉接走。
3	當晚，神在亞比米勒夢中臨到他，對他說：“你要死了！因為你接來的那個女人是有夫之婦！”
4	亞比米勒還沒有親近莎拉，所以他說：“主啊，連正義的國你也要殺戮嗎？
5	那人的確自己對我說‘她是我妹妹’，那女人也親口說‘他是我哥哥’。我做這件事是心思端正、雙手清白的。”
6	神在夢中對他說：“我自己也知道你做這件事是心思端正的，所以我親自阻止你，免得你犯罪干犯我。因此，我不准你碰她。
7	現在你要歸還那人的妻子，因為他是先知，他要為你禱告，你才能存活。你如果不歸還，就要知道，你和所有屬你的都必定死。”
8	亞比米勒清早起來，召集所有臣僕，把這一切講給他們聽，這些人就非常害怕。
9	亞比米勒把亞伯拉罕召來，對他說：“你怎麼會對我們做出這樣的事？我在甚麼事上犯罪干犯你，以致你給我和我的王國帶來這宗大罪呢？你對我做了絕對不該做的事！”
10	亞比米勒又對亞伯拉罕說：“你這樣做有甚麼目的？”
11	亞伯拉罕說：“因為我以為這個地方必定沒有人敬畏神，他們會因我妻子的緣故殺我。
12	何況她確實也是我的妹妹；她是我父親的女兒，但不是我母親的女兒，後來成了我的妻子。
13	神使我離開父家去漂泊的時候，我對她說：‘我們無論到甚麼地方去，提到我你都要說“他是我的哥哥”，這就是你待我的恩情了。’”
14	亞比米勒就取來一些牛、羊、男女奴僕，送給亞伯拉罕，又把亞伯拉罕的妻子莎拉還給他。
15	亞比米勒說：“看哪，我的地就在你面前，你喜歡哪裡，就住在哪裡吧！”
16	他又對莎拉說：“看哪，我給了你哥哥一千塊銀子，好讓你周圍的眾人不會藐視你。這樣就在眾人面前還你清白。”
17	亞伯拉罕向神禱告，神就醫好了亞比米勒、他妻子和他的眾女奴，她們就能生育了。
18	原來耶和華因亞伯拉罕妻子莎拉的緣故，完全關閉了亞比米勒家裡所有的子宮。
第二十一章
 	以撒出生
1	耶和華照著他所說的眷顧莎拉；耶和華照著他的應許為莎拉實行了。
2	莎拉懷了孕，在神跟亞伯拉罕說的指定日期，在他年老的時候，莎拉給他生了一個兒子。
3	亞伯拉罕給他的新生兒子——莎拉為他生的——起名叫以撒。
4	亞伯拉罕照著神吩咐他的那樣，在兒子以撒出生後第八日給他行了割禮。
5	他兒子以撒出生的時候，亞伯拉罕一百歲。
6	莎拉說：“神使我歡笑，凡聽見的也會為我歡笑！”
7	又說：“以前誰會對亞伯拉罕說‘莎拉會奶孩子’呢？但是在他年老的時候，我竟然給他生了一個兒子！”
 	夏甲和以實瑪利被逐
8	孩子長大了些，斷了奶。以撒斷奶那天，亞伯拉罕大排宴席。
9	莎拉看見埃及人夏甲給亞伯拉罕所生的兒子在玩樂，
10	就對亞伯拉罕說：“把這個女奴僕和她兒子趕走，因為這個女奴僕的兒子不可和我的兒子以撒一起做繼承人。”
11	這件事使亞伯拉罕非常難受，因為牽涉到他的兒子。
12	但是神對亞伯拉罕說：“不要因為這個孩子和你的女奴僕難受。莎拉對你說的這一切話，你都要聽從；因為以撒生的，才可以稱為你的後裔。
13	至於這個女奴僕的兒子，我也要使他成為一國，因為他是你的一個後裔。”
14	亞伯拉罕清早起來，拿了餅和一皮袋水，交給夏甲，放在她肩膀上，又把孩子交給她，就打發她離開。夏甲走了，在別示巴的荒野漂泊。
15	皮袋裡的水喝光了，她就把孩子丟在灌木叢的一棵樹下，
16	然後走開，自己遠遠坐下，約有射一箭之遠，因為她想：“我不要看著孩子死去！”她遠遠坐下，放聲大哭。
17	神聽見了那個孩子的聲音。神的使者就從天上呼喚夏甲，對她說：“夏甲，你為甚麼這樣呢？不要害怕，因為神已經聽見那邊那個孩子的聲音。
18	起來吧，扶起那個孩子，用手牽著他，因為我要使他成為大國。”
19	神開了夏甲的眼睛，她就看見一口水井。她走過去把皮袋盛滿水，給孩子喝。
20	神與這孩子同在，他漸漸長大；他住在荒野，成了弓箭手。
21	他住在帕蘭荒野，母親從埃及地給他娶了一個妻子。
 	亞伯拉罕與亞比米勒立約
22	那時，亞比米勒和他的元帥非各對亞伯拉罕說：“在你所做的一切事上，神都與你同在。
23	因此，你現在要在這裡指著神對我起誓，你不會欺詐我和我的子子孫孫。我怎樣忠誠待你，你也要怎樣忠誠待我和你所寄居的這地。”
24	亞伯拉罕說：“我願意起誓。”
25	亞伯拉罕指責亞比米勒，因為亞比米勒的僕人強佔了一口水井。
26	亞比米勒說：“我不知道誰做了這件事，你也沒有告訴我，我是現在才聽見。”
27	亞伯拉罕牽了牛羊來，送給亞比米勒，他們二人就立約。
28	亞伯拉罕把羊群裡的七隻母綿羊羔單獨放在一處。
29	亞比米勒就對亞伯拉罕說：“你把這七隻母綿羊羔單獨放在一處，是甚麼意思呢？”
30	他說：“意思就是要你從我手裡收下這七隻母綿羊羔，作為我挖了這口井的證明。”
31	因此那個地方名叫別示巴，因為他們二人在那裡起了誓。
32	他們在別示巴立約以後，亞比米勒和他的元帥非各就起程回非利士地去了。
33	亞伯拉罕在別示巴種了一棵檉柳，在那裡呼求耶和華永恆之神的名。
34	亞伯拉罕在非利士人的地方寄居了許多日子。
第二十二章
 	神試驗亞伯拉罕
1	這些事以後，神試驗亞伯拉罕，對他說：“亞伯拉罕！”他說：“我在這裡聽候！”
2	神說：“帶你的兒子，你的獨一愛子——以撒！你要到摩利亞地去，在我告訴你的一座山上把他獻為燔祭。”
3	於是亞伯拉罕清早起來，備好了驢，帶著兩個僕人和兒子以撒，劈好了獻燔祭用的柴，就起程往神告訴他的地方去。
4	第三天，亞伯拉罕舉目，遠遠看見那個地方。
5	亞伯拉罕就對僕人說：“你們和驢留在這裡，我和孩子去那邊敬拜，然後我們就回到你們這裡來。”
6	亞伯拉罕拿起獻燔祭用的柴，放在兒子以撒身上，然後把火和屠刀拿在手裡。他們兩個人一起向前走。
7	以撒對他父親亞伯拉罕說——他說：“我父啊！”亞伯拉罕說：“我兒，有甚麼事嗎？我在這裡聽著。”他說：“你看，火和柴都有了，可是燔祭的羊在哪裡呢？”
8	亞伯拉罕說：“我兒，神自己會預備燔祭的羊。”於是他們兩個人一起向前走。
9	他們到了神告訴他的地方，亞伯拉罕在那裡築祭壇，把柴排列好，捆綁了兒子以撒，把他放在祭壇的柴上。
10	亞伯拉罕伸手把屠刀拿過來，要宰殺兒子。
11	耶和華的使者從天上呼喚他，說：“亞伯拉罕，亞伯拉罕！”他說：“我在這裡聽候！”
12	天使說：“不可向這個孩子下手，一點都不可傷害他；現在我知道你是敬畏神的了，因為你沒有留下你的兒子，你的獨一兒子不給我。”
13	亞伯拉罕舉目觀看，看見有一隻公綿羊，兩角纏在灌木叢裡。亞伯拉罕就過去把那隻公綿羊牽來，獻為燔祭，代替兒子。
14	亞伯拉罕給那個地方起名叫“耶和華會預備”。直到今天，人們還說：“在耶和華的山上必有預備。”
15	耶和華的使者第二次從天上呼喚亞伯拉罕，
16	說：“耶和華宣告：‘我指著自己起誓，因為你做了這件事，沒有留下你的兒子，你的獨一兒子，
17	我必定賜福給你，必定大量增多你的後裔，像天上的繁星、海邊的沙，而且你的後裔將佔領仇敵的城門。
18	地上萬國都會藉著你的後裔說自己蒙福，因為你聽從了我的話。’”
19	亞伯拉罕回到他僕人那裡；他們就起程，一起往別示巴去。亞伯拉罕就住在別示巴。
 	拿鶴的子孫
20	這些事以後，有人告訴亞伯拉罕：“蜜迦也給你的兄弟拿鶴生了兒子：
21	長子烏斯、他的弟弟布斯、基摩利（亞蘭的父親）、
22	基薛、哈瑣、必達、益拉、彼土利
23	（彼土利生了利百加）。”這八個人，是蜜迦為亞伯拉罕的兄弟拿鶴生的。
24	拿鶴的妾名叫流瑪。她也生了提八、迦含、他轄、瑪迦。
第二十三章
 	亞伯拉罕買地安葬莎拉
1	莎拉享壽一百二十七歲，這是莎拉一生的年歲。
2	莎拉死在迦南地的亞巴鎮，就是希伯崙。亞伯拉罕就去哀悼莎拉，為她哀哭。
3	亞伯拉罕起來離開亡妻那裡，對赫特人說：
4	“在你們當中我是寄居者、暫住者，請在你們當中給我一塊用作墳墓的產業，讓我安葬亡妻，使她不在我面前。”
5	赫特人回答亞伯拉罕：
6	“我主請聽我們說，你在我們當中是一位顯赫的領袖，請在我們最好的墳地裡安葬你的亡妻，我們任何一個人都不會阻止你在他的墳地安葬亡妻。”
7	亞伯拉罕起來，向當地的赫特人下拜，
8	對他們說：“你們如果確實願意讓我安葬亡妻，使她不在我面前，就請聽我說，為我請求瑣轄的兒子以弗崙，
9	讓他把他田地盡頭那個屬於他的麥比拉洞給我，要按實價給我，使我在你們當中有塊用作墳墓的產業。”
10	那時候，以弗崙正坐在赫特人當中。赫特人以弗崙就回答亞伯拉罕，所有來到城門口的赫特人都聽見他說：
11	“我主，不要這樣，請聽我說，這塊田我給你，連其中的那個洞我也給你。我在我的族人眼前給你，讓你安葬亡妻。”
12	亞伯拉罕再次在當地人面前下拜，
13	在當地人面前對以弗崙說：“啊，如果你願意，請聽我說，我要把田地的價錢給你，請你收下吧，讓我可以在那裡安葬亡妻。”
14	以弗崙回答亞伯拉罕，對他說：
