列王紀下
第一章
 	先知預言亞哈謝必死
19	但耶和華因他僕人大衛的緣故不願滅絕猶大，卻要照著他給大衛的應許，賜給他和他的後裔總有一盞明燈。
 	伊東和立拿叛離猶大
（代下21:8~10）
20	約蘭王在位期間，伊東背叛，脫離猶大的掌控，立王統治自己的國家。
21	於是約蘭率領他所有的戰車一同前去撒益。他夜間起來，反擊那些包圍他的伊東人和戰車隊長，他的軍兵卻逃回自己的帳篷去了。
22	伊東就這樣背叛，脫離猶大的掌控，直到今天。那時，立拿也背叛。
23	約蘭其餘的事情，他一切的作為，都已經寫在《猶大列王編年史》上。
24	約蘭與列祖同眠；人們把他安葬在大衛城，與他的列祖葬在一起。他的兒子亞哈謝接替他為王。
 	亞哈謝登基為猶大王
（代下22:1~6）
25	亞哈的兒子以色列王約蘭在位第十二年，猶大王約蘭的兒子亞哈謝登基為猶大王。
26	他登基的時候年二十二歲，在耶路撒冷為王一年。他母親名叫亞她利雅，是以色列王安利的孫女。
27	他走亞哈家的道路，做耶和華視為惡的事，如同亞哈家一樣，因為他是亞哈家的女婿。
28	亞哈謝與亞哈的兒子約蘭一同到基列的高地鎮去，與亞蘭王哈薛交戰。亞蘭人擊傷了約蘭。
29	於是約蘭王回到耶斯列療傷，就是當他在拉瑪與亞蘭王哈薛交戰時，亞蘭人對他所造成的創傷。由於亞哈的兒子約蘭受了重傷，所以約蘭的兒子猶大王亞哈謝來到耶斯列探望他。
第九章
 	以利沙差弟子膏立耶戶
1	以利沙先知叫來一個先知弟子，對他說：“你束上腰，手裡拿著這一小瓶膏油，到基列的高地鎮去。
2	你到了那裡，要在那裡尋找寧示的孫子，約沙法的兒子耶戶。你要進去，請他從同僚中起來，然後帶他進入內室。
3	你要拿著這一小瓶膏油，把膏油倒在他的頭上，說：‘耶和華這樣說：“我膏立你為王統治以色列。”’然後，你就要開門逃走，不得停留。”
4	於是那年輕的先知往基列的高地鎮去了。
 	耶戶受膏為以色列王
5	他到了那裡，就看見軍隊的將領都在座。他說：“將軍，我有話要對你說。”耶戶說：“你要跟我們眾人中的哪一位說呢？”他說：“將軍，我要對你說話。”
6	耶戶就起來，進到裡間。先知弟子就把膏油倒在耶戶的頭上，對他說：“耶和華以色列的神這樣說：‘我膏立你為王，統治耶和華的子民以色列。
7	你要擊殺你主人亞哈的王室。我要在耶洗碧身上，為我僕人眾先知和耶和華所有的僕人報血仇。
8	亞哈全家都要滅亡；我要剪除以色列中所有屬於亞哈的男子，以及支持幫助他的人。
9	我要使亞哈的家像尼拔的兒子耶羅波安的家，又像亞希雅的兒子巴沙的家。
10	至於耶洗碧，狗會在耶斯列的田間吃耶洗碧的肉，無人安葬她。’”那年輕的先知一說完，就開門逃走了。
11	耶戶出來，到他主人的臣僕那裡。他們問他說：“一切都平安嗎？那個瘋子來見你有甚麼事？”他對他們說：“你們自己認得這個人，也知道他會說些甚麼事。”
12	他們說：“胡說！你老實告訴我們吧！”他說：“他這樣對我說：‘耶和華這樣說：我膏立你為王統治以色列。’”
13	他們每個人就取下自己的衣服，鋪在他腳下光禿的台階上，然後吹響號角宣告：“耶戶為王了！”
14	這樣，寧示的孫子，約沙法的兒子耶戶背叛了約蘭。約蘭和以色列眾人曾經守護基列的高地鎮，對抗亞蘭王哈薛。
15	但後來約蘭王回到耶斯列去療傷，就是他與亞蘭王哈薛作戰時，亞蘭人對他所造成的創傷。耶戶說：“你們若同意，就不要讓任何人逃出這城，到耶斯列去報信。”
16	於是耶戶登上戰車，前往耶斯列。因約蘭正在那裡養傷，猶大王亞哈謝已下來探望他。
17	站在耶斯列城樓的哨兵看見耶戶的隊伍接近，就說：“我看見有一隊人馬。”約蘭說：“叫一個騎兵來，派他去迎見他們，說：‘平安嗎？’”
18	於是有一個人騎著馬去迎見耶戶，說：“王這樣問：‘平安嗎？’”耶戶說：“平安不平安與你有甚麼相干？轉到我後面去！”那哨兵又報告：“使者已經去到他們那裡，卻沒有回來。”
19	王又派第二個人騎著馬去。他來到他們那裡，說：“王這樣問：‘平安嗎？’”耶戶說：“平安不平安與你有甚麼相干？轉到我後面去！”
20	那哨兵又報告：“使者已經去到他們那裡，卻沒有回來。那人駕車的架式很像寧示的孫子耶戶，因為他駕車像瘋子。”
 	耶戶射殺約蘭
21	約蘭就說：“套車！”他們就幫他套好戰車。以色列王約蘭和猶大王亞哈謝出城，他們各自乘駕戰車出去迎見耶戶，在耶斯列人拿伯特的田間遇上他。
22	約蘭一看見耶戶，就說：“耶戶，平安嗎？”耶戶說：“你母親耶洗碧的淫行和邪術這麼多，還有平安嗎？”
23	約蘭立刻把戰車調轉過來逃跑，對亞哈謝說：“亞哈謝啊，反了！”
24	耶戶拉滿弓，射中約蘭的後背。箭穿心而出，他就倒在自己的戰車上。
25	耶戶對軍官畢甲說：“把他抬起來，丟在耶斯列人拿伯特的田裡，因為我還記得你我一起駕車跟隨他父親亞哈的時候，耶和華曾宣告有關亞哈的判語：
26	‘昨天我確實看見了拿伯特的血和他兒子們的血’——耶和華這樣宣告；‘我要在這塊田地上報應你’——耶和華這樣宣告。現在，你要照耶和華的話，把他抬起來丟在田裡。”
27	猶大王亞哈謝看見這一切，就沿著通往伯哈干的路逃走。耶戶緊追不捨，說：“還有他，把他擊殺在戰車上！”他們就在靠近以伯蓮的古珥坡把他射傷。他逃到米吉多，就死在那裡。
28	臣僕們用車把他的遺體送到耶路撒冷，葬在大衛城他自己的墳墓裡，與列祖葬在一起。
29	亞哈的兒子約蘭在位第十一年，亞哈謝登基統治猶大。
 	耶洗碧死無全屍
30	耶戶來到耶斯列。耶洗碧已經聽聞，就梳妝打扮，從窗戶裡往下觀望。
31	耶戶進入城門的時候，耶洗碧說：“弒主的心利，平安嗎？”
32	耶戶抬頭對著窗戶說：“有誰擁護我？有誰？”有兩三個大臣往下望著他。
33	他說：“把她扔下來！”他們就把耶洗碧扔下去。她的血濺在牆上和馬匹身上，馬匹也踐踏她。
34	耶戶進入屋內，又吃又喝，然後說：“你們去處理那個被詛咒的婦人，把她葬了，因為她畢竟是王的女兒。”
35	於是他們去葬她，卻找不到她的屍體，只找到頭骨、雙腳和雙掌。
36	他們就回覆他，他說：“這是應驗耶和華藉著他僕人提斯比人以利亞所說的話：‘狗會在耶斯列的田間吃耶洗碧的肉。’
37	耶洗碧的屍體要像耶斯列田間的糞肥，以致沒有人認得出，說：‘這是耶洗碧。’”
第十章
 	耶戶寫信給撒瑪利亞的領袖
1	亞哈有七十個兒子在撒瑪利亞。耶戶寫信到撒瑪利亞，對耶斯列的首領、長老和亞哈兒子們的監護人說：
2	“你們主人的兒子們都在你們那裡，你們也有戰車、馬匹、堅城和武器，那麼，當這封信到達你們那裡的時候，
3	你們就要看看在你們主人的兒子中，哪一位最善良正直，把他立在他父親的寶座上；你們也要為你們主人的家爭戰。”
4	他們就非常非常害怕，說：“兩個王都不能抵擋他，我們又怎能抵擋呢？”
5	於是王宮總管、市長、長老和亞哈兒子們的監護人送信給耶戶，說：“我們是你的僕人，你吩咐我們的事，我們都會照辦。我們不會立甚麼人為王；你看怎樣好就怎樣做吧！”
 	耶戶殺盡亞哈的子孫
6	於是耶戶寫第二封信給他們，說：“你們如果歸順我，聽從我的話，就要在明天這個時候，拿著你們主人兒子們的首級，到耶斯列來見我。”那時，王的七十個兒子住在城中撫養他們的尊貴人家中。
7	他們一收到那封信，就抓住王的七十個兒子，把他們全都殺了。然後把他們的首級放在籃子裡，送到耶斯列給耶戶。
8	有使者來告訴耶戶說：“王的兒子們的首級送到了。”他說：“把它們分作兩堆放在城門口，直到早上。”
9	早上的時候，耶戶出來，站著對民眾說：“你們都是清白無罪嗎？不錯，是我自己背叛主人，把他殺了，但所有這些人又是誰擊殺的呢？
10	你們要知道耶和華的話，就是耶和華衝著亞哈家所說的話，一句也沒有落空。耶和華藉著他的僕人以利亞所說的話，他都實現了。”
11	耶戶又擊殺亞哈家在耶斯列的所有遺族，還有他所有的大臣、好友、祭司，一個都不留。
 	耶戶殺盡亞哈謝的親屬
12	耶戶動身前往撒瑪利亞。在路上，他經過牧羊人聚集的伯艾吉。
13	他遇見猶大王亞哈謝的親屬。他問：“你們是誰？”他們說：“我們是亞哈謝的親屬。我們下來要向王的兒子們和太后的兒子們請安。”
14	耶戶吩咐說：“活捉他們！”他的手下就活捉了他們，在伯艾吉的坑邊殺死他們，一共四十二個人，一個都不留。
15	他又從那裡往前走，遇見利甲的兒子約拿達來迎接他。耶戶向他請安，然後說：“你是不是誠心待我，像我誠心待你一樣？”約拿達說：“是的。”耶戶說：“如果是的話，伸出你的手來。”他伸出手，耶戶就把他拉上座車。
16	耶戶說：“你和我一起去看看我對耶和華的熱忱。”於是他用自己的戰車載約拿達同去。
17	他來到撒瑪利亞，就照耶和華對以利亞所說的那樣，擊殺亞哈在撒瑪利亞的所有遺族，把他們完全消滅了。
 	耶戶誘殺所有侍奉巴力的人
18	耶戶集合民眾，對他們說：“從前亞哈侍奉巴力還不夠熱心，耶戶要更熱心侍奉。
19	現在，所有的巴力先知、所有侍奉他的人和他所有的祭司都要給我召來，一個都不可漏掉；因為我要向巴力獻一個極大的祭，缺席的人都不得存活。”耶戶用詭計這樣做，是要剷除所有侍奉巴力的人。
20	耶戶又說：“要為巴力召開一個特別集會。”於是他們去宣告。
21	耶戶派人走遍以色列各地，所有侍奉巴力的人都來了，沒有一個遺漏不來。他們都進入巴力廟，以致巴力廟從這邊到那邊都擠滿了人。
22	耶戶對掌管衣櫥的人說：“把禮服拿出來，給所有侍奉巴力的人穿上。”他就把禮服拿出來給他們穿上。
23	耶戶和利甲的兒子約拿達來到巴力廟中。他對侍奉巴力的人說：“搜查一下，這裡不可有侍奉耶和華的人和你們在一起，只可以有侍奉巴力的人。”
24	他們進去獻祭和獻燔祭。耶戶在外面布置了八十個人，說：“如果我帶來交在你們手中的這些人，有一個逃脫了，你們就要以命抵命。”
25	耶戶一獻完燔祭，就對侍衛和軍官說：“你們進去殺死他們，一個也不可讓他們出來。”侍衛和軍官們就用刀擊殺他們，把屍體拋出去，然後前往巴力廟的城。
26	他們把巴力廟內的神碑搬出去焚燒。
27	他們毀壞巴力的神碑，又拆毀巴力廟，改為廁所，直到今天。
28	這樣，耶戶從以色列中剷除了巴力。
 	耶戶仍拜金牛像
29	只是，尼拔的兒子耶羅波安導致以色列人犯罪的那些罪，耶戶卻沒有轉離，他仍然敬拜在伯特利和但的金牛像。
30	耶和華對耶戶說：“因為你辦好我視為正的事，照我的一切心意對付亞哈家，你的子孫要坐在以色列的王位上，直到第四代。”
31	可是耶戶沒有盡心遵行耶和華以色列神的律法，轉離耶羅波安使以色列人陷於罪裡的那些罪。
 	哈薛入侵以色列地
32	在那些日子，耶和華開始削弱以色列的疆界。哈薛在以色列各處的邊境侵擾他們：
33	從約旦河東基列的全境，包括迦得人、呂便人和瑪拿西人之地，從靠近亞嫩溪谷的亞羅珥起，直到基列和巴珊。
34	耶戶其餘的事情、他一切強大的作為，都已經寫在《以色列諸王編年史》上。
 	耶戶逝世
35	耶戶與列祖同眠，葬在撒瑪利亞，他兒子約哈斯接替他為王。
36	耶戶在撒瑪利亞為王統治以色列二十八年。
第十一章
 	亞她利雅奪權
（代下22:10~12）
1	亞她利雅是亞哈謝的母親，她看見自己的兒子死了，就起來除滅王室全族。
2	但是約蘭王的女兒，亞哈謝的姐妹約示芭把亞哈謝的兒子約阿施從正要被殺的諸王子中偷出來，把他和乳母藏在臥室裡。他們把他藏起來，躲避亞她利雅，免得他被殺。
3	亞她利雅為王統治那地，約阿施和乳母在耶和華的殿裡躲藏了六年。
 	耶和雅達等人立約擁立王子
（代下23:1~11）
4	第七年，耶和雅達派人找來迦利人和侍衛的百夫長們，領他們進入耶和華的殿，與他們立約，讓他們在耶和華的殿裡起誓，然後請王的兒子出來和他們見面。
5	他又吩咐他們說：“你們要這樣做：你們在安息日值班的人，三分之一要守護王宮，
6	三分之一要在蘇珥門，三分之一要在侍衛院的後門；你們要輪班守護王宮。
7	你們在安息日不用值班的兩隊，要為王的緣故守護耶和華的殿。
8	你們要在王的四周護衛他，各人手中要拿著兵器。擅自闖入隊列的人，格殺勿論。王出入的時候，你們要緊隨他。”
9	百夫長們照著耶和雅達祭司的所有吩咐去做。他們各自率領人來，無論是在安息日值班或不用值班的，都來到耶和雅達祭司那裡。
10	耶和雅達祭司就把貯存在耶和華殿裡，原本屬於大衛王的矛和盾牌交給百夫長們。
11	各侍衛手中拿著兵器，面對祭壇和殿，從殿的南面到殿的北面，圍繞著王侍立。
12	耶和雅達領王的兒子出來，把冠冕戴在他頭上，又把約書交給他。他們就擁立他為王，膏立他，鼓掌歡呼說：“願王萬歲！”
 	亞她利雅被殺
（代下23:12~15）
13	亞她利雅聽見侍衛和人民的聲音，就進入耶和華的殿，到人民那裡。
14	她看見王按照禮儀站在柱旁，眾首領和號手在王的旁邊，全國人民都歡樂吹號。亞她利雅就撕裂衣服，喊著：“反了！反了！”
15	耶和雅達祭司吩咐統領軍兵的百夫長們，對他們說：“把她從隊列之間帶出去，跟隨她的人，都要用刀殺死。”因為祭司說：“不可在耶和華的殿裡殺死她。”
16	他們就下手捉住她；當她來到通往王宮的馬門時，就在那裡被殺。
 	耶和雅達的改革
（代下23:16~21）
17	耶和雅達讓王和人民與耶和華立約，使他們作耶和華的子民，又讓王與人民立約。
18	於是全國人民都來到巴力廟，把廟拆毀，徹底打碎那些祭壇和偶像，並在那些祭壇前處死巴力的祭司瑪坦。耶和雅達祭司設立官員看管耶和華的殿。
19	他率領百夫長們、迦利人、侍衛和當地的所有人民，護送王從耶和華的殿下來，經侍衛的門進入王宮。這樣，約阿施就坐上寶座。
20	全國人民都歡樂，城也平靜。而亞她利雅，他們在王宮裡用刀把她殺了。
21	約阿施登基的時候，年七歲。
第十二章
 	約阿施登基為猶大王
（代下24:1~3）
1	耶戶在位第七年，約阿施登基，在耶路撒冷為王四十年。他母親名叫齊碧雅，是別示巴人。
2	在耶和雅達祭司教導他的日子，約阿施都做耶和華視為正的事。
3	只是丘壇還沒有廢去，人民仍在丘壇宰獻祭牲和燒獻祭物。
 	約阿施下令修理聖殿
（代下24:4~14）
4	約阿施對祭司們說：“所有分別為聖、奉獻到耶和華殿裡的銀子，包括每個人的贖銀，按各種人的定價所奉獻的銀子，以及每個人隨著心意奉獻到耶和華殿裡的銀子，
5	每位祭司都可向捐款人收取，修理殿內所有發現的毀壞之處。”
6	可是到了約阿施王在位第二十三年，祭司們還沒有修理聖殿毀壞的地方。
7	於是，約阿施王召來耶和雅達祭司和祭司們，問他們說：“你們為甚麼不修理聖殿毀壞的地方呢？現在，不可再向捐款人收取銀子，而要把所領取的銀子交出來，用以修理聖殿毀壞的地方。”
8	祭司們答應不再向人民收取銀子，卻也不修理聖殿毀壞的地方。
9	耶和雅達祭司搬來一個櫃子，在櫃子頂端鑽一個孔，放在耶和華聖殿入口南邊的祭壇旁邊。守門的祭司們把所有奉獻到耶和華殿的銀子都投入櫃子裡。
10	每當他們看見櫃裡銀子多起來，就叫王的書記和大祭司上來，他們就把耶和華殿裡所得的銀子包起來，加以清點。
11	他們把稱好的銀子交給那些負責修理耶和華殿的督工，他們再付給在耶和華殿裡做工的木匠和建築工人，
12	以及泥水匠和石匠。又用來購買木料和鑿好的石頭，修理耶和華殿毀壞的地方，並支付修理耶和華殿的所有費用。
13	但奉獻到耶和華殿裡的銀子，都沒有用於耶和華殿裡的銀杯、燈剪、碗、號或任何金銀器物。
14	他們把銀子交給工匠，用來修理耶和華的殿。
15	他們沒有要求那些經手把銀子轉付工匠的人交代賬目，因為他們辦事誠實。
16	至於抵罪祭和贖罪祭的銀子，他們沒有奉獻到耶和華的殿，這些銀子屬於祭司。
 	亞蘭軍攻打猶大
（代下24:23~24）
17	那時亞蘭王哈薛上來攻打迦特，奪取了那城。然後哈薛決心上來攻打耶路撒冷。
18	猶大王約阿施拿出所有的聖物，就是他的列祖猶大王約沙法、約蘭和亞哈謝所奉獻的聖物，以及他自己所奉獻的聖物，還有耶和華殿和王宮寶庫裡所有的金子，都獻給亞蘭王哈薛，哈薛才離開耶路撒冷。
 	約阿施被刺殺
（代下24:25~27）
19	約阿施其餘的事情，都已經寫在《猶大列王編年史》上。
20	他的臣僕起來背叛，他們在通往悉拉的米羅宮內刺殺他。
21	他的臣僕示米押的兒子約撒甲和朔默的兒子約薩拔刺殺他，他就死了。人們把他安葬在大衛城，與列祖葬在一起。他的兒子亞瑪謝接替他為王。
第十三章
 	約哈斯登基為以色列王
1	亞哈謝的兒子猶大王約阿施在位第二十三年，耶戶的兒子約哈斯在撒瑪利亞登基，統治以色列十七年。
2	他做耶和華視為惡的事，跟著尼拔的兒子耶羅波安導致以色列人犯罪的那些罪而行，沒有轉離。
3	因此，耶和華的怒氣不斷向以色列發作，把他們交在亞蘭王哈薛的手中，和哈薛的兒子便哈達的手中。
4	約哈斯懇求耶和華，耶和華因為看見以色列受到亞蘭王的欺凌，就應允他。
5	耶和華賜給以色列一位拯救者，他們就脫離亞蘭人的手，於是以色列人像從前一樣在自己的帳篷中安居。
6	可是他們沒有轉離耶羅波安家導致以色列人犯罪的那些罪，仍然行在罪中，亞舍拉柱依然立在撒瑪利亞。
7	約哈斯沒有甚麼軍兵剩下——只剩下五十名戰車兵，十輛戰車和一萬名步兵，因為亞蘭王殲滅他們，踐踏他們好像碾禾場上的塵土。
8	約哈斯其餘的事情、他一切強大的作為，都已經寫在《以色列諸王編年史》上。
9	約哈斯與列祖同眠，葬在撒瑪利亞。他的兒子約阿施接替他為王。
 	約阿施登基為以色列王
10	猶大王約阿施在位第三十七年，約哈斯的兒子約阿施在撒瑪利亞登基，統治以色列十六年。
11	他做耶和華視為惡的事，沒有轉離尼拔的兒子耶羅波安導致以色列人犯罪的一切罪，仍然行在其中。
12	約阿施其餘的事情、他一切的作為、他怎樣強力與猶大王亞瑪謝爭戰，都已經寫在《以色列諸王編年史》上。
13	約阿施與列祖同眠，耶羅波安坐上他的寶座。他把約阿施葬在撒瑪利亞，與以色列諸王葬在一起。
 	以利沙病重
14	以利沙患了絕症。以色列王約阿施下到他那裡，伏在他臉上哭，說：“我父啊，我父啊，以色列的戰車和戰車兵啊！”
15	以利沙對他說：“拿弓箭來！”以色列王就把弓箭拿給他。
16	他對以色列王說：“把手搭在弓上！”他就把手搭在弓上，以利沙又把自己的手放在王的手上。
17	以利沙說：“打開朝東的窗戶。”他就打開。以利沙說：“放箭！”他就放箭。以利沙說：“這是耶和華勝利的箭，耶和華戰勝亞蘭人的箭。你要在亞弗擊殺亞蘭人，把他們徹底消滅。”
18	以利沙又說：“拿幾枝箭來！”他就拿來。以利沙對以色列王說：“你擊打地吧！”他就擊打地，打了三次就停下來。
19	神人就對他發怒，說：“你應該擊打五、六次，那樣就能完全消滅亞蘭人。現在，你只能打敗亞蘭人三次。”
 	以利沙逝世
20	以利沙死後，人們將他安葬。過年期間，摩押人常來侵襲以色列地。
21	有一次，有人正在把一個男人安葬，突然看見一幫人侵襲，他們就把那個男人拋在以利沙的墳墓裡。那個男人一碰到以利沙的骸骨就復活了，用自己雙腳站立起來。
 	主使以色列三次戰勝亞蘭
22	約哈斯在位期間，亞蘭王哈薛一直欺凌以色列。
23	但耶和華因他與亞伯拉罕、以撒和雅各所立的約，仍然施恩給以色列，憐憫他們，眷顧他們，不願意滅絕他們，直到今天也沒有把他們從自己的面前丟棄。
24	亞蘭王哈薛死了，他的兒子便哈達接替他為王。
25	約哈斯的兒子約阿施從哈薛的兒子便哈達手中，收復哈薛在戰爭時從約阿施的父親約哈斯手中奪去的城市。約阿施三次打敗便哈達，收復以色列的城市。
第十四章
 	亞瑪謝登基為猶大王
（代下25:1~13）
1	約哈斯的兒子以色列王約阿施在位第二年，猶大王約阿施的兒子亞瑪謝登基為王。
2	他登基的時候年二十五歲，在耶路撒冷為王二十九年。他的母親名叫約雅丹，是耶路撒冷人。
3	他做耶和華視為正的事；只是不像他的先祖大衛。他照著他父親約阿施所做的一切去做，
4	只是丘壇還沒有廢去，人民仍在丘壇宰獻祭牲和燒獻祭物。
5	當王國在他手中穩固以後，他就處死那些刺殺他父王的叛臣，
6	但沒有處死他們的兒子，這是按照摩西律法書上所記載耶和華的命令：“父親不可因兒子的罪被處死，兒子也不可因父親的罪被處死；各人要因自己的罪被處死。”
7	他在鹽谷擊殺了一萬伊東人，又攻取石壘，改名為約帖，直到今天。
 	亞瑪謝挑釁約阿施
（代下25:17~19）
8	那時，亞瑪謝派使者去見耶戶的孫子，約哈斯的兒子以色列王約阿施，說：“來，我們在戰場上見！”
9	以色列王約阿施派人去見猶大王亞瑪謝，說：“黎巴嫩的蒺藜派人去見黎巴嫩的雪松，說：‘請你把你的女兒嫁給我的兒子為妻！’後來有黎巴嫩的野獸經過，就把蒺藜踐踏了。
10	不錯，你的確擊敗了伊東人，這樣你就心高氣傲。你儘管自己誇耀，安坐家中就是了，何苦惹禍，自取敗亡，也使猶大跟你一起敗亡呢？”
 	亞瑪謝兵敗被俘
（代下25:20~24）
11	然而亞瑪謝不聽警告。於是以色列王約阿施上來，與猶大王亞瑪謝在猶大的太陽鎮會戰。
12	猶大軍隊被以色列軍隊擊敗，各自逃回自己的帳篷去了。
13	以色列王約阿施在太陽鎮捉住了亞哈謝的孫子，約阿施的兒子猶大王亞瑪謝。約阿施來到耶路撒冷，拆毀耶路撒冷一段城牆，從以法蓮門直到角門，共四百肘。
14	他又搶走耶和華殿裡的所有金銀和所有器物，以及王宮裡的寶物，還帶著人質，就回撒瑪利亞去了。
15	約阿施其餘的作為、他的強大、他怎樣與猶大王亞瑪謝爭戰，都已經寫在《以色列諸王編年史》上。
16	約阿施與列祖同眠，他葬在撒瑪利亞，與以色列諸王葬在一起。他的兒子耶羅波安接替他為王。
 	亞瑪謝在拉吉被弒
（代下25:25~26:2）
17	約哈斯的兒子以色列王約阿施死後，約阿施的兒子猶大王亞瑪謝仍活了十五年。
18	亞瑪謝其餘的事情，都已經寫在《猶大列王編年史》上。
19	在耶路撒冷有人密謀背叛他，他就逃到拉吉。他們派人跟蹤他到拉吉，就在那裡殺死他。
20	他們把他的遺體馱在馬背上運回來，安葬在耶路撒冷，在大衛城，與列祖葬在一起。
21	猶大全體人民選立亞撒利雅；他當時十六歲，他們立他繼承父親亞瑪謝為王。
22	亞瑪謝與列祖同眠以後，亞撒利雅重建伊拉特，收歸猶大。
 	耶羅波安二世登基為以色列王
23	約阿施的兒子猶大王亞瑪謝在位第十五年，以色列王約阿施的兒子耶羅波安在撒瑪利亞登基為王四十一年。
24	他做耶和華視為惡的事，沒有轉離尼拔的兒子耶羅波安導致以色列人犯罪的一切罪。
25	他按照耶和華以色列的神藉著他僕人水洞醡人亞米太的兒子約拿先知所說的話，收復以色列的邊境，從哈馬的利布城直到亞拉巴海。
26	因為耶和華看見以色列非常艱苦，沒有人支持，沒有人幫助，以色列沒有幫助者。
27	耶和華沒有說過要將以色列的名從天下抹掉，所以他藉著約阿施的兒子耶羅波安的手拯救他們。
28	耶羅波安其餘的事情、他一切的作為、他怎樣強力爭戰、怎樣把大馬士革和原屬猶大的哈馬收復歸還以色列，都已經寫在《以色列諸王編年史》上。
29	耶羅波安和列祖以色列諸王同眠。他的兒子撒迦利亞接替他為王。
第十五章
 	亞撒利雅登基為猶大王
（代下26:1~23）
1	以色列王耶羅波安在位第二十七年，猶大王亞瑪謝的兒子亞撒利雅登基為王。
2	他登基的時候年十六歲，在耶路撒冷為王五十二年。他母親名叫耶柯莉雅，是耶路撒冷人。
3	他做耶和華視為正的事，照著他父親亞瑪謝所做的一切去做。
4	只是丘壇還沒有廢去，人民仍在丘壇宰獻祭牲和燒獻祭物。
5	耶和華擊打王，他就患了嚴重的皮膚病，直到他死的日子。因此他住在隔離的房子，由兒子約坦攝政，治理國民。
6	亞撒利雅其餘的事情，他一切的作為，都已經寫在《猶大列王編年史》上。
7	亞撒利雅與列祖同眠，安葬在大衛城，與列祖葬在一起。他的兒子約坦接替他為王。
 	撒迦利亞登基為以色列王
8	猶大王亞撒利雅在位第三十八年，耶羅波安的兒子撒迦利亞在撒瑪利亞登基，統治以色列六個月。
9	他做耶和華視為惡的事，像他列祖所做的，沒有轉離尼拔的兒子耶羅波安導致以色列人犯罪的那些罪。
10	雅比的兒子沙龍密謀背叛他，當著眾人的面擊殺他，把他殺死，篡位為王。
11	撒迦利亞其餘的事情，都已經寫在《以色列諸王編年史》上。
12	這就是耶和華曾論到耶戶的話：“你的子孫要坐在以色列的王位上，直到第四代。”這話果然應驗了。
 	沙龍登基為以色列王
13	猶大王烏西雅在位第三十九年，雅比的兒子沙龍登基為王；他在撒瑪利亞為王一個月。
14	迦底的兒子米納恆從得撒上去，到撒瑪利亞刺殺雅比的兒子沙龍，把他殺死，篡位為王。
15	沙龍其餘的事情，包括他叛變的經過，都已經寫在《以色列諸王編年史》上。
16	那時，米納恆從得撒開始，攻打提弗薩和城中所有的人以及周邊地區；因為他們不打開城門，所以他攻擊城，剖開所有孕婦的肚腹。
 	米納恆登基為以色列王
17	猶大王亞撒利雅在位第三十九年，迦底的兒子米納恆在撒瑪利亞登基，統治以色列十年。
18	他做耶和華視為惡的事，他在位期間，沒有轉離尼拔的兒子耶羅波安導致以色列人犯罪的那些罪。
19	亞述王普勒來攻打以色列地，米納恆向普勒進貢一千他連得銀子，請求普勒幫助他鞏固王國。
20	米納恆向以色列所有大財主強索銀子，每人五十舍客勒，好獻給亞述王。於是亞述王回去，不在以色列地停留。
21	米納恆其餘的事情，他一切的作為，都已經寫在《以色列諸王編年史》上。
22	米納恆與列祖同眠，他的兒子比加轄接替他為王。
 	比加轄登基為以色列王
23	猶大王亞撒利雅在位第五十年，米納恆的兒子比加轄在撒瑪利亞登基，統治以色列兩年。
24	他做耶和華視為惡的事，沒有轉離尼拔的兒子耶羅波安導致以色列人犯罪的那些罪。
25	比加轄的軍長，利瑪利雅的兒子比加密謀背叛他，在撒瑪利亞王宮的城樓刺殺他；與比加同謀的人，有亞珥歌和亞利耶，以及和比加一起的五十個基列人。比加刺殺比加轄，篡位為王。
26	比加轄其餘的事情，他一切的作為，都已經寫在《以色列諸王編年史》上。
 	比加登基為以色列王
27	猶大王亞撒利雅在位第五十二年，利瑪利雅的兒子比加在撒瑪利亞為王統治以色列二十年。
28	他做耶和華視為惡的事，沒有轉離尼拔的兒子耶羅波安導致以色列人犯罪的那些罪。
29	以色列王比加在位期間，亞述王提革拉琵列色前來，攻取以雲、伯瑪阿迦的亞貝、雅挪哈、基低斯、夏瑣、基列、加利利和拿弗他利全地，把人民擄到亞述去。
30	烏西雅的兒子約坦在位第二十年，以拉的兒子何細亞密謀背叛利瑪利雅的兒子比加，刺殺他，把他殺死，篡位為王。
31	比加其餘的事情，他一切的作為，都已經寫在《以色列諸王編年史》上。
 	約坦登基為猶大王
（代下27:1~9）
32	利瑪利雅的兒子以色列王比加在位第二年，烏西雅的兒子約坦登基為猶大王。
33	他登基的時候年二十五歲，在耶路撒冷為王十六年。他母親名叫耶露莎，是撒督的女兒。
34	他做耶和華視為正的事，照著他父親烏西雅所做的一切去做，
35	只是丘壇沒有廢去，人民仍在丘壇宰獻祭牲和燒獻祭物。他建造了耶和華殿的上門。
36	約坦其餘的事情，他一切的作為，都已經寫在《猶大列王編年史》上。
37	在那段期間，耶和華開始派亞蘭王利汛和利瑪利雅的兒子比加去攻擊猶大。
38	約坦與列祖同眠，安葬在他先祖大衛的城裡，與列祖葬在一起。他的兒子亞哈斯接替他為王。
第十六章
 	亞哈斯登基為猶大王
（代下28:1~4）
1	利瑪利雅的兒子比加在位第十七年，猶大王約坦的兒子亞哈斯登基為王。
