約書亞記
第一章
 	約書亞受命領導
19	但你們不要停在那裡，要去追趕仇敵，從後面擊殺他們，別讓他們回城，因為耶和華你們的神已經把他們交在你們手裡。”
20	約書亞和以色列人大敗他們，直到把他們全部消滅（只有一些生還的人逃進設防的城裡）。
21	全體以色列人都平平安安回到瑪基達的營中，到約書亞那裡。誰也不敢出言攻擊以色列人。
22	約書亞說：“你們打開洞口，把那五個王從洞裡帶出來到我這裡。”
23	眾人就照著執行，把那五個王，就是耶路撒冷王、希伯崙王、耶末王、拉吉王和伊磯倫王，從洞裡帶出來到約書亞那裡。
24	當眾人把那五個王帶出來到約書亞那裡，約書亞就把所有的以色列人都召來，對那些與他同去作戰的軍長說：“你們靠近來，把腳踏在這幾個王的頸項上。”他們就靠近來把腳踏在那幾個王的頸項上。
25	約書亞對他們說：“不要害怕，不要驚惶，而要堅強勇敢！因為耶和華將會這樣對待你們要攻打的所有仇敵。”
26	隨後，約書亞把那五個王殺死，掛在五根木頭上；他們就被掛在木頭上，直到傍晚。
27	到了日落的時候，約書亞吩咐人把他們從木頭上取下來，丟在他們躲藏過的洞裡，用幾塊大石頭堵住洞口；這些石頭一直存到今天。
 	攻取南方各城
28	而瑪基達，約書亞當天就攻取了。他用刀擊殺這城的人和這城的王，把城中所有的人滅絕，沒有留下一個生還者；他對待瑪基達王就像從前對待耶利哥王一樣。
29	約書亞帶同全體以色列人從瑪基達往立拿去，攻打立拿。
30	耶和華把立拿和立拿的王也交在以色列人手裡，約書亞用刀擊殺城中所有的人，沒有留下一個生還者；他對待立拿王就像從前對待耶利哥王一樣。
31	約書亞帶同全體以色列人從立拿往拉吉去，對著拉吉安營，攻打這城。
32	耶和華把拉吉交在以色列人手裡，第二天約書亞就攻取了拉吉，用刀擊殺城中所有的人，完全就像他對待立拿一樣。
33	那時，基色王賀楠上來救援拉吉，約書亞就把他和他的人民都擊殺了，沒有留下一個生還者。
34	約書亞帶同全體以色列人從拉吉往伊磯倫去，對著伊磯倫安營，攻打這城。
35	那一天，他們攻取了這城，用刀擊殺城中所有的人；那一天約書亞把他們滅絕，完全就像他對待拉吉一樣。
36	約書亞帶同全體以色列人從伊磯倫上希伯崙去，攻打這城。
37	他們攻取了這城，用刀擊殺這城的王和附屬城鎮所有的人，沒有留下一個生還者，完全就像他對待伊磯倫一樣，把城中所有的人滅絕。
38	約書亞帶同全體以色列人回到底璧，攻打這城。
39	他攻取了這城，擒獲這城的王，又攻取了所有附屬城鎮；他們用刀擊殺城中所有的人，滅絕他們，沒有留下一個生還者；約書亞怎樣對待希伯崙，也怎樣對待底璧和底璧的王，就好像他對待立拿和立拿的王一樣。
40	這樣，約書亞擊殺了整個地區的人，就是山地、南地、山麓地帶和山坡的人以及那些地方所有的王，沒有留下一個生還者；而所有有氣息的，他都照著耶和華以色列神的吩咐滅絕了。
41	約書亞擊殺他們，從加低斯巴尼亞直到迦薩，從歌珊全地直到基遍。
42	所有這些王和他們的地，約書亞一舉征服了，因為是耶和華以色列的神為以色列作戰。
43	於是約書亞帶同全體以色列人回到吉甲的營中。
第十一章
 	擊敗北方聯軍
1	當夏瑣王耶賓聽見這些事，就派人去見瑪頓王約巴、伸崙王、押煞王，
2	以及北部山地、基尼烈南邊的亞拉巴山麓地帶和西邊的多珥高地諸王，
3	又去見東部和西部的迦南人，山地的亞摩利人、赫特人、比利洗人、耶布斯人，以及米斯巴地黑門山腳的希未人。
4	這些王與他們所有的軍隊都一同出動，人數眾多，多如海邊的沙，還有極多馬匹和戰車。
5	所有這些王會師，來到米倫水邊，在那裡一起安營，要與以色列人爭戰。
6	耶和華對約書亞說：“你不要怕他們，因為明天這個時候，我就會把他們交給以色列人通通殺死；他們馬匹的蹄筋，你要砍斷；他們的戰車，你要用火焚燒。”
7	於是約書亞和所有跟他一起能作戰的人，在米倫水邊突擊他們。
8	耶和華把他們交在以色列人手裡，以色列人就擊殺他們；以色列人追趕他們一直到大西頓、窯浦，以及東邊的米斯巴谷，把他們擊殺，沒有給他們留下一個生還者。
9	約書亞按照耶和華給他的吩咐對待他們，把他們馬匹的蹄筋砍斷，戰車用火焚燒。
10	那時，約書亞轉回來，攻取夏瑣，用刀擊殺了夏瑣王。（在此之前夏瑣是所有這些王國之首。）
11	以色列人用刀擊殺了城中所有的人，把他們滅絕，凡有氣息的，沒有留下一個；他又放火焚燒夏瑣。
12	約書亞攻取了那些王所有的城鎮，擒獲所有的王；他用刀擊殺他們，把他們滅絕，正如耶和華的僕人摩西所吩咐的那樣。
13	所有立在山岡上的城之中，只有夏瑣被約書亞焚燒了，除此之外，以色列人都沒有焚燒。
14	那些城裡所有的財物和牲畜，以色列人都奪取了作自己的戰利品；只是所有的人口，他們都用刀擊殺，消滅淨盡；凡有氣息的，沒有留下一個。
15	耶和華怎樣吩咐他的僕人摩西，摩西就怎樣吩咐約書亞，約書亞也就怎樣去做；耶和華所吩咐摩西的一切事，約書亞沒有一樣不辦妥。
 	總結戰果
16	這樣，約書亞奪取了那全地，包括山區及整個南地、歌珊全地、山麓地帶與亞拉巴、以色列山地和山麓地帶；
17	從上西珥的哈拉山，直到黑門山下黎巴嫩平原的巴力迦得。約書亞擒獲他們所有的王，把他們都殺死了。
18	約書亞和這些王爭戰了許多年日，
19	除了住在基遍的希未人以外，沒有一座城向以色列人求和，其他的城都是以色列人藉著戰爭奪取的。
20	這是由於耶和華使他們心裡剛硬，前來與以色列人爭戰，好滅絕他們，使他們不蒙憐憫，反被消滅，正如耶和華吩咐摩西的那樣。
21	那時約書亞來了，把來自山地、希伯崙、底璧、葡萄鎮、整個猶大山地、整個以色列山地所有的亞衲人都剪除了。約書亞把他們與他們的城鎮都滅絕了。
22	在以色列人境內，沒有留下一個亞衲人，唯獨在迦薩、迦特和亞實突還有餘民。
23	這樣，約書亞照著耶和華吩咐摩西的一切話，奪取了那全地，然後把地分配給以色列的各支派作為產業，於是國中太平，沒有戰爭了。
第十二章
 	摩西擊殺的河東二王
1	以下是以色列人在約旦河東擊殺的兩個王；以色列人佔領了他們的地，從亞嫩溪谷直到黑門山和東邊的整個亞拉巴。
2	這兩個王，一個是住希實本的亞摩利王西宏，他管轄的地方是從亞嫩溪谷旁邊的亞羅珥及溪谷中間直到亞捫人的邊界雅博溪，就是基列的一半，
3	與東邊的亞拉巴，北到基尼烈湖，南到亞拉巴海，就是鹽海，東邊是往荒地莊的路，南邊靠著琵斯迦斜坡。
4	另一個是巴珊王俄革，他是利乏音的遺民，住在亞絲塔露和伊得雷。
5	他管轄黑門山、撒迦、巴珊全地，直到基述人和瑪迦人的邊界，還有基列的一半，直到希實本王西宏的邊界。
6	耶和華的僕人摩西和以色列人擊殺了這兩個王。耶和華的僕人摩西把他們的地賜給呂便人、迦得人和瑪拿西半個支派的人作為產業。
 	約書亞擊殺的河西諸王
7	以下是約書亞和以色列人在約旦河西擊殺的諸王，他們的地從黎巴嫩平原的巴力迦得，直到上西珥的哈拉山；約書亞把地分配給以色列的各支派作為產業，
8	就是赫特人、亞摩利人、迦南人、比利洗人、希未人、耶布斯人的山地、山麓地帶、亞拉巴、山坡、荒野和南地。
9	這些王，一個是耶利哥王，一個是伯特利旁邊艾城的王，
10	一個是耶路撒冷王，一個是希伯崙王，
11	一個是耶末王，一個是拉吉王，
12	一個是伊磯倫王，一個是基色王，
13	一個是底璧王，一個是牆城的王，
14	一個是滅絕城的王，一個是亞拉得王，
15	一個是立拿王，一個是亞杜蘭王，
16	一個是瑪基達王，一個是伯特利王，
17	一個是蘋果鎮王，一個是希弗王，
18	一個是亞弗王，一個是拉沙崙王，
19	一個是瑪頓王，一個是夏瑣王，
20	一個是伸崙米崙王，一個是押煞王，
21	一個是塔納王，一個是米吉多王，
22	一個是基低斯王，一個是靠近迦密的約念王，
23	一個是多珥高地的多珥王，一個是吉甲的戈印王，
24	一個是得撒王，共計三十一個王。
第十三章
 	剩下許多未得之地
1	約書亞年紀老邁，耶和華對他說：“你已經年紀老邁，還剩下許多未得之地。
2	所剩下的地，就是非利士人的全境和基述人的全地，
3	是從埃及東北的西賀河，向北直到以革倫的邊界（這都算是迦南人的地方），由非利士人五個首領管轄的迦薩人、亞實突人、亞實基倫人、迦特人、以革倫人之地；南部的亞衛人，
4	以及迦南人的全地和屬西頓人的米亞拉，直到亞弗和亞摩利人的邊界。
5	還有迦巴勒人之地和向日出方向的黎巴嫩全地，從黑門山腳的巴力迦得，直到哈馬的利布城；
6	從黎巴嫩直到窯浦，所有住山地的居民，就是所有西頓人，我要從以色列人面前把他們剷除。你只要照著我吩咐你的話，把這地抽籤分給以色列人作為產業。
7	所以你要把這地分配給九個支派和瑪拿西半個支派作為產業。”
 	河東支派所得產業
8	呂便人與迦得人和瑪拿西另外半個支派，照著耶和華的僕人摩西分給他們的，已經得了摩西在約旦河東分給他們的產業，
9	就是從亞嫩溪谷旁邊的亞羅珥和谷中的城，以及米底巴的整個臺地，直到迪本，
10	包括在希實本為王之亞摩利王西宏所有的城鎮，直到亞捫人的邊界。
11	又有基列地、基述人和瑪迦人的邊界，以及整個黑門山、巴珊全地，直到撒迦。
12	另有巴珊王俄革的整個王國，他在亞絲塔露和伊得雷為王；他是利乏音人的遺民。摩西擊殺他們，剷除他們。
13	以色列人卻沒有剷除基述人和瑪迦人；因此，直到今天，基述人和瑪迦人住在以色列人中間。
14	只是利未支派，摩西沒有給他們產業；因為按照耶和華給他們的應許，獻給耶和華以色列神的禮物，就是他們的產業。
 	呂便支派所得產業
15	摩西把產業分給呂便支派的各家族。
16	他們的領土是從亞嫩溪谷旁邊的亞羅珥和溪谷中間的城、到米底巴的整個臺地，
17	包括希實本及其在臺地上所有附屬城鎮、迪本、巴末巴力、伯巴力馬安、
18	雅哈撒、基底莫、美法阿、
19	基利坦、西比瑪、谷中山地上的細列沙轄、
20	伯琵珥、琵斯迦山坡、荒地莊、
21	臺地上所有的城鎮和亞摩利王西宏的整個王國。這西宏在希實本為王，摩西擊殺他和米甸的族長以未、利金、蘇珥、戶珥、利巴。這些都是西宏的諸侯，住在那地。
22	比珥的兒子占卜師巴蘭，以色列人用刀殺了，連同其他被擊殺的人。
23	呂便人的邊界是約旦河和附近地區。這就是呂便人各家族所得產業的城鎮及附屬村莊。
 	迦得支派所得產業
24	摩西把產業分給迦得支派，包括迦得子孫的各家族。
25	他們的領土包括雅謝和基列的所有城鎮，以及亞捫人的一半土地，直到拉巴附近的亞羅珥；
26	從希實本直到拉抹米斯巴和比多寧，又從瑪哈念直到底璧的邊界；
27	還有在谷中的伯哈蘭、伯寧拉、棚村、撒分，就是希實本王西宏王國其餘的土地，以約旦河為邊界，直到基尼烈海的岸邊，都在約旦河東。
28	這就是迦得子孫的各家族所得產業的城鎮及附屬村莊。
 	瑪拿西半個支派所得產業
29	摩西把產業分給瑪拿西半個支派，產業就歸給瑪拿西半個支派的子孫各家族。
30	他們的領土從瑪哈念起，包括巴珊全地，就是巴珊王俄革整個王國，以及在巴珊地睚珥的所有村落，共六十座城邑。
31	還有基列地的一半和亞絲塔露、伊得雷，就是在巴珊地俄革王國的兩座城，都分給瑪拿西之子瑪吉的子孫，就是分給瑪吉一半子孫的各家族。
32	以上這些地方是摩西在約旦河東，耶利哥對面的摩押平原所分配的產業。
33	只是利未支派，摩西沒有給他們產業，因為按照耶和華給他們的應許，耶和華以色列的神就是他們的產業。
第十四章
 	分產業給河西支派
1	以下是以色列人在迦南地所得的產業，由以利亞撒祭司和努恩的兒子約書亞，以及以色列各支派的族長分配給他們。
2	九個半支派按照所抽的籤得到產業，正如耶和華藉著摩西吩咐的那樣。
3	之前摩西在約旦河對岸已經把產業分給那兩個半支派，卻沒有把產業分給他們中間的利未人。
4	由於約瑟的後裔是兩個支派，就是瑪拿西和以法蓮，所以以色列人沒有把產業分給那地的利未人，只給他們一些城邑居住，加上城邑的郊野牧放他們的牛羊，安置他們的財物。
5	耶和華怎樣吩咐摩西，以色列人就怎樣做，分配了土地。
 	迦勒求產業
6	猶大的子孫來到吉甲見約書亞，基尼洗人耶孚尼的兒子迦勒對約書亞說：“耶和華在加低斯巴尼亞對神人摩西所說關於你和我的話，你自己是知道的。
7	耶和華的僕人摩西從加低斯巴尼亞派我去偵察這地的時候，我是四十歲；我誠實地向他匯報。
8	雖然與我一同上去的眾弟兄使人民心裡驚懼，我卻完全順從耶和華我的神。
9	那時摩西起誓說：‘你腳踏過的地都必定歸你和你的子孫作為產業，直到永遠，因為你完全順從耶和華我的神。’
10	所以你看，自從耶和華對摩西說了這話以後，耶和華照著他的應許，使我存活了這四十五年，就是以色列人在荒野行走的年日。現在你看，如今我八十五歲了，
11	身體如今還是強健，像摩西差遣我去的那天一樣；無論是作戰還是做別的事，那時我的體力如何，現在我的體力還是如何。
12	所以求你把耶和華那天所應許的這山地給我。因為那天你也聽見那裡有亞衲人，又有寬大堅固的城。但假如耶和華與我同在，我就會剷除他們，正如耶和華應許的那樣。”
13	於是約書亞祝福迦勒，把希伯崙給了耶孚尼的兒子迦勒作為產業。
14	故此，直到今天，希伯崙成為基尼洗人耶孚尼的兒子迦勒的產業，因為他完全順從耶和華以色列的神。
15	希伯崙從前叫作亞巴鎮；亞巴是亞衲人中最強大的一族。於是國中太平，沒有戰爭了。
第十五章
 	猶大支派所得產業的邊界
1	抽籤分給猶大子孫支派各家族的產業在國境之南，與伊東接壤，最南邊是茲恩的荒野。
2	他們的南界從鹽海的南端，就是從南邊的海灣起，
3	延伸到蠍子上坡路的南邊，經過茲恩，上到加低斯巴尼亞的南邊，又經過希斯崙，上到亞達珥，繞到甲加，
4	經過押們，延伸到埃及溪谷，直到海邊。這就是他們的南界。
5	東界從鹽海直到約旦河口。北界從約旦河口的海灣起，
6	上到伯賀拉，經過伯亞拉巴的北邊，再上到波罕石（波罕是呂便的兒子）；
7	又從惹禍谷上到底璧，北轉到溪谷南邊亞都明上坡路對面的吉甲；又經過太陽泉鎮的水流，直通到漂布泉鎮；
8	再上到欣嫩子谷，到達耶布斯南面的山坡——耶布斯就是耶路撒冷。又上到欣嫩子谷西邊的山頂，就是在利乏音谷最北邊；
9	並從山頂轉到尼弗多亞水泉，延伸到以弗崙山諸城；又轉到巴拉——巴拉就是耶琳鎮。
10	又從巴拉向西繞到西珥山地，經過耶琳山斜坡的北邊——耶琳就是基撒崙；又下到太陽鎮，經過亭拿；
11	延伸到以革倫北面的山坡，轉到施基崙，經過巴拉山，延伸到雅比聶，直到海邊。
12	西界就是大海的海岸。這是猶大子孫的各家族四圍的邊界。
 	迦勒女兒雅莎求產業
（士1:11~15）
13	約書亞照著耶和華的吩咐，把猶大子孫的一份土地，就是亞巴鎮，分給耶孚尼的兒子迦勒；亞巴是亞衲的祖先，亞巴鎮就是希伯崙。
14	迦勒把亞衲子孫的三個族，就是示篩、亞希幔、塔邁，從那裡剷除；他們是亞衲的後裔。
15	他又從那裡上去攻擊底璧的居民；底璧從前名叫西弗鎮。
16	迦勒說：“誰能攻取西弗鎮，我就把女兒雅莎嫁給他。”
17	迦勒的弟弟基納斯的兒子俄陀聶奪取了那城，迦勒就把女兒雅莎嫁給他。
18	雅莎出嫁的時候，慫恿丈夫向她父親求一塊田；雅莎一下驢，迦勒就對她說：“你要甚麼？”
19	她說：“求你給我一份禮物。你既然把南地給了我，求你也把水池給我。”迦勒就把上池和下池都給了她。
 	猶大支派所得產業
20	以下是猶大子孫的支派各家族所得的產業。
21	猶大支派最南邊與伊東接壤的諸城是：甲薛、以得、雅古珥、
22	基拿、底摩拿、亞大達、
23	基低斯、夏瑣、以提楠、
24	西弗、提聯、比亞錄、
25	夏瑣哈達他、卡略希斯崙（卡略希斯崙就是夏瑣）、
26	亞曼、示瑪、摩拉達、
27	迦達村、黑實蒙、伯帕列、
28	書阿勒村、別示巴、比斯約提亞、
29	巴拉、伊因、伊森、
30	伊勒陀臘、基實、滅絕城、
31	洗革拉、麥瑪拿、桑撒拿、
32	母獅鎮、沙魯賢、泉鎮、石榴鎮，共二十九座城，以及附屬村莊。
33	在山麓地帶有以實陶、瑣拉、亞實拿、
34	撒挪亞、園泉鎮、蘋果鎮、伊楠、
35	耶末、亞杜蘭、梭可、亞西加、
36	沙拉音、亞底塔音、牆鎮、雙牆鎮，共十四座城，以及附屬村莊。
37	又有洗楠、哈達沙、福樓鎮、
38	底連、米斯巴、約帖、
39	拉吉、波斯加、伊磯倫、
40	迦本、拉幔、基提利、
41	牆垣鎮、伯大袞、拿瑪、瑪基達，共十六座城，以及附屬村莊。
42	又有立拿、以帖、亞珊、
43	益弗他、亞實拿、尼悉、
44	基伊拉、亞革悉、瑪利沙，共九座城，以及附屬村莊。
45	又有以革倫及附屬的城鎮和村莊。
46	從以革倫向西，所有靠近亞實突的村莊。
47	亞實突及附屬的城鎮和村莊；迦薩及附屬的城鎮和村莊；直到埃及溪谷和大海沿岸地區。
48	在山地有沙密、雅提珥、梭可、
49	達拿、薩拿鎮（薩拿鎮就是底璧）、
50	葡萄鎮、以實提莫、亞念、
51	歌珊、何崙、基羅，共十一座城，以及附屬村莊。
52	又有亞拉、度瑪、以珊、
53	雅農、蘋果鄉、亞非加、
54	宏他、亞巴鎮（亞巴鎮就是希伯崙）、洗珥，共九座城，以及附屬村莊。
55	又有瑪雲、果園鎮、西弗、宇特、
56	耶斯列、約甸、撒挪亞、
57	該隱、基比亞、亭拿，共十座城，以及附屬村莊。
58	又有哈忽、伯楚、牆市、
59	瑪臘、伯亞諾、伊勒提君，共六座城，以及附屬村莊。
60	又有巴力鎮（巴力鎮就是耶琳鎮）、拉巴，共兩座城，以及附屬村莊。
61	在荒野有伯亞拉巴、密丁、西迦迦、
62	匿珊、鹽城、羊泉地，共六座城，以及附屬村莊。
63	至於住在耶路撒冷的耶布斯人，猶大的子孫未能剷除他們。所以耶布斯人與猶大的子孫同住在耶路撒冷，直到今天。
第十六章
 	約瑟子孫所得產業的邊界
1	抽籤分給約瑟子孫的產業，是從靠近耶利哥的約旦河起，以耶利哥東邊的水為界線，經過荒野，從耶利哥上去，進入伯特利山區；
2	再從伯特利到路斯，延伸到亞基人的領土的亞塔羅；
3	再往西下到押利提人的領土，再到下伯賀崙的邊界和基色，直到海邊。
4	這樣，約瑟的兒子瑪拿西和以法蓮得到他們的產業。
 	以法蓮支派所得產業的邊界
5	以下是以法蓮的子孫各家族所得的領土：他們產業的東界是從亞塔羅亞達爾到上伯賀崙，
6	直到海邊。北邊是密米特，往東繞到示羅無花果鎮，經過雅挪哈的東邊；
7	從雅挪哈下到亞塔羅和拿拉，與耶利哥接壤，延伸到約旦河。
8	這產業從蘋果鎮往西延伸到蘆葦溪，直到海邊。這就是以法蓮子孫的支派各家族所得的產業。
9	此外，在瑪拿西子孫的產業中，以法蓮人還有一些城鎮，所有這些城鎮以及附屬村莊都包括在內。
10	可是，他們沒有剷除住在基色的迦南人。直到今天，迦南人還是住在以法蓮中間，成為服勞役的奴隸。
第十七章
 	西羅非哈女兒求產業
1	瑪拿西是約瑟的長子，抽籤分給他的支派的產業如下：瑪吉是瑪拿西的長子，是基列的父親，他得到基列和巴珊，因為他是戰士。
2	瑪拿西其餘子孫的各家族，包括亞比以謝的子孫、希勒的子孫、亞斯列的子孫、示劍的子孫、希弗的子孫、示米大的子孫，也分得產業；這些都是約瑟的兒子瑪拿西子孫中的男丁，包括各家族。
3	西羅非哈是希弗的兒子，基列的孫子，瑪吉的曾孫，瑪拿西的玄孫。他沒有兒子，只有幾個女兒；以下是西羅非哈女兒們的名字：瑪荷拉、娜婀、荷拉、蜜迦和媂莎。
4	她們來到以利亞撒祭司和努恩的兒子約書亞以及眾首領面前說：“耶和華曾經吩咐摩西，在我們的族人中把產業分給我們。”於是約書亞照著耶和華的命令，在她們父親的族人中把產業分給她們。
5	這樣，除了約旦河東的基列和巴珊以外，還有十份產業歸給瑪拿西，
6	因為瑪拿西的幾個女子也在瑪拿西的子孫中得了產業；基列地則屬於瑪拿西其餘的子孫。
 	瑪拿西支派所得產業的邊界
7	瑪拿西的邊界，是從亞設起，到示劍附近的密米特；又向南延伸到蘋果泉鎮的居民那裡。
8	（蘋果鎮地區屬於瑪拿西，然而瑪拿西邊界的蘋果鎮卻屬於以法蓮的子孫。）
9	瑪拿西的邊界又下到蘆葦溪，溪的南邊有些城鎮屬於以法蓮，坐落在瑪拿西的城鎮當中。瑪拿西的邊界從溪的北邊起，直到海邊。
10	南邊屬於以法蓮；北邊屬於瑪拿西，以地中海為界，北接亞設，東連以薩迦。
11	在以薩迦和亞設境內，屬於瑪拿西的有伯善及其附屬村鎮，以伯蓮及其附屬村鎮，多珥及其附屬村鎮的居民。還有三處高地，就是：多珥泉鎮及其附屬村鎮的居民，塔衲及其附屬村鎮的居民，米吉多及其附屬村鎮的居民。
12	可是瑪拿西的子孫未能剷除這些城的居民；迦南人還是堅決住在那地。
13	後來以色列人強盛了，就迫使迦南人服勞役，沒有把他們通通剷除。
 	約瑟子孫求產業
14	約瑟的子孫對約書亞說：“耶和華賜福給我，讓我族大人多；為甚麼你給我的產業，只有一籤的份呢？”
15	約書亞對他們說：“如果你族大人多，又嫌以法蓮山地過於窄小，那麼你自己可以上到森林區，在比利洗人和利乏音人之地伐木開墾。”
16	約瑟的子孫回答：“那山地容不下我們，而且住在平原的所有迦南人，就是住在伯善和附屬村鎮的人，以及住在耶斯列平原的人，都有鐵戰車。”
17	約書亞對約瑟家，就是對以法蓮人和瑪拿西人，說：“你族大人多，勢力強大，不該只有一籤。
18	山地也要歸給你，那裡是森林，你可以伐木開墾，整個地區都歸給你。迦南人雖然有鐵戰車，又很強大，你也能剷除他們。”
第十八章
 	抽籤分產業給其餘七個支派
1	以色列整個群體聚集在示羅，在那裡設立會幕（那地已經被他們征服了）。
2	以色列其餘七個支派還沒有得到產業。
3	約書亞對以色列人說：“耶和華你們列祖的神所賜給你們的地，你們遲遲不去佔領，要到幾時呢？
4	你們每支派要選出三個人，我要派他們去；他們要動身走遍那地，把各支派應得的產業描繪下來，然後回來見我。
5	他們要把產業分作七份，猶大留在南方自己的領土內，約瑟家留在北方自己的領土內。
6	而你們要把地分作七份描繪，然後把所描繪的帶到我這裡來。我要在這裡，在耶和華我們的神面前，為你們抽籤。
7	利未人在你們中間沒有分得產業，因為作耶和華的祭司這職任就是他們的產業。迦得、呂便和瑪拿西半個支派，已經在約旦河東得了產業，就是耶和華的僕人摩西分給他們的。”
8	那些人就動身走了，當時約書亞吩咐前去描繪那地的人說：“你們要去走遍那地，描繪那地，然後回來見我。我要在示羅這裡，在耶和華面前為你們抽籤。”
9	那些人就去走遍那地，把那地各城分作七份，描繪在卷子上，然後回到示羅營中見約書亞。
10	約書亞就在示羅，在耶和華面前為他們抽籤。約書亞在那裡照應得的分配把土地分給以色列人。
 	便雅憫支派所得產業的邊界
11	首先抽上來的是便雅憫支派各家族的籤。他們的籤分得的領土，是在猶大子孫和約瑟子孫的領土之間。
12	他們的邊界，北邊從約旦河起，向上到耶利哥山坡的北邊，又向西上到山地，直到伯亞文的荒野；
13	從那裡向南經過路斯，到路斯的山坡（路斯就是伯特利），再下到亞塔羅亞達爾，靠近下伯賀崙南邊的山地；
14	又從那裡延伸，繞到西邊再向南，從伯賀崙南邊對面的山起，直到猶大子孫的城巴力鎮（巴力鎮就是耶琳鎮）；這是西界。
15	南界從耶琳鎮的邊緣起，向西延伸到尼弗多亞水泉；
16	又下到欣嫩子谷對面的山腳，是在利乏音谷的北邊；再下到欣嫩谷，去到耶布斯人南邊的山坡，又下去漂布泉鎮；
17	再轉向北，延伸到太陽泉鎮，去到亞都明上坡路對面的吉里錄，又下到波罕石（波罕是呂便的兒子）；
18	再經過亞拉巴對面山坡的北邊，直下到亞拉巴；
19	再經過伯賀拉的北邊的山坡，直通到鹽海的北灣，約旦河的南端；這是南界。
20	東界是約旦河。這就是便雅憫各家族所得產業四圍的邊界。
 	便雅憫支派所得產業
21	以下是便雅憫支派各家族所得的城：耶利哥、伯賀拉、基悉谷、
22	伯亞拉巴、洗瑪蓮、伯特利、
23	亞衛、帕拉、俄弗拉、
24	阿摩那村、俄弗尼、迦巴，共十二座城，以及附屬村莊；
25	又有基遍、拉瑪、井鎮、
26	米斯巴、基非拉、摩撒、
27	利堅、伊爾琵勒、塔亞拉、
28	洗拉、公牛鎮、耶布斯（耶布斯就是耶路撒冷）、基比亞、基雅，共十四座城，以及附屬村莊。這就是便雅憫子孫的各家族所得的產業。
第十九章
 	西緬支派所得產業
1	第二籤抽出來是給西緬，包括西緬子孫的支派各家族；他們的產業在猶大子孫的產業之中。
2	以下是他們所得的產業：別示巴（又叫示巴）、摩拉達、
3	書阿勒村、巴拉、伊森、
4	伊勒陀臘、比土力、滅絕城、
5	洗革拉、戰車鄉、馬村、
6	母獅鎮、沙魯賢，共十三座城，以及附屬村莊；
7	又有泉鎮、石榴鎮、以帖、亞珊，共四座城，以及附屬村莊；
8	以及這些城鎮周圍的所有村莊，直到巴拉比珥，就是南地的拉瑪。這就是西緬子孫的支派各家族所得的產業。
9	西緬人的產業是從猶大人那份產業中得來的；因為猶大的子孫分得的產業過多，所以西緬的子孫在猶大子孫的境內得到產業。
 	西布倫支派所得產業
10	第三籤抽上來是給西布倫子孫的各家族。他們產業的邊界延伸到撒立；
11	再向西上到瑪亞拉，與達巴舍特和約念旁的溪谷接壤；
12	又從撒立轉往東邊日出的方向，去到塔泊山腰地區，又延伸到達比拉，上到押非亞；
13	又從那裡往東邊日出的方向，經過水洞醡，以特加迅、石榴鎮，延伸到尼亞；
14	又繞過尼亞的北面，到哈拿頓，直到耶弗他伊勒谷為止；
15	包括卡塔特、拿哈拉、伸崙、伊達拉、糧鄉，共十二座城，以及附屬村莊。
16	這些城鎮及附屬村莊，就是西布倫子孫的各家族所得的產業。
 	以薩迦支派所得產業
17	第四籤抽出來是給以薩迦，包括以薩迦子孫的各家族。
18	他們的領土包括耶斯列、基蘇律、書念、
19	哈弗連、示按、亞拿哈拉、
20	拉璧、基善、亞別、
21	高地鎮、園泉鎮、樂泉鎮、伯帕薛；
22	邊境及至塔泊、沙哈洗瑪、太陽鎮，直到約旦河為止，共十六座城，以及附屬村莊。
23	這些城鎮及附屬村莊，就是以薩迦子孫的支派各家族所得的產業。
 	亞設支派所得產業
24	第五籤抽出來是給亞設子孫的支派各家族。
25	他們的領土包括黑甲、哈利、比坦、押煞、
26	亞拉米勒、亞瑪特、米沙勒，向西直達迦密和西賀立納；
27	又轉往日出的方向，到伯大袞，延伸到細步綸，向北去到耶弗他伊勒谷、伯以墨和尼業，又延伸到迦布勒的北邊，
28	到義伯崙、利合、沸泉鎮、蘆葦鎮，直到西頓大城；
29	又轉到拉瑪，直到堅城推羅；再轉到何薩，直到亞革悉一帶的海邊；
30	又有烏瑪、亞弗革、利合，共二十二座城，以及附屬村莊。
31	這些城鎮及附屬村莊，就是亞設子孫的支派各家族所得的產業。
 	拿弗他利支派所得產業
32	第六籤抽出來是給拿弗他利人，包括拿弗他利子孫的各家族。
33	他們的邊界，從希利弗、撒拿音的橡樹，以及亞達米尼吉和雅比聶起，去到拉貢，直到約旦河為止；
34	又向西轉到亞斯納塔泊，從那裡延伸到戶克，南到西布倫，西到亞設，東到約旦河的耶戶達。
35	設防的城有西丁、策珥、溫泉鎮、拉甲、基尼烈、
36	亞達瑪、拉瑪、夏瑣、
37	基低斯、伊得雷、夏瑣泉鎮、
38	以利穩、神樓鎮、賀璉、伯亞納、太陽鎮，共十九座城，以及附屬村莊。
39	這些城鎮及附屬村莊，就是拿弗他利子孫的支派各家族所得的產業。
 	但支派所得產業
40	第七籤抽出來是給但子孫的支派各家族。
41	他們分得的領土包括瑣拉、以實陶、太陽城、
42	沙拉賓、亞雅崙、伊提拉、
43	以倫、亭拿、以革倫、
44	伊利提基、基比頓、巴拉特、
