但以理書
第一章
 	巴比倫王攻陷耶路撒冷
8	這公山羊非常狂妄自大，正當牠強盛的時候，大角卻折斷了，但在原處又有四隻引人注目的角向著天的四方長出來。
 	狂妄小角的罪行
9	從這四隻角中的一角，又長出一隻小角，不斷向南、向東、向榮美之地擴張勢力，變得非常強大。
10	牠的勢力高達天軍，把一些天軍和群星摔落到地上，並踐踏它們。
11	牠狂妄自大，以為高達天軍首領；牠廢除獻給天軍首領的常獻祭，又拆毀他的聖所。
12	在犯罪的時候，天軍和常獻的祭都交付牠；牠把真理丟在地上，任意而行，無往不利。
13	接著，我聽見一位聖者在說話，另一位聖者問他：“常獻的祭被廢除，犯罪引致荒涼，聖所和天軍被踐踏——這異象要延續到幾時呢？”
14	他對我說：“要經過二千三百個晚上和早晨，聖所才得潔淨。”
 	加百列奉派解釋異象
15	我但以理觀看這異象時，想明白它的意思；忽然有一位外貌像人的站在我面前。
16	我又聽見烏萊河兩岸中間有人聲呼叫說：“加百列啊，你要使這人明白這異象！”
17	加百列就來到我所站的地方；他到達的時候，我害怕得臉伏於地；他卻對我說：“人子啊，你要明白，這異象關於末後的時期。”
18	他與我說話的時候，我臉伏於地沉睡了；但他碰我一下，使我站起來。
19	他說：“留心，我要告訴你在震怒的後期會發生的事，因為這是關於那指定的末後時期。
 	加百列解釋雙羊異象
20	“你所看見那有雙角的公綿羊，就是瑪代王和波斯王。
21	那公山羊就是希臘王，那兩眼之間的大角就是第一個王。
22	至於那角折斷後，在原處又長出來的四隻角，就是從這國興起的四個王國，不過都沒有他的力量。
 	加百列解釋小角異象
23	“在這四個王權的末期，當犯罪的人惡貫滿盈的時候，一位面貌凶惡、詭詐多端的王將興起。
24	他的力量強大，卻不是出於自己的力量；他要造成驚人的毀滅；他任意而行，無往不利；他要毀滅強大的人和聖民。
25	他行事狡猾，靠詭計發跡，心裡狂妄自大，乘人不備時毀滅許多人；他甚至敵擋萬君之君，最後被毀滅，卻不是因人的手。
26	以上所說關於晚上和早晨的異象是真的，但你要封住這異象，因為那是關於將來的許多年日。”
27	我但以理精疲力竭，病了幾天，才起來辦理王的事務，但我仍因這異象驚駭不已，不明白它的意思。
第九章
 	耶路撒冷荒廢必達七十年
1	亞哈隨魯的兒子大流士是瑪代人的後裔，在他被立為王統治迦勒底王國的第一年，
2	就是他執政的第一年，我但以理從經書上留意到，按照耶和華臨到耶利米先知的話，耶路撒冷荒廢期滿的年數是七十年。
 	但以理承認神子民的罪
3	於是我禁食，身披粗毛布，頭蒙塵土，祈禱和懇求，面向主神來尋求他。
4	我向耶和華我的神禱告、認罪，說：“主，偉大可畏的神啊，那些愛你、遵守你誡命的人，你對他們守約，以忠誠之愛對待他們。
5	我們犯罪犯錯，作惡背叛，偏離了你的誡命律例，
6	你的僕人眾先知奉你的名向我們的君王、領袖、列祖，和國中所有的人民說話，我們卻沒有聽從。
 	人的罪惡對比神的公義
7	“主啊，你是公義的，我們卻滿面羞恥！這就是我們今日的景況：我們猶大人和耶路撒冷的居民，以及被你趕逐到遠近各地的所有以色列人，都因為對你不忠而滿面羞恥！
8	耶和華啊，我們和我們的君王、領袖、列祖，都因為犯罪干犯了你而滿面羞恥！
9	憐憫和寬恕都屬於主我們的神，因為我們背叛了他，
10	沒有聽從耶和華我們神的話，沒有遵行他藉著他僕人眾先知頒布給我們的律法。
11	以色列人全都違背了你的律法，偏離了你，不聽從你的話；因此，神的僕人摩西的律法書上所記載的詛咒和誓言，都傾倒在我們身上，因為我們犯罪干犯了神。
 	公義的神使刑罰臨到罪人
12	“神實現了他衝著我們和治理我們的官長所說過的話，使大災禍臨到我們身上；耶路撒冷所遭遇的災禍是普天之下從未發生過的。
13	這一切災禍臨到我們身上，都是照摩西律法書上所寫的那樣，但我們仍沒有懇求耶和華我們的神施恩，使我們離開罪行，留心你的真理。
14	耶和華著意使這災禍降臨到我們身上，因為耶和華我們的神在他所行的一切事上都是公義的，我們卻沒有聽從他的話。
 	但以理求神拯救耶路撒冷
15	“主我們的神啊，你曾用強勁的手把你的子民從埃及地領出來，使你自己得了名聲，到今天還是這樣；我們卻犯罪作惡！
16	主啊，求你按著你的一切公義，使你的熊熊怒火轉離你的城耶路撒冷，你的聖山；因我們的罪惡和我們列祖的罪行，耶路撒冷和你的子民已經成了我們四圍所有的人羞辱的對象。
17	所以，我們的神啊，求你垂聽你僕人的禱告和懇求；主啊，為你自己的緣故，求你使你的面光照這荒涼的聖所。
18	我的神啊，求你張開耳朵而聽，睜開眼睛看顧我們的荒涼，以及那稱為你名下的城；我們向你懇求，並不是靠著自己的義，而是因你極大的憐憫。
19	主啊，求你垂聽！主啊，求你赦免！求你關注，採取行動！我的神啊，為你自己的緣故，求你不要耽延，因為你的城和你的民都是稱為你名下的。”
 	加百列闡釋聖城的未來
20	我還在說話、禱告，承認我的罪和我同胞以色列人的罪，為我神的聖山向耶和華我的神懇求——
21	我還在禱告，就在我非常疲累的時候，我先前在異象中所見的那個人加百列來觸摸我；那時是獻晚祭的時候。
22	他向我解釋說：“但以理啊，現在我來是要使你有智慧和聰明。
23	因為你如珍似寶，所以你開始懇求的時候，神就有話發出，讓我來告訴你。你要明白這話，領悟這異象：
24	“為了你的同胞和你的聖城，七十個七已被註定，為要結束過犯，終止罪惡，赦免罪過，引進永恆的公義，封住異象和預言，並膏抹至聖所。
25	你要知道，你要明白：從有話發出恢復和重建耶路撒冷，到受膏君主之間，將有七個七，又有六十二個七；耶路撒冷連廣場帶濠溝，必都重新建造起來。那將是一段困苦的時期。
26	六十二個七以後，受膏者會被剪除，一無所有；這位將會出現的君主的人民，會毀滅這城和聖所。結局將像洪水而來；荒涼的事已經註定，直到戰爭末了。
27	一七之內，他會和許多人堅立盟約；一七之半，他會終止獻祭和供物；那造成荒涼的可憎之物立在聖殿那裡，直到指定的結局傾倒在那造成荒涼者的身上。”
第十章
 	但以理又見異象
1	波斯王居魯士在位第三年，有話啟示給那又稱為伯提沙撒的但以理。這話是真的，與一場大爭戰有關；但以理明白這話，藉著這異象得到領悟。
2	那時，我但以理悲傷了三個星期。
3	珍饈美味我沒有吃，肉和酒都沒有入我的口，我也沒有用膏油抹身，足足三個星期。
 	使者的顯現
4	一月二十四日，我在底格里斯大河邊的時候，
5	我舉目觀看，看見有一個人身穿細麻衣，腰束烏法精金帶。
6	他的身體像金黃石，面貌像閃電，眼睛像火把，手臂和腿像擦亮的銅一般閃耀，聲音宏亮得像群眾的呼喊。
7	唯獨我但以理看見這異象，跟我在一起的人都沒有看見，但他們大大驚慌，逃跑躲藏起來；
8	因此，唯獨我一人留下來看見這大異象。我就再沒有一絲氣力——我活力盡失，一絲氣力也留不住。
9	我聽見他說話的聲音；我一聽見他說話的聲音，就臉伏於地，昏沉入睡。
 	使者傳達信息
10	忽然有一隻手碰我，把我抖醒，我就用膝蓋和手掌撐起身體。
11	他對我說：“如珍似寶的但以理啊，要明白我在對你說的話。站起來吧，因為我現在奉差遣到你這裡來。”當他對我說這話的時候，我就顫抖著站起來。
12	他又對我說：“但以理啊，不要害怕，自從你第一天決心要明白這異象，又在你的神面前謙卑自己，你禱告的話已蒙垂聽，我就是因你的話而來的，
13	但波斯王國的天使攔阻我二十一天。米迦勒，天使長中的一位，就來幫助我，因為我被留在波斯眾王那裡。
14	現在我來，要使你明白日後將要發生在你同胞身上的事，因為這異象是關於將來許多的年日。”
 	使者扶持但以理
15	他和我說這些話的時候，我就臉伏於地，默默無聲。
16	忽然有一位樣子像人的使者出現，摸我的嘴唇，我就開口向那站在我面前的說：“我主啊，因這異象，我非常痛苦，一絲氣力也留不住。
17	我主的僕人怎能和我主說話呢？我現在沒有一絲氣力，氣息也沒有了！”
18	那位樣子像人的使者再碰我，使我有力量。
19	他說：“如珍似寶的人啊，你不要害怕！願你平安，你要堅強，要堅強！”他和我說話的時候，我就有了力量；於是我說：“我主請說，因你使我有了力量。”
 	使者的屬靈爭戰
20	他說：“你知道我為甚麼到這裡來嗎？現在我還要回去和波斯的天使作戰；我一離去，希臘的天使就會來。
21	不過我要先把那記錄在真理書上的事告訴你。除了你們的天使米迦勒之外，沒有誰幫助我抵擋他們。
第十一章
1	“而我曾在瑪代人大流士王元年幫助米迦勒，使他堅強。
 	關於波斯的預言
2	“現在我要把真相告訴你：波斯還有三個王要興起；之後第四個王將擁有極大的財富，遠超其他所有的王；他會用藉著財富得來的強權，煽動眾民攻擊希臘王國。
 	關於希臘的預言
3	“後來會有一個英勇的王興起，他將執掌大權，任意而行。
4	但正當他興起的時候，他的王國隨即瓦解，向天的四方裂開，卻不歸給他的後代，也不如他統治的權柄。因為他的王國將被拔出來，歸給他後代以外的人。
 	關於南方王和北方王的預言
5	“南方王將會強盛，但他將會有一個將領比他更強盛，統治更大的王國。
6	“過了若干年，他們會結盟；南方王的女兒會到北方王那裡去訂立協議。可是這女子不能維持她的權勢，南方王也保不住自己的勢力。這女子連同那些護送她來的人、她的生父和當時幫助她的人，都會被交出去處死。
7	“這女子本家將有一個兒子繼承父位；他會來攻擊北方王的軍隊，進入北方王的堡壘，攻打他們，而且得勝。
8	還把他們的神像、包金銀的偶像，連同金銀寶器，一起擄掠到埃及去。此後數年，他不再去攻擊北方王。
9	後來北方王將入侵南方王的國土，然後回歸本地。
10	“北方王的兒子們將集結龐大的軍隊發動戰爭。這軍兵洶湧前進，如洪水氾濫，所向披靡；又會再去爭戰，直到南方王的堡壘。
11	南方王將會大怒，出來和北方王交戰；北方王會集合大軍，但這大軍將被交在南方王的手裡。
12	這大軍被掃除以後，南方王就心高氣傲；他雖然使成千上萬人倒斃，他的勝利卻不能持久。
13	“北方王會再集合大軍，比先前的更多；過了若干年，他就會率領裝備好了的大軍而來。
14	那時將有許多人起來攻擊南方王，你同胞中的殘暴之徒也隨著起來，高抬自己——這是為使這異象應驗，但他們會失敗。
15	北方王將前來，堆土築壘攻取堅城。南方的軍力會抵擋不住，甚至精銳的部隊也無力抵擋。
16	那來攻擊南方王的人將任意而行，沒有人能抵擋他；他會站在那榮美之地，手握毀壞之權。
17	他會決意傾全國之力而來；他會和南方王訂立協議，把自己的女兒嫁給南方王，為要毀滅南方王國；可是這事不會成功，不會如他所願。
18	後來他會轉回奪取許多沿海地區。但將有一個將領要制止他的蠻橫，並且讓他為自己的蠻橫自食惡果；
19	於是他轉回自己國中的堡壘，終於傾覆仆倒，不復存在。
 	關於馬加比起義的預言
20	“那時會有一個人興起接替他為王；為了王國的榮華，這王派出一個官員橫徵暴斂。可是不多幾日，這人就會被毀滅，不是因為憤怒，也不是因為戰爭。
21	“跟著會有一個卑鄙的人興起接替他的位子；王國的尊榮雖然未曾給予此人，他卻趁人不備，用狡猾的手段奪取王國。
22	洪水般的大軍會被他沖沒、擊潰；盟約的領袖也將這樣。
23	結盟以後，他就會行詭詐，從小國變為強盛。
24	他會趁人不備入侵省中最富庶的地區，做他父輩和祖先未曾做過的事，把擄掠之物和財寶分給部下；又定下計策攻打堡壘，但這都是暫時的。
25	“他將鼓起力量勇氣，率領大軍攻擊南方王；南方王也會率領極強大的軍隊應戰，卻抵擋不住，因為有計策定下對付他。
26	那些吃王美食的人會毀滅他；他的軍隊會被沖沒，許多人將倒斃。
27	至於這兩個王，他們都存心不良，同席的時候彼此說謊；他們不能達成心願，因為到了指定的時候，結局才會來到。
28	北方王將帶著大批財物返回自己的國土；他的心既然反對聖約，就付諸行動，然後返回自己的國土去。
29	“到了指定的時候，他將再度入侵南方，不過這次的情況卻不像前一次；
30	因為基提的戰船會來攻打他，他就喪膽撤退，衝著聖約發怒，並且付諸行動，聽從那些背棄聖約之人的建議。
31	他會派出大軍褻瀆聖殿和堡壘，廢除常獻的燔祭，又在殿裡設立那造成荒涼的可憎之物。
32	他用狡猾的手段玷污人，使他們作惡違背聖約，但認識神的人民將剛強行事。
33	民中有見識的人會使許多人明白，但是有一段時日他們會倒在刀劍之下，或被火燒，或被擄去，或被掠奪。
34	他們仆倒的時候，將得到一點援助，許多人卻狡猾地加入他們。
35	有些有見識的人仆倒，為要鍛煉他們，潔淨他們，使他們成為潔白無瑕，直到末後的時期，因為指定的時候還沒有到。
 	關於人間末世的預言
36	“那王會任意而行，自高自大，超過所有的神，又說驚人的話攻擊萬神之神。他會行事順利，直到憤怒的時期完滿，因為所定的事必會實現。
37	他不尊敬列祖所拜的那些神明，連婦女所愛慕的一切神明，他也不尊敬，因為他高抬自己超過一切。
38	他反而會尊崇堡壘的神，用金、銀、寶石和各樣珍寶去尊崇他列祖所不認識的神明。
39	他會有外族神明幫助，攻破堅固的堡壘；凡承認他的，他會使他們大得榮耀，又使他們管轄許多人，並且把土地分給他們作為報償。
40	“到了末期，南方王要與他交戰；北方王會動員戰車、戰車兵和大批戰船，像暴風般來攻擊他；他會入侵列國，如洪水氾濫，所向披靡。
41	他將入侵榮美之地，傾覆許多國家；然而伊東人、摩押人和大部分亞捫人會蒙拯救脫離他的手。
42	他將伸手攻擊列國，埃及國也不能倖免。
43	他必掌控埃及的金銀寶藏和一切珍寶，利比亞人和古實人都會跟從他。
44	但從東方和北方傳來的風聲將使他驚惶，他就會在猛烈的怒火中出兵，要殺盡滅絕許多人。
45	他會在海和榮美的聖山之間，支搭如宮殿一般的帳幕；然而他的結局將會來到，那時沒有人能幫助他。”
第十二章
 	名字記錄在冊的人都會得拯救
1	“那時，保護你同胞的偉大天使長米迦勒會站起來；這是艱難的時期，立國以來直到那時都未曾有過。那時，你同胞中名字記錄在冊上的人，都會得拯救。
2	許多睡在塵土中的人會醒過來，有的要得永生，有的則要蒙受羞辱、永遠被憎惡。
3	有見識的人會好像穹蒼的光輝照耀；那些使許多人歸義的人會好像群星照耀，直到永永遠遠。
4	但以理啊，你要隱藏這些話，封印這書卷，直到末後的時期；將會有許多人來往奔跑，知識就會增多。”
 	但以理異象中奇事的結局
5	我但以理觀看著，看見另有兩位站著，一個在河岸的這邊，一個在河岸的那邊。
6	其中一個問那身穿細麻衣、在河水上方的人，說：“這些奇事的結局要等到甚麼時候才到呢？”
7	我聽見那身穿細麻衣、在河水上方的人向天舉起左右手，指著活到永遠的那一位起誓，說：“要經過一個時期、兩個時期、半個時期，在他們完全擊碎聖民力量的時候，這一切事就都會完成。”
8	我聽見了，卻不明白，就問：“我主啊，這些事的結局會怎樣呢？”
9	他回答：“但以理啊，你只管去吧，因為這些話已經隱藏封印，直到末後的時期。
10	許多人將潔淨自己，使自身潔白，並且被鍛煉，但是惡人仍然作惡。所有惡人都不明白；有見識的人才會明白。
11	從廢除常獻的燔祭，並設立那造成荒涼的可憎之物的時候起算，將有一千二百九十天。
12	等候到一千三百三十五天的人真是有福！
13	至於你，你只管去吧，直到結局。你將安歇；到了末後的日子，你將會起來，領受你的分。”
